column_position,column,dtype,semantic_group,report_aliases,is_priority_column,is_transparency_column,non_null_count,null_count,null_pct,nunique_excluding_null
1,entidad,string,categorical,none,True,False,429541,0,0.0,1985
2,nit_entidad,string,categorical,none,True,False,429541,0,0.0,1627
3,departamento_entidad,string,categorical,none,True,False,421806,7735,1.8008,33
4,ciudad_entidad,string,categorical,none,True,False,338866,90675,21.1097,409
5,ordenentidad,string,categorical,none,True,False,429541,0,0.0,3
6,codigo_pci,string,categorical,none,False,False,429541,0,0.0,2
7,id_del_proceso,string,technical,none,True,False,429541,0,0.0,429541
8,referencia_del_proceso,string,technical,none,True,False,429540,1,0.0002,390886
9,id_del_portafolio,string,technical,none,True,False,429541,0,0.0,409266
10,nombre_del_procedimiento,string,categorical,none,True,False,429540,1,0.0002,251183
11,descripci_n_del_procedimiento,string,text,descripcion_del_procedimiento,True,False,425640,3901,0.9082,272765
12,fase,string,categorical,none,True,False,429491,50,0.0116,13
13,fecha_de_publicacion_del,"datetime64[us, UTC]",datetime,fecha_de_publicacion,True,False,429541,0,0.0,271
14,precio_base,float64,numeric,none,True,False,429539,2,0.0005,116589
15,modalidad_de_contratacion,string,categorical,none,True,False,429541,0,0.0,17
16,justificaci_n_modalidad_de,string,categorical,none,False,False,429541,0,0.0,32
17,duracion,float64,numeric,none,False,False,429541,0,0.0,1024
18,unidad_de_duracion,string,categorical,none,False,False,429541,0,0.0,6
19,fecha_de_recepcion_de,"datetime64[us, UTC]",datetime,fecha_de_recepcion,True,False,94227,335314,78.0633,336
20,fecha_de_apertura_de_respuesta,"datetime64[us, UTC]",datetime,fecha_de_apertura,True,False,72838,356703,83.0428,313
21,ciudad_de_la_unidad_de,string,categorical,none,False,False,429541,0,0.0,454
22,nombre_de_la_unidad_de,string,categorical,none,False,False,429541,0,0.0,3454
23,proveedores_invitados,int64,numeric,none,True,False,429541,0,0.0,2856
24,proveedores_con_invitacion,int64,numeric,none,True,False,429541,0,0.0,193
25,visualizaciones_del,int64,numeric,none,False,False,429541,0,0.0,431
26,respuestas_al_procedimiento,int64,numeric,none,True,False,429541,0,0.0,148
27,respuestas_externas,int64,numeric,none,True,False,429541,0,0.0,18
28,conteo_de_respuestas_a_ofertas,int64,numeric,none,True,False,429541,0,0.0,28
29,proveedores_unicos_con,int64,numeric,none,False,False,429541,0,0.0,148
30,numero_de_lotes,int64,numeric,none,True,False,429541,0,0.0,62
31,codigo_principal_de_categoria,string,categorical,none,False,False,429541,0,0.0,8594
32,tipo_de_contrato,string,categorical,none,True,False,428958,583,0.1357,23
33,categorias_adicionales,string,categorical,none,False,False,68969,360572,83.9436,33745
34,urlproceso,string,technical,none,True,False,429541,0,0.0,429493
35,codigo_entidad,string,categorical,none,False,False,429541,0,0.0,1985
36,precio_base_es_cero,bool,boolean,none,False,False,429541,0,0.0,2
37,precio_base_log,float64,numeric,none,False,False,429539,2,0.0005,116589
38,flag_precio_base_extremo,bool,boolean,none,False,False,429541,0,0.0,2
39,duracion_dias,float64,numeric,none,False,False,428958,583,0.1357,1173
40,duracion_improbable,bool,boolean,none,False,False,429541,0,0.0,2
41,unidad_de_duracion_desconocida,bool[pyarrow],boolean,none,False,False,429541,0,0.0,2
42,tiene_descripcion,bool,text,none,False,False,429541,0,0.0,2
43,tiene_urlproceso,bool,boolean,none,False,False,429541,0,0.0,1
44,tiene_categorias_adicionales,bool,boolean,none,False,False,429541,0,0.0,2
45,ausencia_geografica,bool,boolean,none,False,False,429541,0,0.0,2
46,tiene_fecha_recepcion,bool,boolean,none,False,False,429541,0,0.0,2
47,tiene_fecha_apertura_respuesta,bool,boolean,none,False,False,429541,0,0.0,2
48,tiene_fecha_apertura_efectiva,bool,boolean,none,False,False,429541,0,0.0,2
49,dias_hasta_recepcion,float64,numeric,none,False,False,94183,335358,78.0736,132
50,anomalia_apertura_antes_recepcion,bool,boolean,none,False,False,429541,0,0.0,2
51,missing_temporal_count,int64,numeric,none,False,False,429541,0,0.0,4
52,anomalia_temporal,bool,boolean,none,False,False,429541,0,0.0,2
53,competencia_reportada,bool,boolean,none,False,False,429541,0,0.0,2
54,intensidad_competencia_log,float64,numeric,none,False,False,429541,0,0.0,284
55,ratio_proveedores_vs_invitados,float64,numeric,none,False,False,28220,401321,93.4302,3633
56,completitud_critica,float64,numeric,none,False,False,429541,0,0.0,3
57,fue_duplicado_exacto,bool,boolean,none,False,False,429541,0,0.0,2
58,fue_duplicado_logico,bool,boolean,none,False,False,429541,0,0.0,2
59,longitud_descripcion,Int64,text,none,False,False,429541,0,0.0,514
60,flag_tiene_descripcion_util,int8,text,none,False,False,429541,0,0.0,2
