variable,precio_base,duracion,duracion_dias,proveedores_invitados,proveedores_con_invitacion,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,visualizaciones_del,total_respuestas,total_interes_oferentes,longitud_descripcion,score_completitud,score_temporal,score_competencia,transparency_score,margin_to_threshold,precio_base_log
precio_base,1.0,-5.074553500325432e-05,7.54589753687852e-05,-0.0006297838667058119,0.0004198345403162793,0.022120566637006466,0.0028994333627471026,0.0021234390413901686,0.022120858244617625,0.007634542552905373,0.03899858036883073,0.02191721314978079,0.013018188728188232,0.0006693687540426222,-0.0008443648896660055,0.014217432964647978,0.009451978624708299,0.01290306313817217,0.011262080355007859,0.03626014407873719
duracion,-5.074553500325432e-05,1.0,0.9999977461619766,0.00025716179961267403,-0.0002967356586203609,0.0007799987489248767,-0.0001779086643304163,-0.0001353950009089257,0.0008108561930120147,-0.00031474636348920957,-0.0007837166230540328,0.0007431128538094882,0.00025157299642930873,-0.004164851400308327,0.0007655385050556166,0.0012654584079121504,0.0038138184614963234,0.0023981691957165904,0.0021336321086780673,-0.00256204719866701
duracion_dias,7.54589753687852e-05,0.9999977461619766,1.0,0.00027233835980020467,-0.00028507912959773433,0.0007990814567744082,-8.37782452821735e-05,-0.0001370444563840951,0.0008264177081555871,-0.0003007817601293979,-0.0007264409578163836,0.0007654123469875258,0.000269579178149585,-0.004064655885426623,0.0005690629484955496,0.0012831878043299944,0.0038344142456501777,0.0023768878205432144,0.002182115191806827,-0.002838475776903914
proveedores_invitados,-0.0006297838667058119,0.00025716179961267403,0.00027233835980020467,1.0,0.04202219857370422,0.03369279368662639,0.036961718565518976,-0.0035231667372287827,0.0329444206953286,-0.008276687532922485,0.04915563429002038,0.03410453600476272,0.049311702565924695,-0.02814288833176287,-0.2367342116397046,0.07748644957464586,0.1412679777096021,0.05866451836825225,-0.0420597335103939,-0.4008092629408776
proveedores_con_invitacion,0.0004198345403162793,-0.0002967356586203609,-0.00028507912959773433,0.04202219857370422,1.0,0.17526068642245105,0.021915315597644123,-0.0021873097176173125,0.17703494568130804,0.00656897897774439,0.2746843438036812,0.1719422220370973,0.8246067545344679,-0.021741602047084384,-0.021204412860048028,0.12788178771761533,0.1711292712302595,0.14523156510551713,0.1468969120470811,0.020243343583537986
respuestas_al_procedimiento,0.022120566637006466,0.0007799987489248767,0.0007990814567744082,0.03369279368662639,0.17526068642245105,1.0,0.0625847636170022,0.18109643816180912,0.995145886332817,0.04915339182127714,0.40454184685715594,0.9954955321066726,0.6986824111715133,-0.04829835358235813,-0.013649887167377748,0.31053633368603023,0.46816867442251614,0.37470489630241915,0.39114476850495195,0.039756892284546375
respuestas_externas,0.0028994333627471026,-0.0001779086643304163,-8.37782452821735e-05,0.036961718565518976,0.021915315597644123,0.0625847636170022,1.0,0.00442217369329611,0.021191636528803237,0.0017263049542878201,0.017909376869369126,0.10188863648414694,0.02802212079832678,-0.0043958388064307624,-0.022003499082640505,0.04523872895972573,0.0917172089670334,0.05867062539832804,0.03466329516768159,-0.03256942421707166
conteo_de_respuestas_a_ofertas,0.0021234390413901686,-0.0001353950009089257,-0.0001370444563840951,-0.0035231667372287827,-0.0021873097176173125,0.18109643816180912,0.00442217369329611,1.0,0.09259881775475753,0.12297938454357497,0.055477652874660346,0.26469306826309474,0.05164334843728133,-0.012592278758307932,0.0014425565235797826,0.0672637022890971,0.10189307460007345,0.07693498847927517,0.08194750254381317,0.02841210525276074
proveedores_unicos_con,0.022120858244617625,0.0008108561930120147,0.0008264177081555871,0.0329444206953286,0.17703494568130804,0.995145886332817,0.021191636528803237,0.09259881775475753,1.0,0.03860299345352191,0.4045050484153321,0.9813332282961132,0.7027550073308744,-0.04765687141907324,-0.013054047887809398,0.3069456465335275,0.4617249459201447,0.37058489249427135,0.387808821176363,0.03910385969469589
numero_de_lotes,0.007634542552905373,-0.00031474636348920957,-0.0003007817601293979,-0.008276687532922485,0.00656897897774439,0.04915339182127714,0.0017263049542878201,0.12297938454357497,0.03860299345352191,1.0,0.04716617860534853,0.05886650989325084,0.026936819595471333,0.0020072716488213414,-0.00365164900909265,0.05820296914991986,0.03747407747965991,0.043378549047886,0.03413588894695932,0.05182585707670751
