category,count,relative_pct
NO_APLICA,123323,28.7104
Bogotá,102002,23.7467
Cali,29555,6.8806
Medellín,23705,5.5187
Bucaramanga,9190,2.1395
Barranquilla,6841,1.5926
Ibagué,5896,1.3726
Pasto,5832,1.3577
Cartagena,5756,1.34
Envigado,4990,1.1617
Popayán,4818,1.1217
Villavicencio,4587,1.0679
Cúcuta,4429,1.0311
Santa Marta,4383,1.0204
San Andrés,4128,0.961
Pereira,4084,0.9508
Manizales,3952,0.9201
Neiva,3739,0.8705
Tunja,3462,0.806
Turbaco,3157,0.735
Soacha,2895,0.674
Quibdó,2490,0.5797
Floridablanca,2416,0.5625
Soledad,2187,0.5091
Mocoa,1922,0.4475
Arauca,1914,0.4456
Armenia,1701,0.396
Riohacha,1636,0.3809
Florencia,1551,0.3611
Montería,1520,0.3539
Valledupar,1463,0.3406
Yopal,1308,0.3045
Palmira,1282,0.2985
San Gil,1164,0.271
Dosquebradas,1116,0.2598
Tuluá,1102,0.2566
Villa Del Rosario,1033,0.2405
La Estrella,986,0.2295
Sincelejo,957,0.2228
Rionegro,929,0.2163
Jamundí,896,0.2086
Espinal,895,0.2084
Acacías,848,0.1974
Facatativá,847,0.1972
Guadalajara De Buga,842,0.196
Apartadó,779,0.1814
Villamaría,741,0.1725
Zipaquirá,705,0.1641
Calarca,682,0.1588
Yumbo,667,0.1553
Chinchiná,654,0.1523
Guarne,653,0.152
Caldas,638,0.1485
Anolaima,636,0.1481
Barrancabermeja,625,0.1455
Puerto Boyacá,620,0.1443
Sabaneta,564,0.1313
Girardot,554,0.129
Duitama,546,0.1271
Cota,536,0.1248
Girón,523,0.1218
Tocancipá,519,0.1208
Funza,487,0.1134
Madrid,487,0.1134
La Unión,465,0.1083
Santa Rosa De Cabal,461,0.1073
Girardota,453,0.1055
Cajicá,446,0.1038
Peñol,439,0.1022
El Bagre,436,0.1015
Dagua,433,0.1008
Cumaral,416,0.0968
Candelaria,404,0.0941
Villa De San Diego De Ubate,399,0.0929
Buenaventura,394,0.0917
Fusagasugá,394,0.0917
Puerto Colombia,392,0.0913
Montenegro,389,0.0906
Marinilla,385,0.0896
Retiro,385,0.0896
Chiquinquirá,382,0.0889
La Jagua De Ibirico,380,0.0885
La Calera,369,0.0859
Itagui,368,0.0857
San Carlos,340,0.0792
Los Patios,321,0.0747
Sevilla,319,0.0743
Nilo,311,0.0724
La Tebaida,298,0.0694
Aguachica,296,0.0689
Sibaté,296,0.0689
Caucasia,279,0.065
San Martín,274,0.0638
Sitionuevo,258,0.0601
Santa Rosa De Osos,258,0.0601
Yarumal,256,0.0596
Pitalito,249,0.058
Puerto Carreño,246,0.0573
Galapa,246,0.0573
La Ceja,245,0.057
Carolina,241,0.0561
Chigorodó,236,0.0549
Puerto Triunfo,229,0.0533
La Virginia,229,0.0533
Pradera,229,0.0533
Ricaurte,225,0.0524
