category,count,relative_pct
702271321,7636,1.7777
704629146,5219,1.215
702729500,4321,1.006
703000075,3970,0.9242
703949024,3804,0.8856
700774011,3629,0.8449
706099488,3576,0.8325
702318460,3447,0.8025
712721034,3421,0.7964
701515082,3317,0.7722
702259557,3145,0.7322
702270372,3122,0.7268
709072474,2980,0.6938
701365033,2887,0.6721
703301051,2699,0.6283
700787393,2678,0.6235
701715203,2631,0.6125
700637010,2600,0.6053
702158254,2540,0.5913
701798407,2526,0.5881
700445042,2501,0.5822
700961014,2406,0.5601
702730482,2383,0.5548
700694094,2354,0.548
703282152,2294,0.5341
702948183,2292,0.5336
706081700,2285,0.532
700859218,2157,0.5022
701172108,2125,0.4947
702445891,2085,0.4854
701117632,2077,0.4835
706481892,2056,0.4787
700676059,2052,0.4777
702442096,2011,0.4682
709391528,2003,0.4663
700817075,1997,0.4649
701993388,1986,0.4624
702523150,1963,0.457
702589086,1937,0.4509
702192410,1930,0.4493
702547704,1889,0.4398
704323831,1885,0.4388
702769076,1866,0.4344
704942564,1864,0.434
702727819,1825,0.4249
700341043,1811,0.4216
704972363,1810,0.4214
702354598,1800,0.4191
700642036,1795,0.4179
700447030,1755,0.4086
706091220,1751,0.4076
703038141,1747,0.4067
700221021,1655,0.3853
702541384,1638,0.3813
703915215,1635,0.3806
701925125,1624,0.3781
700583222,1611,0.3751
700694045,1604,0.3734
702585365,1583,0.3685
704654201,1576,0.3669
703155960,1566,0.3646
700256027,1546,0.3599
703957431,1515,0.3527
702066127,1480,0.3446
702266156,1463,0.3406
701699407,1416,0.3297
701337164,1392,0.3241
705153054,1380,0.3213
703639690,1341,0.3122
700898067,1315,0.3061
702860123,1282,0.2985
702280165,1254,0.2919
701321135,1228,0.2859
701428641,1228,0.2859
700367014,1220,0.284
700771157,1211,0.2819
700087026,1141,0.2656
702475393,1134,0.264
700296015,1133,0.2638
702166190,1122,0.2612
700088016,1118,0.2603
702390477,1115,0.2596
700637051,1087,0.2531
700765068,1086,0.2528
702376260,1080,0.2514
703475053,1071,0.2493
701946188,1066,0.2482
700271034,1060,0.2468
701006074,1038,0.2417
704942390,1031,0.24
