category,count,relative_pct
Distrito Capital de Bogotá,146525,34.112
Antioquia,51121,11.9013
Valle del Cauca,45286,10.5429
Santander,20076,4.6738
Cundinamarca,15045,3.5026
Atlántico,11890,2.7681
Tolima,10705,2.4922
Norte de Santander,10546,2.4552
Bolívar,10257,2.3879
Meta,10094,2.35
Quindío,8643,2.0121
Risaralda,8413,1.9586
Caldas,8096,1.8848
Boyacá,7953,1.8515
,7735,1.8008
Nariño,6943,1.6164
Cauca,6529,1.52
Huila,6184,1.4397
Casanare,5387,1.2541
Magdalena,5208,1.2125
Sucre,4570,1.0639
"San Andrés, Providencia y Santa Catalina",4123,0.9599
Cesar,3886,0.9047
Arauca,2856,0.6649
Putumayo,2440,0.568
Caquetá,2061,0.4798
Córdoba,1944,0.4526
La Guajira,1919,0.4468
Chocó,1775,0.4132
Amazonas,346,0.0806
Vichada,322,0.075
Guaviare,305,0.071
Guainía,242,0.0563
Vaupés,116,0.027
