category,count,relative_pct
(Secretaría Distrital de Integración Social),7636,1.7777
INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA,5219,1.215
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),4321,1.006
INSTITUCIÓN UNIVERSITARIA ITM,3970,0.9242
ESE HOSPITAL MANUEL URIBE ANGEL,3804,0.8856
INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN,3629,0.8449
BANCO DE LA REPUBLICA,3576,0.8325
GOBERNACIÓN DEL DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,3447,0.8025
Institución Universitaria Pascual Bravo COMPRADOR,3421,0.7964
DEPARTAMENTO DE SANTANDER,3317,0.7722
MUNICIPIO DE PEREIRA- OFICIAL,3145,0.7322
ALCALDIA DISTRITAL BARRANCABERMEJA,3122,0.7268
EMPRESA COLOMBIANA DE PETROLEOS,2980,0.6938
MUNICIPIO DE ARMENIA QUINDIO,2887,0.6721
ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,2699,0.6283
ALCALDIA MUNICIPIO DE IBAGUE*,2678,0.6235
"INSTITUTO DEL DEPORTE, LA EDUCACIÓN FÍSICA Y LA RECREACIÒN DEL VALLE DEL CAUCA (INDERVALLE)",2631,0.6125
"Ministerio de las Culturas, las Artes y los Saberes",2600,0.6053
MUNICIPIO DE SOACHA..,2540,0.5913
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,2526,0.5881
MUNICIPIO DE SAN JOSE DE CUCUTA,2501,0.5822
GOBERNACIÓN DE BOLÍVAR//,2406,0.5601
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,2383,0.5548
ALCALDIA DE PASTO,2354,0.548
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA,2294,0.5341
GOBERNACION DEL QUINDIO ARMENIA,2292,0.5336
CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA - CAR.,2285,0.532
GOBERNACIÓN DEL CAUCA,2157,0.5022
RADIO TELEVISION NACIONAL DE COLOMBIA.,2125,0.4947
MUNICIPIO DE YOPAL...,2085,0.4854
INCIVA,2077,0.4835
MUNICIPIO DE SINCELEJO,2056,0.4787
INVIAS,2052,0.4777
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,2011,0.4682
Gobernación Norte de Santander*,2003,0.4663
DEPARTAMENTO DEL META,1997,0.4649
FONDO FINANCIERO DISTRITAL DE SALUD..,1986,0.4624
INSTITUTO COLOMBIANO AGROPECUARIO - ICA,1963,0.457
DEPARTAMENTO DEL ATLANTICO**,1937,0.4509
GOBIERNO DEPARTAMENTAL,1930,0.4493
HOSPITAL CENTRAL DE LA POLICIA,1889,0.4398
ALCALDIA DE FLORIDABLANCA,1885,0.4388
SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,1866,0.4344
DANE - DIRECCION TERRITORIAL CENTRO,1864,0.434
GOBERNACIÓN DE BOYACÁ,1825,0.4249
DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPÚBLICA,1811,0.4216
FONDANE - DIRECCION TERRITORIAL CENTRO,1810,0.4214
ALCALDÍA DISTRITAL DE SANTA MARTA,1800,0.4191
MUNICIPIO DE NEIVA,1795,0.4179
UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS**,1755,0.4086
GOBERNACION DEL CASANARE,1751,0.4076
ALCALDÍA DE POPAYÁN,1747,0.4067
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,1655,0.3853
DEFENSORÍA DEL PUEBLO,1638,0.3813
ALCALDIA MUNICIPIO DE VILLAVICENCIO,1635,0.3806
IDRD - ENTIDAD OFICIAL.,1624,0.3781
MINISTERIO DEL INTERIOR,1611,0.3751
GOBERNACION DE NARIÑO,1604,0.3734
MUNICIPIO DE SABANETA,1583,0.3685
MUNICIPIO DE BUCARAMANGA,1576,0.3669
CIAC S.A.,1566,0.3646
DEPARTAMENTO DE ANTIOQUIA//,1546,0.3599
UNIDAD EJECUTORA DE SANEAMIENTO DEL VALLE DEL CAUCA,1515,0.3527
IDARTES,1480,0.3446
MUNICIPIO DE SOLEDAD,1463,0.3406
SECRETARÍA DISTRITAL DE MOVILIDAD,1416,0.3297
CAMARA DE REPRESENTANTES,1392,0.3241
GOBERNACION DE SUCRE,1380,0.3213
ALCALDIA MUNICIPAL DE VALLEDUPAR,1341,0.3122
SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,1315,0.3061
DANE - DIRECCION TERRITORIAL NORTE,1282,0.2985
GOBERNACIÓN DE RISARALDA**,1254,0.2919
SECRETARIA DE EDUCACION DEL DISTRITO,1228,0.2859
CONGRESO DE LA REPÚBLICA - HONORABLE SENADO DE LA REPÚBLICA,1228,0.2859
INSTITUTO DISTRITAL PARA LA PROTECCIÓN DE LA NIÑEZ Y LA JUVENTUD - IDIPRON*,1220,0.284
ENTerritorio S.A,1211,0.2819
ICBF SEDE NACIONAL,1141,0.2656
GOBERNACIÓN DEPARTAMENTO DEL PUTUMAYO,1134,0.264
MINCIENCIAS,1133,0.2638
MUNICIPIO DE PIEDECUESTA,1122,0.2612
ALCALDÍA MUNICIPIO DE PALMIRA,1118,0.2603
GOBERNACION DEL MAGDALENA,1115,0.2596
MINSALUD,1087,0.2531
SERVICIO GEOLOGICO COLOMBIANO**,1086,0.2528
GOBERNACION DEL VALLE DEL CAUCA - DADI,1080,0.2514
ALCALDIA MUNICIPIO DE JAMUNDI,1071,0.2493
INSTITUTO DE DESARROLLO URBANO,1066,0.2482
UNP,1060,0.2468
ANM,1038,0.2417
MUNICIPIO DE VILLA DEL ROSARIO**,1031,0.24
ALCALDÍA MUNICIPIO DE BELLO,1026,0.2389
"SECRETARIA DISTRITAL DE SEGURIDAD, CONVIVENCIA Y JUSTICIA",1017,0.2368
