category,count,relative_pct
Presentación de oferta,213594,49.7261
Fase de ofertas,193835,45.1261
Presentación de observaciones,13612,3.169
Manifestación de interés (Menor Cuantía),5863,1.3649
Fase de Selección (Presentación de ofertas),981,0.2284
Clarification submission,942,0.2193
Pré-Calificación de competidores,348,0.081
Selección de ofertas (borrador),170,0.0396
Proceso de ofertas,66,0.0154
Estimate Phase,55,0.0128
,50,0.0116
Presentación de Observaciones,18,0.0042
Fase de Concurso,6,0.0014
Presentación de observaciones (precalificación),1,0.0002
