category,count,relative_pct
Servicios profesionales y apoyo a la gestión,262411,61.091
Regla aplicable,37748,8.788
Presupuesto inferior al 10% de la menor cuantía,33858,7.8824
Presupuesto menor al 10% de la Menor Cuantía,17494,4.0727
Decreto 092 de 2017,17152,3.9931
No,13488,3.1401
Contratos o convenios Interadministrativos (valor cero),10389,2.4186
Suministro de bienes y servicios de características técnicas uniformes y común utilización,9140,2.1279
Contratos o convenios Interadministrativos (con valor),6238,1.4522
Ley 1150 de 2007,4844,1.1277
Arrendamiento de inmuebles,4163,0.9692
No existe pluralidad de oferentes en el mercado,3860,0.8986
No Defenido,2202,0.5126
Prestamo de uso,1671,0.389
Contratos para el desarrollo de actividades científicas y tecnológicas,940,0.2188
Urgencia manifiesta,861,0.2004
Prestación de servicios de salud,770,0.1793
Ejecución de trabajos artísticos,720,0.1676
Proceso de licitación pública declarado desierto,371,0.0864
Defensa y seguridad nacional,321,0.0747
Operaciones de Crédito Público,257,0.0598
Adquisición de inmuebles,185,0.0431
Contratos de bienes y servicios sujetos a reserva,152,0.0354
"Programas de protección de personas amenazadas, desmovilización y reincorporación",74,0.0172
Ley 1150 de 2008,73,0.017
Artículo 98 del Decreto 1510 de 2013,45,0.0105
"Artículo 49, Decreto 1510 de 2013",42,0.0098
Artículo 99 del Decreto 1510 de 2013,39,0.0091
Artículo 53 del Decreto 150 de 2013,25,0.0058
Contratación de empresas industriales y comerciales del Estado,6,0.0014
Artículo 92 del Decreto 150 de 2013,1,0.0002
Contratos de encargo fiduciario que celebren entidades territoriales,1,0.0002
