category,count,relative_pct
Contratación directa,283364,65.969
Contratación régimen especial,51367,11.9586
Mínima cuantía,33858,7.8824
Selección Abreviada de Menor Cuantía,18712,4.3563
Solicitud de información a los Proveedores,12905,3.0044
Selección abreviada subasta inversa,9140,2.1279
Contratación Directa (con ofertas),8484,1.9751
Contratación régimen especial (con ofertas),3559,0.8286
Concurso de méritos abierto,2488,0.5792
Licitación pública,2428,0.5653
Licitación pública Obra Publica,2202,0.5126
Subasta de prueba,583,0.1357
Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,324,0.0754
Enajenación de bienes con sobre cerrado,45,0.0105
Licitación Pública Acuerdo Marco de Precios,42,0.0098
Enajenación de bienes con subasta,39,0.0091
Concurso de méritos con precalificación,1,0.0002
