category,count,relative_pct
890399011,15198,3.5382
899999034,14589,3.3964
899999061,11174,2.6014
8999990619,10730,2.498
899999027,7202,1.6767
899999239,6842,1.5929
890980134,5219,1.215
900971006,4321,1.006
800214750,3970,0.9242
890906347,3804,0.8856
800194096,3629,0.8449
860005216,3576,0.8325
899999114,3542,0.8246
892400038,3447,0.8025
8909801583,3421,0.7964
890399029,3358,0.7818
890201235,3317,0.7722
800072977,3284,0.7645
891480030,3145,0.7322
890201900,3122,0.7268
8903990295,3002,0.6989
899999068,2980,0.6938
890000464,2887,0.6721
890480184,2701,0.6288
800113389,2678,0.6235
805012896,2631,0.6125
830034348,2600,0.6053
800094755,2540,0.5913
899999230,2526,0.5881
890501434,2501,0.5822
890480059,2406,0.5601
900958564,2383,0.5548
891280000,2354,0.548
899999069,2324,0.541
890001639,2292,0.5336
899999062,2285,0.532
890905211,2179,0.5073
891580016,2157,0.5022
900002583,2125,0.4947
891855017,2085,0.4854
800086201,2077,0.4835
800104062,2056,0.4787
800215807,2052,0.4777
890102018,2011,0.4682
800103927,2003,0.4663
8920001488,1997,0.4649
8002469532,1986,0.4624
890102006,1937,0.4509
8001136727,1930,0.4493
830067597,1889,0.4398
890205176,1885,0.4388
900959051,1866,0.4344
891800498,1825,0.4249
899999083,1811,0.4216
891780009,1800,0.4191
891180009,1795,0.4179
900498879,1755,0.4086
892099216,1751,0.4076
891580006,1747,0.4067
800186061,1638,0.3813
892099324,1635,0.3806
860061099,1624,0.3781
890900286,1623,0.3778
830114475,1611,0.3751
800103923,1604,0.3734
890980331,1592,0.3706
890201222,1576,0.3669
899999278,1566,0.3646
805018833,1515,0.3527
900413030,1480,0.3446
890106291,1463,0.3406
899999098,1392,0.3241
892280021,1380,0.3213
800098911,1341,0.3122
899999007,1315,0.3061
891480085,1268,0.2952
899999103,1228,0.2859
899999333,1220,0.284
899999316,1211,0.2819
890205383,1155,0.2689
800094164,1134,0.264
899999296,1133,0.2638
891380007,1119,0.2605
800103920,1115,0.2596
900474727,1087,0.2531
899999294,1086,0.2528
890399046,1071,0.2493
899999081,1066,0.2482
900475780,1060,0.2468
900500018,1038,0.2417
890503373,1031,0.24
890980112,1029,0.2396
890505253,1008,0.2347
900959048,993,0.2312
800099310,987,0.2298
899999059,985,0.2293
890500890,947,0.2205
890801053,943,0.2195
891680010,938,0.2184
800103913,927,0.2158
830040256,925,0.2153
805027261,921,0.2144
890801052,906,0.2109
900948953,906,0.2109
899999446,898,0.2091
8909801366,898,0.2091
900258711,892,0.2077
891900272,884,0.2058
900034608,870,0.2025
890907106,868,0.2021
899999403,862,0.2007
8999990341,861,0.2004
900127768,846,0.197
890980782,833,0.1939
892399999,818,0.1904
804000292,816,0.19
891800846,810,0.1886
899999040,807,0.1879
830063506,801,0.1865
900477169,796,0.1853
899999054,793,0.1846
900948958,789,0.1837
899999067,788,0.1835
899999433,782,0.1821
891680011,745,0.1734
890481149,743,0.173
890801152,741,0.1725
899999162,734,0.1709
860030197,731,0.1702
800102504,726,0.169
899999074,723,0.1683
899999306,709,0.1651
891380033,704,0.1639
900490473,690,0.1606
900220547,684,0.1592
8921150151,682,0.1588
822000091,677,0.1576
890000441,671,0.1562
890704536,665,0.1548
899999318,665,0.1548
899999035,655,0.1525
800103935,650,0.1513
8001028385,650,0.1513
890399002,642,0.1495
800176089,641,0.1492
802024407,632,0.1471
890702027,627,0.146
891855130,625,0.1455
800091594,620,0.1443
899999172,619,0.1441
890680008,613,0.1427
890399025,609,0.1418
891800466,596,0.1388
901037393,595,0.1385
800095728,588,0.1369
830039670,585,0.1362
800114312,581,0.1353
899999004,580,0.135
8900004478,573,0.1334
899999044,570,0.1327
899999102,569,0.1325
900039533,568,0.1322
892001457,565,0.1315
800044113,565,0.1315
832001465,558,0.1299
860016951,557,0.1297
891280001,556,0.1294
891222322,552,0.1285
890701933,546,0.1271
901144049,543,0.1264
830115395,532,0.1239
891180026,529,0.1232
822002510,516,0.1201
900602106,515,0.1199
800250029,504,0.1173
901361882,501,0.1166
900127054,499,0.1162
899999328,498,0.1159
899999022,497,0.1157
800096734,495,0.1152
860020227,495,0.1152
900463725,492,0.1145
805013171,488,0.1136
890680378,488,0.1136
890980447,485,0.1129
901361090,482,0.1122
800150861,481,0.112
9015410214,480,0.1117
899999342,478,0.1113
9013620904,475,0.1106
900126860,474,0.1104
899999705,473,0.1101
891801240,470,0.1094
832000283,464,0.108
800223337,463,0.1078
891410354,460,0.1071
890801133,458,0.1066
800037800,457,0.1064
890984423,454,0.1057
891480033,453,0.1055
804004370,446,0.1038
890980807,441,0.1027
900003409,440,0.1024
809005065,440,0.1024
800141397,439,0.1022
890980917,439,0.1022
891180077,439,0.1022
891900493,439,0.1022
892280033,438,0.102
901140004,437,0.1017
806005353,436,0.1015
800100514,433,0.1008
890204802,432,0.1006
892000563,432,0.1006
800252844,430,0.1001
820000142,430,0.1001
892115007,427,0.0994
8903990291,427,0.0994
807001836,426,0.0992
830115226,425,0.0989
890801130,424,0.0987
800197268,423,0.0985
890208727,423,0.0985
900014480,423,0.0985
890980150,417,0.0971
8920991849,416,0.0968
800230729,412,0.0959
8999990615,411,0.0957
890985138,409,0.0952
901540992,408,0.095
900127032,405,0.0943
800169265,405,0.0943
802011065,403,0.0938
890980445,401,0.0934
900294884,399,0.0929
899999325,398,0.0927
901440630,396,0.0922
800108683,396,0.0922
891501885,395,0.092
830025267,393,0.0915
800217123,392,0.0913
890000858,389,0.0906
899999001,386,0.0899
830012587,384,0.0894
800252843,381,0.0887
891380038,381,0.0887
900332546,380,0.0885
890984221,380,0.0885
830127607,379,0.0882
900342579,378,0.088
899999428,377,0.0878
900294905,376,0.0875
899999281,371,0.0864
900457461,371,0.0864
899999712,369,0.0859
890983674,368,0.0857
891855138,367,0.0854
819000759,365,0.085
890982055,364,0.0847
800099287,364,0.0847
899999003,358,0.0833
890204109,357,0.0831
891800475,356,0.0829
830000167,352,0.0819
811032059,349,0.0812
800245133,342,0.0796
890983740,340,0.0792
891200461,338,0.0787
890706833,335,0.078
899999055,335,0.078
800250984,333,0.0775
890325989,332,0.0773
800183770,332,0.0773
860062187,329,0.0766
900336004,328,0.0764
892099325,327,0.0761
860061110,325,0.0757
800099824,323,0.0752
860024301,321,0.0747
860523694,321,0.0747
830000602,320,0.0745
9008529985,317,0.0738
800255580,316,0.0736
800100527,316,0.0736
900406856,315,0.0733
800154275,314,0.0731
832001871,311,0.0724
800141644,309,0.0719
900649119,309,0.0719
800141379,308,0.0717
8001316486,306,0.0712
899999090,305,0.071
901037916,304,0.0708
890803005,301,0.0701
890000564,298,0.0694
830039207,295,0.0687
804002166,295,0.0687
830002634,294,0.0684
890981207,292,0.068
