category,count,relative_pct
Prestación de servicios,312293,72.7039
Otro,26147,6.0872
Suministros,19759,4.6
Compraventa,18789,4.3742
Decreto 092 de 2017,17152,3.9931
No,12905,3.0044
Obra,10165,2.3665
Arrendamiento de inmuebles,4167,0.9701
Interventoría,1853,0.4314
Comodato,1671,0.389
Consultoría,1640,0.3818
Seguros,1261,0.2936
,583,0.1357
Arrendamiento de muebles,467,0.1087
Operaciones de Crédito Público,257,0.0598
Servicios financieros,147,0.0342
Negocio fiduciario,59,0.0137
Venta muebles,57,0.0133
Acuerdo Marco de Precios,42,0.0098
Asociación Público Privada,38,0.0088
Concesión,35,0.0081
Venta inmuebles,27,0.0063
Comisión,26,0.0061
Acuerdo de cooperación,1,0.0002
