column,non_null_count,null_count,null_pct,nunique,is_binary_like,count,mean,std,min,p01,p05,p25,p50,median,p75,p95,p99,max,iqr,lower_bound_iqr,upper_bound_iqr,outlier_count_iqr,outlier_pct_iqr,zero_count,zero_pct
ratio_proveedores_vs_invitados,28220,401321,93.4302,3633,False,28220,0.2722217452022274,0.4022576870373217,0.0,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.5,1.0,1.0,4.0,0.5,-0.75,1.25,27,0.0957,8626,30.567
dias_publicacion_a_apertura,72838,356703,83.0428,142,False,72838,10.814204124220874,12.376788794614601,0.0,1.0,1.0,3.0,6.0,6.0,15.0,33.0,53.0,730.0,12.0,-15.0,33.0,3557,4.8834,362,0.497
dias_recepcion_a_apertura,72838,356703,83.0428,105,False,72838,1.7056206924956754,6.409288842641499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,294.0,0.0,0.0,0.0,9026,12.3919,63812,87.6081
dias_hasta_recepcion,94183,335358,78.0736,132,False,94183,8.276079547264368,9.354939342522238,0.0,0.0,1.0,3.0,6.0,6.0,11.0,25.0,37.0,729.0,8.0,-9.0,23.0,5822,6.1816,3263,3.4645
dias_publicacion_a_recepcion,94227,335314,78.0633,146,False,94227,8.268001740477782,9.370810054747729,-122.0,0.0,1.0,3.0,6.0,6.0,11.0,25.0,37.0,729.0,8.0,-9.0,23.0,5830,6.1872,3263,3.4629
duracion_dias,428958,583,0.1357,1173,False,428958,575.4946973246797,109240.331437995,0.0,0.0,0.0,50.0,105.0,105.0,180.0,360.0,810.0,50000000.0,130.0,-145.0,375.0,10475,2.442,25426,5.9274
precio_base,429539,2,0.0005,116589,False,429539,403548398.1968529,25443988310.496292,0.0,0.0,391149.60000000073,6133159.0,14487500.0,14487500.0,37078020.0,496002248.3999995,3701000000.0,13212285859000.0,30944861.0,-40284132.5,83495311.5,65775,15.3129,19434,4.5244
precio_base_log,429539,2,0.0005,116589,False,429539,16.035714727666917,3.867895191867852,0.0,0.0,12.876847853290611,15.62922067230615,16.48879683565516,16.48879683565516,17.428534926148107,20.022091019667094,22.03186889062063,30.212168259538576,1.7993142538419562,12.930249291543216,20.12750630691104,41425,9.6441,19434,4.5244
completitud_critica,429541,0,0.0,3,False,429541,0.9988394455942506,0.011472315730686257,0.7778,0.8889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4417,1.0283,0,0.0
conteo_de_respuestas_a_ofertas,429541,0,0.0,28,False,429541,0.009091099569074897,0.28776440257662933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1077,0.2507,428464,99.7493
duracion,429541,0,0.0,1024,False,429541,502.8878966152242,109166.2515999952,0.0,0.0,0.0,4.0,24.0,24.0,110.0,250.0,365.0,50000000.0,106.0,-155.0,269.0,16608,3.8665,26009,6.0551
