column,conversion_type,status,non_null_before,non_null_after,coerced_to_null,parse_success_pct
fecha_de_publicacion,datetime,converted,6219,6219,0,100.0
fecha_de_publicacion_del,datetime,converted,450000,450000,0,100.0
fecha_de_ultima_publicaci,datetime,converted,450000,450000,0,100.0
fecha_de_recepcion_de,datetime,converted,114686,114686,0,100.0
fecha_de_apertura_de_respuesta,datetime,converted,92818,92818,0,100.0
fecha_de_apertura_efectiva,datetime,converted,104237,104237,0,100.0
precio_base,numeric,converted,450000,450000,0,100.0
duracion,numeric,converted,450000,450000,0,100.0
proveedores_invitados,numeric,converted,450000,450000,0,100.0
proveedores_con_invitacion,numeric,converted,450000,450000,0,100.0
proveedores_que_manifestaron,numeric,converted,450000,450000,0,100.0
respuestas_al_procedimiento,numeric,converted,450000,450000,0,100.0
respuestas_externas,numeric,converted,450000,450000,0,100.0
conteo_de_respuestas_a_ofertas,numeric,converted,450000,450000,0,100.0
proveedores_unicos_con,numeric,converted,450000,450000,0,100.0
numero_de_lotes,numeric,converted,450000,450000,0,100.0
visualizaciones_del,numeric,converted,450000,450000,0,100.0
