tipo_de_contrato,count,mean,median,min,max
Prestación de servicios,315570,124513713.62217891,13066666.0,0,1240118339645
Suministros,28370,926232868.3216074,84291523.0,0,1020430950950
Otro,27325,1501006390.7871547,100000000.0,0,2765993131307
Compraventa,22992,580341097.3267658,56663000.0,-36829468,350000000000
Decreto 092 de 2017,17942,541211892.6394494,16382629.5,0,1000000000000
No,12905,0.0,0.0,0,0
Obra,11088,7366912434.35083,349172439.0,-193196838,13212285859000
Arrendamiento de inmuebles,4167,76346022.77201824,10715583.0,0,8722187772
Interventoría,2684,10874100801.035023,501565544.0,0,120453774435
Consultoría,1703,539521355.8438051,93090000.0,0,22404862050
Comodato,1671,37712233.415320165,0.0,0,7741834898
Seguros,1554,1846522070.6685972,194830816.0,0,41399983058
No Especificado,583,0.0,0.0,0,0
Arrendamiento de muebles,476,189215460.9159664,2187696.0,0,22812402760
Operaciones de Crédito Público,257,78668276884.63036,2000000000.0,0,5514768683344
Acuerdo Marco de Precios,257,0.13618677042801555,0.0,0,4
Servicios financieros,173,7234402176.618497,128000000.0,0,547425714176
Venta muebles,86,5426454902.511628,30697547.0,240,35246498848
Negocio fiduciario,65,6268885360.138461,343437500.0,0,39420093537
Asociación Público Privada,39,619016319.7179487,17160000.0,0,17005347520
Concesión,36,100937571781.55556,2146131324.0,0,948261000000
Venta inmuebles,30,7130284873.833333,46647125.0,0,67593267118
Comisión,26,1553954274.0769231,300963409.5,1648577,14496275584
Acuerdo de cooperación,1,1379934017.0,1379934017.0,1379934017,1379934017
