category,count,relative_pct
No Aplica,130773,29.0607
Bogotá,109986,24.4413
Cali,30183,6.7073
Medellín,23945,5.3211
Bucaramanga,9590,2.1311
Barranquilla,6931,1.5402
Ibagué,6036,1.3413
Pasto,6021,1.338
Cartagena,5864,1.3031
Envigado,5490,1.22
Popayán,4868,1.0818
Villavicencio,4652,1.0338
Cúcuta,4475,0.9944
Santa Marta,4389,0.9753
Manizales,4213,0.9362
Pereira,4204,0.9342
San Andrés,4146,0.9213
Neiva,4008,0.8907
Tunja,3478,0.7729
Turbaco,3180,0.7067
Soacha,2940,0.6533
Quibdó,2513,0.5584
Floridablanca,2421,0.538
Soledad,2214,0.492
Arauca,1953,0.434
Mocoa,1942,0.4316
Armenia,1785,0.3967
Riohacha,1679,0.3731
Florencia,1613,0.3584
Montería,1525,0.3389
Valledupar,1501,0.3336
Yopal,1369,0.3042
Palmira,1289,0.2864
San Gil,1169,0.2598
Dosquebradas,1129,0.2509
Tuluá,1113,0.2473
Villa Del Rosario,1035,0.23
La Estrella,994,0.2209
Sincelejo,981,0.218
Rionegro,963,0.214
Acacías,956,0.2124
Espinal,909,0.202
Jamundí,899,0.1998
Guadalajara De Buga,891,0.198
Facatativá,859,0.1909
Apartadó,782,0.1738
Villamaría,747,0.166
Zipaquirá,720,0.16
Calarca,702,0.156
Yumbo,678,0.1507
Chinchiná,658,0.1462
Guarne,654,0.1453
Caldas,650,0.1444
Anolaima,638,0.1418
Puerto Boyacá,627,0.1393
Barrancabermeja,625,0.1389
Sabaneta,577,0.1282
Duitama,574,0.1276
Girardot,566,0.1258
Cota,537,0.1193
Girón,523,0.1162
Tocancipá,519,0.1153
Funza,502,0.1116
La Unión,496,0.1102
Madrid,492,0.1093
Santa Rosa De Cabal,462,0.1027
Cajicá,461,0.1024
Girardota,456,0.1013
Peñol,442,0.0982
El Bagre,437,0.0971
Buenaventura,436,0.0969
Dagua,436,0.0969
Villa De San Diego De Ubate,421,0.0936
Fusagasugá,417,0.0927
Cumaral,417,0.0927
Candelaria,406,0.0902
Puerto Colombia,402,0.0893
Itagui,399,0.0887
Marinilla,393,0.0873
Montenegro,391,0.0869
Retiro,387,0.086
Chiquinquirá,386,0.0858
La Jagua De Ibirico,380,0.0844
La Calera,369,0.082
San Carlos,345,0.0767
Los Patios,323,0.0718
Nilo,319,0.0709
Sevilla,319,0.0709
La Tebaida,311,0.0691
Aguachica,300,0.0667
Mosquera,298,0.0662
Sibaté,298,0.0662
Caucasia,286,0.0636
Mistrató,282,0.0627
San Martín,274,0.0609
Santa Rosa De Osos,259,0.0576
Yarumal,258,0.0573
Sitionuevo,258,0.0573
Puerto Carreño,257,0.0571
La Ceja,254,0.0564
Pitalito,253,0.0562
Chigorodó,247,0.0549
Galapa,247,0.0549
Carolina,241,0.0536
La Virginia,230,0.0511
Pradera,230,0.0511
Puerto Triunfo,229,0.0509
Ricaurte,225,0.05
Villeta,225,0.05
Turbo,220,0.0489
Quimbaya,217,0.0482
Jericó,201,0.0447
Circasia,200,0.0444
Carepa,199,0.0442
San José Del Guaviare,196,0.0436
Leticia,195,0.0433
Roldanillo,189,0.042
Honda,185,0.0411
Piedecuesta,178,0.0396
Bello,175,0.0389
La Dorada,170,0.0378
Andalucía,170,0.0378
Sopetrán,169,0.0376
Jardín,166,0.0369
El Cerrito,161,0.0358
Zarzal,160,0.0356
Don Matías,156,0.0347
Magangué,146,0.0324
Paratebueno,144,0.032
Guacarí,144,0.032
Toledo,141,0.0313
San Pedro,139,0.0309
Leguízamo,137,0.0304
Gómez Plata,137,0.0304
La Pintada,135,0.03
Santafé De Antioquia,132,0.0293
Puerto Salgar,131,0.0291
Cisneros,130,0.0289
Restrepo,128,0.0284
Venecia,126,0.028
Guatape,125,0.0278
Granada,124,0.0276
Mitú,120,0.0267
La Plata,113,0.0251
Puerto Asís,113,0.0251
Segovia,112,0.0249
Ocaña,111,0.0247
Güicán,109,0.0242
Viterbo,104,0.0231
Inírida,102,0.0227
Copacabana,102,0.0227
Melgar,88,0.0196
Sabanalarga,86,0.0191
Salamina,82,0.0182
San Jerónimo,80,0.0178
Chía,75,0.0167
Solano,67,0.0149
San José De La Montaña,67,0.0149
Puerto Tejada,65,0.0144
Tenjo,64,0.0142
Sonson,60,0.0133
Onzaga,60,0.0133
Silvania,59,0.0131
Sogamoso,57,0.0127
Vélez,51,0.0113
Amagá,51,0.0113
Garzón,49,0.0109
Tumaco,49,0.0109
Río Iro,49,0.0109
El Zulia,47,0.0104
Aguazul,47,0.0104
Saravena,45,0.01
Entrerrios,44,0.0098
Tame,43,0.0096
Cómbita,43,0.0096
Cogua,43,0.0096
Corozal,42,0.0093
Uribia,41,0.0091
Cartago,40,0.0089
Marmato,38,0.0084
San Benito,37,0.0082
Támesis,35,0.0078
Santander De Quilichao,34,0.0076
Santa Rosa De Viterbo,33,0.0073
Ciénaga,32,0.0071
Guaduas,31,0.0069
Mariquita,30,0.0067
Anserma,30,0.0067
El Carmen De Viboral,30,0.0067
Bolívar,28,0.0062
Pamplona,28,0.0062
Málaga,27,0.006
Socorro,26,0.0058
Paz De Ariporo,25,0.0056
Guateque,24,0.0053
Ipiales,24,0.0053
Silvia,24,0.0053
Santa Bárbara,23,0.0051
Baraya,23,0.0051
Paicol,23,0.0051
San Rafael,23,0.0051
San Juan Del Cesar,22,0.0049
Maicao,22,0.0049
Cabrera,21,0.0047
San Juan Nepomuceno,21,0.0047
La Paz,21,0.0047
Istmina,20,0.0044
San Agustín,20,0.0044
Cantagallo,20,0.0044
Suesca,20,0.0044
Pacho,19,0.0042
Patía,18,0.004
Caqueza,18,0.004
Rivera,17,0.0038
Malambo,17,0.0038
Acandí,17,0.0038
Colombia,17,0.0038
Socha,16,0.0036
Puerto Rico,16,0.0036
Pandi,16,0.0036
Boyacá,15,0.0033
San Vicente De Chucurí,15,0.0033
Fonseca,15,0.0033
Hispania,15,0.0033
Pensilvania,14,0.0031
Tierralta,14,0.0031
Teorama,14,0.0031
La Mesa,14,0.0031
Lenguazaque,13,0.0029
Cravo Norte,13,0.0029
Chaparral,12,0.0027
Nariño,12,0.0027
Chocontá,11,0.0024
Isnos,11,0.0024
Puerto Berrío,11,0.0024
Providencia,11,0.0024
El Banco,11,0.0024
Yondó,11,0.0024
Altamira,10,0.0022
