category,count,relative_pct
Bogotá,99768,22.1707
No Definido,98169,21.8153
Cali,33963,7.5473
Medellín,27772,6.1716
Bucaramanga,10347,2.2993
Cúcuta,8312,1.8471
Villavicencio,7895,1.7544
Barranquilla,7593,1.6873
Armenia,6822,1.516
Ibagué,6763,1.5029
Pereira,6664,1.4809
Cartagena,6640,1.4756
Popayán,6130,1.3622
Pasto,5500,1.2222
Yopal,5222,1.1604
Santa Marta,5207,1.1571
Manizales,4864,1.0809
Sincelejo,4448,0.9884
Tunja,4252,0.9449
San Andrés,3907,0.8682
Neiva,3673,0.8162
Turbaco,3173,0.7051
Soacha,2850,0.6333
Valledupar,2721,0.6047
Envigado,2544,0.5653
Floridablanca,2335,0.5189
Soledad,2305,0.5122
Arauca,1901,0.4224
Sabaneta,1808,0.4018
Montería,1671,0.3713
Riohacha,1612,0.3582
Mocoa,1609,0.3576
San Gil,1339,0.2976
Quibdó,1336,0.2969
Palmira,1325,0.2944
Rionegro,1220,0.2711
Facatativá,1216,0.2702
Tuluá,1202,0.2671
Bello,1187,0.2638
Piedecuesta,1158,0.2573
Dosquebradas,1117,0.2482
Jamundí,1112,0.2471
Florencia,1108,0.2462
Fusagasugá,1078,0.2396
Villa Del Rosario,1047,0.2327
La Estrella,994,0.2209
Funza,968,0.2151
Sogamoso,946,0.2102
Espinal,909,0.202
Chía,894,0.1987
Guadalajara De Buga,891,0.198
Apartadó,890,0.1978
Acacías,816,0.1813
Mosquera,779,0.1731
Girardot,762,0.1693
Zipaquirá,757,0.1682
Villamaría,747,0.166
Calarca,684,0.152
Pitalito,676,0.1502
Caldas,644,0.1431
Melgar,631,0.1402
Garzón,627,0.1393
Barrancabermeja,614,0.1364
Itagui,613,0.1362
Puerto Boyacá,603,0.134
Los Patios,578,0.1284
La Dorada,577,0.1282
Madrid,558,0.124
Cota,528,0.1173
Tocancipá,519,0.1153
Girón,504,0.112
Duitama,492,0.1093
Guarne,487,0.1082
Cartago,480,0.1067
Santa Rosa De Cabal,462,0.1027
Chinchiná,462,0.1027
Cajicá,461,0.1024
El Bagre,459,0.102
Girardota,456,0.1013
Puerto Asís,449,0.0998
Peñol,442,0.0982
Dagua,436,0.0969
Villa De San Diego De Ubate,421,0.0936
Cumaral,417,0.0927
El Santuario,410,0.0911
Barbosa,410,0.0911
Candelaria,406,0.0902
La Jagua De Ibirico,396,0.088
Villeta,394,0.0876
Montenegro,391,0.0869
Buenaventura,387,0.086
Retiro,387,0.086
Chiquinquirá,377,0.0838
Caucasia,371,0.0824
Málaga,370,0.0822
La Calera,369,0.082
Leticia,354,0.0787
San Carlos,345,0.0767
La Ceja,339,0.0753
Puerto Carreño,334,0.0742
Copacabana,331,0.0736
Puerto López,327,0.0727
Marinilla,319,0.0709
Sevilla,319,0.0709
La Tebaida,311,0.0691
Sibaté,298,0.0662
San José Del Guaviare,292,0.0649
El Cerrito,285,0.0633
Aguachica,283,0.0629
La Unión,263,0.0584
Andes,261,0.058
Pamplona,261,0.058
Yarumal,258,0.0573
El Carmen De Viboral,256,0.0569
Nilo,251,0.0558
Chigorodó,251,0.0558
Inírida,249,0.0553
Galapa,247,0.0549
Nariño,244,0.0542
Carolina,241,0.0536
Santa Rosa De Osos,238,0.0529
Pradera,235,0.0522
Flandes,234,0.052
La Virginia,230,0.0511
Puerto Triunfo,229,0.0509
Ricaurte,228,0.0507
Sopó,225,0.05
Turbo,220,0.0489
Quimbaya,217,0.0482
Puerto Colombia,210,0.0467
Solano,205,0.0456
Circasia,200,0.0444
Carepa,199,0.0442
Ipiales,196,0.0436
Caicedonia,187,0.0416
Roldanillo,186,0.0413
Honda,185,0.0411
Vélez,179,0.0398
Yumbo,178,0.0396
Puerto Berrío,174,0.0387
Risaralda,173,0.0384
Andalucía,171,0.038
Ocaña,170,0.0378
Jardín,167,0.0371
Villa De Leyva,160,0.0356
Tumaco,158,0.0351
Don Matías,156,0.0347
Magangué,154,0.0342
Campoalegre,148,0.0329
Paratebueno,144,0.032
Guacarí,144,0.032
Socorro,140,0.0311
Gómez Plata,137,0.0304
La Pintada,135,0.03
Santafé De Antioquia,132,0.0293
Restrepo,130,0.0289
Cisneros,130,0.0289
Venecia,126,0.028
Guatape,125,0.0278
Granada,124,0.0276
Distrito Capital,120,0.0267
La Plata,115,0.0256
Hispania,104,0.0231
Amagá,94,0.0209
Leguízamo,91,0.0202
San Jerónimo,80,0.0178
Anolaima,77,0.0171
Sabanalarga,75,0.0167
Tenjo,64,0.0142
Sonson,60,0.0133
Rivera,58,0.0129
Puerto Tejada,58,0.0129
Mitú,51,0.0113
Aguazul,47,0.0104
Coveñas,46,0.0102
Saravena,45,0.01
Gachala,44,0.0098
Entrerrios,44,0.0098
Tame,43,0.0096
Corozal,42,0.0093
Uribia,41,0.0091
Baranoa,40,0.0089
San Benito,37,0.0082
Santa Rosa De Viterbo,33,0.0073
Guaduas,31,0.0069
Mariquita,30,0.0067
Bolívar,27,0.006
Paz De Ariporo,25,0.0056
Zarzal,25,0.0056
Baraya,23,0.0051
Paicol,23,0.0051
San Rafael,23,0.0051
Maicao,22,0.0049
La Paz,21,0.0047
Istmina,20,0.0044
San Agustín,20,0.0044
Cogua,19,0.0042
Pacho,19,0.0042
Guateque,17,0.0038
Socha,16,0.0036
Puerto Rico,16,0.0036
La Mesa,16,0.0036
Fonseca,15,0.0033
Pensilvania,14,0.0031
Teorama,14,0.0031
Tierralta,13,0.0029
Lenguazaque,13,0.0029
Cravo Norte,13,0.0029
Isnos,11,0.0024
El Banco,11,0.0024
Puerto Libertador,11,0.0024
Yondó,11,0.0024
Altamira,10,0.0022
Miraflores,10,0.0022
Santo Domingo,10,0.0022
La Montañita,10,0.0022
Socotá,10,0.0022
Aquitania,10,0.0022
Belén De Umbría,10,0.0022
Tauramena,9,0.002
Gameza,9,0.002
Abejorral,9,0.002
Santa Rosa,9,0.002
Belén,9,0.002
El Copey,9,0.002
Cucunubá,9,0.002
Macanal,8,0.0018
Chocontá,8,0.0018
Dibulla,8,0.0018
Chíquiza,8,0.0018
Sativanorte,8,0.0018
Caqueza,8,0.0018
Palestina,8,0.0018
San Eduardo,8,0.0018
Santander De Quilichao,8,0.0018
Nocaima,8,0.0018
Supatá,8,0.0018
Pesca,8,0.0018
Santa María,8,0.0018
San Miguel,8,0.0018
Sotaquirá,7,0.0016
Somondoco,7,0.0016
Aipe,7,0.0016
La Uvita,7,0.0016
Milán,7,0.0016
Gachetá,7,0.0016
Pácora,7,0.0016
San Vicente Del Caguán,7,0.0016
Becerril,7,0.0016
Hacarí,7,0.0016
Tabio,7,0.0016
Boyacá,6,0.0013
Morales,6,0.0013
Tibasosa,6,0.0013
Gachantivá,6,0.0013
