category,count,relative_pct
702271321,7897,1.7549
704629146,5219,1.1598
702729500,4542,1.0093
702730482,4387,0.9749
703000075,4012,0.8916
703949024,3804,0.8453
700774011,3639,0.8087
706099488,3576,0.7947
702318460,3449,0.7664
712721034,3435,0.7633
701515082,3328,0.7396
702259557,3199,0.7109
702270372,3161,0.7024
709072474,2980,0.6622
701365033,2888,0.6418
702769076,2751,0.6113
703301051,2709,0.602
700787393,2687,0.5971
700637010,2665,0.5922
700676059,2655,0.59
701715203,2631,0.5847
700445042,2573,0.5718
702158254,2570,0.5711
701798407,2526,0.5613
700961014,2426,0.5391
702547704,2422,0.5382
700694094,2364,0.5253
706081700,2312,0.5138
702948183,2309,0.5131
703282152,2300,0.5111
701993388,2199,0.4887
700859218,2171,0.4824
701172108,2126,0.4724
702445891,2089,0.4642
701117632,2078,0.4618
706481892,2059,0.4576
702442096,2016,0.448
702523150,2012,0.4471
709391528,2006,0.4458
700817075,1997,0.4438
702589086,1942,0.4316
702192410,1938,0.4307
704323831,1888,0.4196
704942564,1864,0.4142
702727819,1836,0.408
701870321,1817,0.4038
700341043,1814,0.4031
704972363,1810,0.4022
700642036,1801,0.4002
702354598,1800,0.4
700447030,1788,0.3973
703038141,1764,0.392
706091220,1753,0.3896
700221021,1720,0.3822
704654201,1688,0.3751
700256027,1662,0.3693
702541384,1649,0.3664
703915215,1639,0.3642
700694045,1631,0.3624
701925125,1628,0.3618
700583222,1621,0.3602
702585365,1597,0.3549
703155960,1566,0.348
703957431,1517,0.3371
702486788,1495,0.3322
701699407,1485,0.33
702266156,1483,0.3296
702066127,1480,0.3289
701337164,1397,0.3104
705153054,1383,0.3073
703639690,1347,0.2993
701321135,1346,0.2991
700898067,1346,0.2991
700587033,1332,0.296
702860123,1282,0.2849
702280165,1263,0.2807
701428641,1234,0.2742
700771157,1227,0.2727
701946188,1225,0.2722
700367014,1221,0.2713
701110272,1213,0.2696
700087026,1197,0.266
702475393,1146,0.2547
700296015,1138,0.2529
700765068,1135,0.2522
702166190,1125,0.25
700088016,1123,0.2496
702390477,1116,0.248
700637051,1113,0.2473
701347270,1097,0.2438
702376260,1083,0.2407
700271034,1078,0.2396
703475053,1074,0.2387
701006074,1050,0.2333
700613011,1034,0.2298
704942390,1033,0.2296
703426569,1028,0.2284
705412617,1022,0.2271
702441189,1013,0.2251
701427445,1010,0.2244
706029618,1008,0.224
704187608,988,0.2196
702511981,964,0.2142
704964485,958,0.2129
703984526,952,0.2116
702349549,951,0.2113
711724823,948,0.2107
702874223,948,0.2107
710188293,940,0.2089
702384207,929,0.2064
704259860,921,0.2047
700763170,918,0.204
710346917,913,0.2029
702046087,911,0.2024
702066010,909,0.202
704695428,903,0.2007
702445743,898,0.1996
702861493,898,0.1996
709360457,886,0.1969
702440603,885,0.1967
702344805,872,0.1938
702001421,872,0.1938
700587157,871,0.1936
700927064,868,0.1929
702364142,866,0.1924
704160753,839,0.1864
705238137,838,0.1862
704868611,836,0.1858
702418120,835,0.1856
702413246,823,0.1829
711192211,820,0.1822
702435959,818,0.1818
702309477,810,0.18
702354804,810,0.18
700803117,804,0.1787
701551798,800,0.1778
701255226,794,0.1764
704155167,791,0.1758
700985252,788,0.1751
708618020,788,0.1751
703247858,787,0.1749
702408220,770,0.1711
701238073,747,0.166
703035956,747,0.166
702768342,747,0.166
700591183,742,0.1649
702217399,739,0.1642
700586134,733,0.1629
700662059,714,0.1587
700613045,709,0.1576
704246388,708,0.1573
702016304,700,0.1556
702217274,697,0.1549
701149171,689,0.1531
706520657,686,0.1524
704291491,684,0.152
702594383,683,0.1518
703991851,680,0.1511
704015031,678,0.1507
700409022,676,0.1502
702832809,676,0.1502
702848847,669,0.1487
702191560,666,0.148
704161363,665,0.1478
709183180,660,0.1467
702091182,659,0.1464
702350083,655,0.1456
700218035,651,0.1447
705555407,651,0.1447
700509136,646,0.1436
700474109,638,0.1418
704562362,634,0.1409
711161810,632,0.1404
705258721,630,0.14
708899216,623,0.1384
703688838,622,0.1382
702384066,621,0.138
702831819,616,0.1369
700588015,613,0.1362
704059872,613,0.1362
710552290,603,0.134
700230014,602,0.1338
704035211,598,0.1329
700577042,592,0.1316
700663107,589,0.1309
702359944,585,0.13
706570512,574,0.1276
702856097,574,0.1276
701950024,570,0.1267
702522244,570,0.1267
700985013,569,0.1264
709023915,568,0.1262
701399172,566,0.1258
704063254,558,0.124
702231408,557,0.1238
703932673,550,0.1222
705272680,546,0.1213
702095092,545,0.1211
703767566,543,0.1207
704162973,541,0.1202
702481052,533,0.1184
700209018,533,0.1184
701666380,529,0.1176
702644691,529,0.1176
702948969,522,0.116
702288622,520,0.1156
702220054,519,0.1153
704060383,510,0.1133
704659911,510,0.1133
700077019,505,0.1122
700583065,501,0.1113
700235021,499,0.1109
702179409,497,0.1104
702923731,497,0.1104
700686124,496,0.1102
701724114,494,0.1098
700262025,492,0.1093
705352060,489,0.1087
709017214,488,0.1084
700569072,486,0.108
702742388,486,0.108
702435306,484,0.1076
702380031,483,0.1073
701922320,481,0.1069
700406036,481,0.1069
708964812,477,0.106
704059641,474,0.1053
703584037,470,0.1044
702448036,464,0.1031
703738849,463,0.1029
700037070,463,0.1029
701171019,462,0.1027
702330010,461,0.1024
702360090,461,0.1024
704040070,457,0.1016
705489250,453,0.1007
704153634,452,0.1004
702459025,449,0.0998
702441627,448,0.0996
701472011,447,0.0993
706709458,447,0.0993
704694173,444,0.0987
707451597,443,0.0984
704260165,442,0.0982
706595345,441,0.098
700814015,441,0.098
704960004,440,0.0978
702312703,437,0.0971
703840058,437,0.0971
700790058,436,0.0969
702721457,436,0.0969
704329291,436,0.0969
704923762,436,0.0969
704160282,435,0.0967
700795065,434,0.0964
705645349,434,0.0964
702330952,433,0.0962
704154335,432,0.096
701108102,432,0.096
700665045,431,0.0958
702424037,430,0.0956
701119182,430,0.0956
709404925,429,0.0953
704162874,429,0.0953
705246718,428,0.0951
707914438,427,0.0949
703036004,427,0.0949
702318023,426,0.0947
704683010,425,0.0944
702187444,424,0.0942
703835165,423,0.094
702776618,417,0.0927
702179383,415,0.0922
703915793,410,0.0911
700218068,409,0.0909
709412027,409,0.0909
702475021,407,0.0904
700094030,406,0.0902
700793102,406,0.0902
701433674,405,0.09
705069607,405,0.09
701715807,404,0.0898
704161728,403,0.0896
700889173,401,0.0891
712346519,400,0.0889
701117699,400,0.0889
702192030,399,0.0887
705377810,399,0.0887
702644097,398,0.0884
701869646,398,0.0884
702292459,397,0.0882
702138447,396,0.088
702158197,394,0.0876
700066053,393,0.0873
701160020,393,0.0873
702988379,393,0.0873
701585283,391,0.0869
702825183,391,0.0869
703030957,391,0.0869
702561986,390,0.0867
704142835,388,0.0862
705030252,386,0.0858
704160423,385,0.0856
702744467,382,0.0849
701400236,382,0.0849
702917022,381,0.0847
700578032,381,0.0847
702797036,381,0.0847
700862154,379,0.0842
710121666,378,0.084
702413634,377,0.0838
705044196,377,0.0838
701645202,377,0.0838
700103013,376,0.0836
702259540,375,0.0833
704148691,373,0.0829
705320893,371,0.0824
706338985,369,0.082
705008985,368,0.0818
701252041,365,0.0811
701707648,365,0.0811
702436494,365,0.0811
703876458,365,0.0811
704156108,363,0.0807
702542523,362,0.0804
704974633,360,0.08
700422025,359,0.0798
703470195,358,0.0796
700712011,357,0.0793
702230251,355,0.0789
703187666,355,0.0789
709403372,351,0.078
700612096,347,0.0771
709381586,346,0.0769
701263113,345,0.0767
702516691,344,0.0764
705282838,341,0.0758
702292145,341,0.0758
703037499,339,0.0753
700111024,336,0.0747
700403058,335,0.0744
701694408,333,0.074
700890031,332,0.0738
710420365,332,0.0738
700696065,331,0.0736
700133044,330,0.0733
704063197,330,0.0733
702640434,328,0.0729
704155043,328,0.0729
700861115,327,0.0727
711994194,327,0.0727
700600117,325,0.0722
702412826,324,0.072
700043011,324,0.072
702069113,323,0.0718
704160183,322,0.0716
706873189,322,0.0716
700964026,321,0.0713
701152050,319,0.0709
704247485,316,0.0702
704670843,315,0.07
702137340,315,0.07
702492034,314,0.0698
702943952,313,0.0696
709374037,312,0.0693
705634392,311,0.0691
701594715,309,0.0687
708354113,309,0.0687
701941254,308,0.0684
700090079,307,0.0682
700065089,307,0.0682
702964248,306,0.068
702529231,302,0.0671
702849316,300,0.0667
700638059,300,0.0667
700721053,299,0.0664
701675019,295,0.0656
701715187,295,0.0656
700363047,295,0.0656
700675051,294,0.0653
700098023,294,0.0653
704198639,292,0.0649
704150028,292,0.0649
703208645,291,0.0647
702442005,291,0.0647
702375593,289,0.0642
702758418,287,0.0638
709578611,286,0.0636
703714378,285,0.0633
702418666,284,0.0631
704784032,283,0.0629
702284720,282,0.0627
701698102,282,0.0627
704156207,282,0.0627
700562028,282,0.0627
702892266,279,0.062
703352179,278,0.0618
704483148,278,0.0618
702944208,277,0.0616
707720215,277,0.0616
705672095,275,0.0611
700220049,274,0.0609
702452210,273,0.0607
705077204,272,0.0604
706013752,269,0.0598
700108012,269,0.0598
