category,count,relative_pct
V1.80111600,117161,26.0358
V1.80111500,24494,5.4431
V1.80111701,23159,5.1464
V1.80111620,16700,3.7111
V1.80111501,10908,2.424
V1.80111601,9106,2.0236
V1.80161500,8980,1.9956
V1.85101600,5472,1.216
V1.81101500,4573,1.0162
V1.80101600,3808,0.8462
V1.80131500,3700,0.8222
V1.80101500,3610,0.8022
V1.93151500,3474,0.772
V1.93141500,3330,0.74
V1.80111700,2709,0.602
V1.93141702,2578,0.5729
V1.93141701,2387,0.5304
V1.80101604,2291,0.5091
UNSPECIFIED,2149,0.4776
V1.80111607,2141,0.4758
V1.80111604,1700,0.3778
V1.78181500,1543,0.3429
V1.80131502,1512,0.336
V1.80161504,1448,0.3218
V1.72101500,1433,0.3184
V1.72102900,1403,0.3118
V1.80111504,1388,0.3084
V1.93141501,1346,0.2991
V1.72103300,1306,0.2902
V1.93141506,1294,0.2876
V1.93141700,1233,0.274
V1.81111500,1222,0.2716
V1.93151501,1198,0.2662
V1.80121704,1170,0.26
V1.80101505,1149,0.2553
V1.80141607,1142,0.2538
V1.86101700,1113,0.2473
V1.83111800,1099,0.2442
V1.42295134,1097,0.2438
V1.85121700,1089,0.242
V1.77101700,1078,0.2396
V1.80161501,1072,0.2382
V1.72141100,1051,0.2336
V1.72121400,957,0.2127
V1.85121600,934,0.2076
V1.78111800,921,0.2047
V1.84131500,916,0.2036
V1.85101601,886,0.1969
V1.72141000,872,0.1938
V1.86101710,855,0.19
V1.86101600,831,0.1847
V1.85101500,820,0.1822
V1.80161507,818,0.1818
V1.80111614,816,0.1813
V1.85101705,788,0.1751
V1.93141509,782,0.1738
V1.81101700,782,0.1738
V1.80121700,762,0.1693
V1.80101509,760,0.1689
V1.93151507,752,0.1671
V1.25131709,751,0.1669
V1.86101808,738,0.164
V1.72101507,732,0.1627
V1.81112200,729,0.162
V1.81111800,726,0.1613
V1.95111600,724,0.1609
V1.80121601,701,0.1558
V1.85101700,687,0.1527
V1.80101504,685,0.1522
V1.82101600,670,0.1489
V1.81141601,667,0.1482
V1.81101706,637,0.1416
V1.82151500,616,0.1369
V1.84131600,595,0.1322
V1.80101706,595,0.1322
V1.72141003,592,0.1316
V1.77101604,589,0.1309
V1.81141500,578,0.1284
V1.80111623,575,0.1278
V1.42121600,567,0.126
V1.53131600,563,0.1251
V1.72101511,558,0.124
V1.43211500,555,0.1233
V1.81141504,543,0.1207
V1.46151700,524,0.1164
V1.82101500,521,0.1158
V1.80141600,517,0.1149
V1.93131608,492,0.1093
V1.77101701,484,0.1076
V1.83111900,478,0.1062
V1.76111500,475,0.1056
V1.77101600,470,0.1044
V1.42181800,456,0.1013
V1.84111500,447,0.0993
V1.81112501,427,0.0949
V1.31162800,426,0.0947
V1.80111605,424,0.0942
V1.85121500,420,0.0933
V1.86101705,418,0.0929
V1.86121701,408,0.0907
V1.85121608,405,0.09
V1.41122600,403,0.0896
V1.81102200,400,0.0889
V1.80141902,396,0.088
V1.12352100,393,0.0873
V1.43231500,392,0.0871
V1.82151700,388,0.0862
V1.72151500,379,0.0842
V1.42131500,377,0.0838
V1.93131503,375,0.0833
V1.78181507,373,0.0829
V1.41116100,371,0.0824
V1.46191601,370,0.0822
V1.90141600,364,0.0809
V1.80101506,363,0.0807
V1.90141700,359,0.0798
V1.15101506,355,0.0789
V1.82101601,354,0.0787
V1.76111501,352,0.0782
V1.80161506,352,0.0782
V1.55101500,349,0.0776
V1.42143101,344,0.0764
V1.73152108,341,0.0758
V1.83121700,341,0.0758
V1.84111502,341,0.0758
V1.46181500,339,0.0753
V1.15101500,338,0.0751
V1.42171900,338,0.0751
V1.70122000,331,0.0736
V1.83101500,330,0.0733
V1.82121500,328,0.0729
V1.78181800,323,0.0718
V1.90101600,322,0.0716
V1.80121600,314,0.0698
V1.86111600,310,0.0689
V1.72101516,305,0.0678
V1.84111600,305,0.0678
V1.85111500,303,0.0673
V1.40101701,303,0.0673
V1.80131501,303,0.0673
V1.80121609,299,0.0664
V1.85101501,297,0.066
V1.86121700,294,0.0653
V1.93141808,293,0.0651
V1.80141900,292,0.0649
V1.93151514,291,0.0647
V1.42132200,287,0.0638
V1.85111508,285,0.0633
V1.86101810,284,0.0631
V1.86132000,284,0.0631
V1.80131802,283,0.0629
V1.85101701,282,0.0627
V1.85111514,280,0.0622
V1.43233200,279,0.062
V1.83121701,278,0.0618
V1.51101500,278,0.0618
V1.72102103,272,0.0604
V1.86121500,270,0.06
V1.73152101,269,0.0598
V1.85101707,268,0.0596
V1.85101706,268,0.0596
V1.72101509,267,0.0593
V1.81112300,267,0.0593
V1.80121503,265,0.0589
V1.81111600,262,0.0582
V1.41122400,262,0.0582
V1.80111617,261,0.058
V1.44121600,258,0.0573
V1.72101506,257,0.0571
V1.73152100,255,0.0567
V1.80101602,253,0.0562
V1.80111621,253,0.0562
V1.77111600,251,0.0558
V1.80101507,244,0.0542
V1.85111600,242,0.0538
V1.15101505,241,0.0536
V1.93141707,240,0.0533
V1.92121500,237,0.0527
V1.53102700,237,0.0527
V1.95121700,235,0.0522
V1.93141514,231,0.0513
V1.93131600,227,0.0504
V1.82111900,227,0.0504
V1.52161500,225,0.05
V1.81112100,223,0.0496
V1.85101604,223,0.0496
V1.51102700,223,0.0496
V1.93141703,222,0.0493
V1.72121406,221,0.0491
V1.20102301,219,0.0487
V1.82101603,218,0.0484
V1.42211500,218,0.0484
V1.70161700,217,0.0482
V1.56101700,216,0.048
V1.14111700,214,0.0476
V1.93151611,214,0.0476
V1.80111715,213,0.0473
V1.81101701,212,0.0471
V1.92121504,212,0.0471
V1.78102203,212,0.0471
V1.80101510,211,0.0469
V1.81101508,210,0.0467
V1.82151704,210,0.0467
V1.81151700,209,0.0464
V1.81101512,208,0.0462
V1.85122201,208,0.0462
V1.84111603,207,0.046
V1.85161500,206,0.0458
V1.81101513,201,0.0447
V1.73101701,200,0.0444
V1.81112000,199,0.0442
V1.80101601,198,0.044
V1.85151601,198,0.044
V1.78181505,197,0.0438
