category,count,relative_pct
Contratación directa,283364,62.9698
Contratación régimen especial,51367,11.4149
Mínima cuantía,37478,8.3284
Selección Abreviada de Menor Cuantía,20575,4.5722
Selección abreviada subasta inversa,15257,3.3904
Solicitud de información a los Proveedores,12905,2.8678
Contratación Directa (con ofertas),8963,1.9918
Contratación régimen especial (con ofertas),8326,1.8502
Licitación pública,4158,0.924
Concurso de méritos abierto,3357,0.746
Licitación pública Obra Publica,2913,0.6473
Subasta de prueba,583,0.1296
Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,380,0.0844
Licitación Pública Acuerdo Marco de Precios,257,0.0571
Enajenación de bienes con sobre cerrado,65,0.0144
Enajenación de bienes con subasta,51,0.0113
Concurso de méritos con precalificación,1,0.0002
