category,count,relative_pct
SUBDIRECCION DE CONTRATACION,8282,1.8404
CONTRATACION,6742,1.4982
Secretaría General - IUCMA,5219,1.1598
DIRECCIÓN DE CONTRATACIÓN,4749,1.0553
DIRECCION DE CONTRATACION,4640,1.0311
GRUPO GESTION CONTRACTUAL,4189,0.9309
DIRECCIÓN DE CONTRATACIÓN - COMPRAS,3938,0.8751
Gestión Contractual,3916,0.8702
SECRETARIA GENERAL,3892,0.8649
JURIDICA,3816,0.848
SECRETARIA DE SALUD,3660,0.8133
OFICINA DE CONTRATACION,3658,0.8129
SECRETARÍA GENERAL,3649,0.8109
PUBLICACION COMPRAS SIN CONTRATO,3610,0.8022
SERVICIOS PROFESIONALES Y DE APOYO A LA GESTIÓN,3575,0.7944
GESTIÓN CONTRACTUAL,3243,0.7207
GESTION CONTRACTUAL,3124,0.6942
JURÍDICA,2979,0.662
GRUPO DE CONTRATOS Y CONVENIOS,2657,0.5904
INDERVALLE,2631,0.5847
SECRETARIA DE INFRAESTRUCTURA,2596,0.5769
PITS,2495,0.5544
TALENTO HUMANO,2493,0.554
GRUPO DE CONTRATOS HOSPITAL CENTRAL POLICIA NACIONAL,2422,0.5382
Secretaría de Seguridad y Justicia,2300,0.5111
Oficina Jurídica,2213,0.4918
SUBDIRECCION DE CONTRATACIÓN,2199,0.4887
CONTRATOS,2187,0.486
CONTRATACIÓN,2131,0.4736
DIRECCIÓN DE CONTRATACIÓN ByS,2106,0.468
GRUPO DE CONTRATACION,2075,0.4611
SECRETARIA DE GOBIERNO,2069,0.4598
DIRECCIÓN ADMINISTRATIVA DE FUNCIÓN PÚBLICA,2014,0.4476
SECRETARIA ADMINISTRATIVA,1987,0.4416
Contratación Directa,1963,0.4362
OFICINA JURIDICA,1953,0.434
OFICINA JURÍDICA,1926,0.428
ALCALDÍA DE FLORIDABLANCA,1888,0.4196
SECRETARIA CONTRATACION,1833,0.4073
Unidad de Contratacion,1832,0.4071
SUBDIRECCION DE FOMENTO DEPORTIVO Y RECREATIVO,1795,0.3989
UNIDAD DE RESTITUCION DE TIERRAS-CONTRATACION,1788,0.3973
GRUPO DE CONTRATOS,1758,0.3907
Operacion de Abastecimiento Regional,1705,0.3789
IDEXUD,1702,0.3782
Departamento Administrativo de Contratación Pública,1696,0.3769
SUBDIRECCION DE GESTION CONTRACTUAL,1621,0.3602
UNIDAD DE CONTRATACION,1596,0.3547
DEPARTAMENTO ADMINISTRATIVO DE CONTRATACIÓN,1560,0.3467
MINIMA CUANTIA,1550,0.3444
CONTRATACION DIRECTA,1521,0.338
GESTION CONTRATACION,1517,0.3371
SECRETARIA DE EDUCACION,1513,0.3362
UNIDADJURIDICA,1511,0.3358
EQUIPO TALENTO HUMANO,1500,0.3333
01 SECRETARIA GENERAL,1497,0.3327
GRUPO DE CONTRATACIÓN,1495,0.3322
GERENCIA DE CONTRATACIÓN,1477,0.3282
CONTRATACION BIENES Y SERVICIOS,1447,0.3216
SECRETARIA DE HACIENDA,1442,0.3204
SUBDIRECCIÓN DE CONTRATACIÓN,1416,0.3147
Secretaría de Cultura,1299,0.2887
Secretaría de Gobierno,1296,0.288
DANE - DIRECCION TERRITORIAL NORTE,1280,0.2844
HOSPITAL MILITAR CENTRAL,1256,0.2791
Secretaria General,1254,0.2787
SECRETARIA GENERAL 2021*,1243,0.2762
DIRECCIÓN GENERAL ADMINISTRATIVA,1234,0.2742
CONTRATOS IDIPRON,1221,0.2713
CONTRATACION DE SERVICIOS 2022,1215,0.27
Oficina Asesora Jurídica,1206,0.268
OFICINA ASESORA JURIDICA,1200,0.2667
ICBF sede de la Dirección General,1185,0.2633
UNIDAD ASESORA DE CONTRATACION,1183,0.2629
GRUPO BASE MEDELLIN,1165,0.2589
SECRETARIA DE MOVILIDAD,1156,0.2569
CONTRATOS Y CONVENIOS,1144,0.2542
Secretaría General,1136,0.2524
SECRETARÍA GENERAL CPS,1122,0.2493
OFICINA ASESORA JURÍDICA,1122,0.2493
SECRETARIA JURIDICA,1119,0.2487
UNIDAD DE CONTRATACIÓN GESTIÓN CONTRACTUAL MINSALUD,1113,0.2473
SECRETARIA DE PLANEACION,1096,0.2436
DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,1083,0.2407
Oficina Asesora Juridica,1064,0.2364
SECRETARÍA DE SALUD,1032,0.2293
OFICINA DE CONTRATACIÓN,1003,0.2229
