column,null_count,null_pct,non_null_count
fecha_de_publicacion_fase,449999,99.9998,1
fecha_de_publicacion,443781,98.618,6219
fecha_de_publicacion_fase_2,435258,96.724,14742
fecha_adjudicacion,382184,84.9298,67816
fecha_de_apertura_de_respuesta,357182,79.3738,92818
fecha_de_apertura_efectiva,345763,76.8362,104237
fecha_de_recepcion_de,335314,74.5142,114686
fecha_de_publicacion_fase_3,20962,4.6582,429038
fase,50,0.0111,449950
entidad,0,0.0,450000
nit_entidad,0,0.0,450000
departamento_entidad,0,0.0,450000
ciudad_entidad,0,0.0,450000
ordenentidad,0,0.0,450000
codigo_pci,0,0.0,450000
id_del_proceso,0,0.0,450000
referencia_del_proceso,0,0.0,450000
ppi,0,0.0,450000
id_del_portafolio,0,0.0,450000
nombre_del_procedimiento,0,0.0,450000
descripci_n_del_procedimiento,0,0.0,450000
fecha_de_publicacion_del,0,0.0,450000
fecha_de_ultima_publicaci,0,0.0,450000
precio_base,0,0.0,450000
modalidad_de_contratacion,0,0.0,450000
justificaci_n_modalidad_de,0,0.0,450000
duracion,0,0.0,450000
unidad_de_duracion,0,0.0,450000
ciudad_de_la_unidad_de,0,0.0,450000
nombre_de_la_unidad_de,0,0.0,450000
proveedores_invitados,0,0.0,450000
proveedores_con_invitacion,0,0.0,450000
visualizaciones_del,0,0.0,450000
proveedores_que_manifestaron,0,0.0,450000
respuestas_al_procedimiento,0,0.0,450000
respuestas_externas,0,0.0,450000
conteo_de_respuestas_a_ofertas,0,0.0,450000
proveedores_unicos_con,0,0.0,450000
numero_de_lotes,0,0.0,450000
estado_del_procedimiento,0,0.0,450000
id_estado_del_procedimiento,0,0.0,450000
codigo_principal_de_categoria,0,0.0,450000
estado_de_apertura_del_proceso,0,0.0,450000
tipo_de_contrato,0,0.0,450000
subtipo_de_contrato,0,0.0,450000
categorias_adicionales,0,0.0,450000
urlproceso,0,0.0,450000
codigo_entidad,0,0.0,450000
estado_resumen,0,0.0,450000
url,0,0.0,450000
