id_del_proceso,referencia_del_proceso,entidad,estado_del_procedimiento,estado_resumen,fecha_de_publicacion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,flag_recepcion_antes_publicacion,flag_apertura_antes_recepcion,flag_apertura_efectiva_antes_recepcion,flag_publicacion_posterior_apertura,flag_publicacion_posterior_apertura_efectiva,flag_ultima_publicacion_antes_publicacion
CO1.REQ.1961833,EM-092-2021,SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,Evaluación,Presentación de oferta,,2021-04-15 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1939537,SP-014-2021,SECRETARIA DISTRITAL DE LA MUJER,Evaluación,Presentación de oferta,,2021-04-20 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1958811,COTIZACIÓN DTCOC-IPMC-005-2021,DANE CENTRO OCCIDENTE,Evaluación,Presentación de oferta,,2021-04-15 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1963243,EM-095-2021,SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,Evaluación,Presentación de oferta,,2021-04-21 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1961464,COTIZACIÓN No. 019 2021,POLICIA METROPOLITANA DE BOGOTA,Evaluación,Presentación de oferta,,2021-04-13 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1962917,SIP 071 RASESNº 2,RASES - HUILA No.2,Evaluación,Presentación de oferta,,2021-04-16 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1962398,Solicitud de cotización 12 de 2021,SENA REGIONAL SANTANDER Grupo Administrativo CA,Evaluación,Presentación de oferta,,2021-04-21 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1962319,SIP 072 COADE DICRE CENACING 2021,CENTRAL ADMINISTRATIVA ESPECIALIZADA INGENIEROS CENAC INGENIEROS,Evaluación,Presentación de oferta,,2021-05-18 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1961618,EM-089-2021,SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,Evaluación,Presentación de oferta,,2021-04-15 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1947503,CD-045-2021-HOMIL,HOSPITAL MILITAR CENTRAL,Seleccionado,Adjudicado,,2021-04-19 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1961745,Adquirir equipos para proyecto de modernización,SENA REGIONAL CALDAS CENTRO DE AUTOMATIZACION INDUSTRIAL,Evaluación,Presentación de oferta,,2021-04-14 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1962863,ICBF-SDC-002-2021-CAU,ICBF REGIONAL CAUCA,Evaluación,Presentación de oferta,,2021-05-14 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1961624,CD 015/2021 MDN-VGSED-DCRI,DIVRI,Seleccionado,Adjudicado,,2021-04-14 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.1962003,101 SOLICITUD COTIZACION SERVICIO ESTERILIZACION,DISPENSARIO MEDICO DE MEDELLIN//,Evaluación,Presentación de oferta,,2021-04-16 00:00:00+00:00,,2021-04-12 00:00:00+00:00,False,False,True,False,False,False
