feature,type
entidad,string
nit_entidad,string
departamento_entidad,string
ciudad_entidad,string
ordenentidad,string
codigo_pci,string
fase,string
precio_base,float64
modalidad_de_contratacion,string
justificaci_n_modalidad_de,string
duracion,float64
unidad_de_duracion,string
ciudad_de_la_unidad_de,string
nombre_de_la_unidad_de,string
numero_de_lotes,int64
codigo_principal_de_categoria,string
tipo_de_contrato,string
categorias_adicionales,string
codigo_entidad,string
precio_base_es_cero,bool
precio_base_log,float64
flag_precio_base_extremo,bool
duracion_dias,float64
duracion_improbable,bool
unidad_de_duracion_desconocida,bool[pyarrow]
tiene_descripcion,bool
tiene_urlproceso,bool
tiene_categorias_adicionales,bool
ausencia_geografica,bool
tiene_fecha_recepcion,bool
tiene_fecha_apertura_efectiva,bool
dias_hasta_recepcion,float64
anomalia_apertura_antes_recepcion,bool
missing_temporal_count,int64
anomalia_temporal,bool
completitud_critica,float64
fue_duplicado_exacto,bool
fue_duplicado_logico,bool
longitud_descripcion,int64
dias_publicacion_a_recepcion,float64
dias_recepcion_a_apertura,float64
dias_publicacion_a_apertura,float64
flag_tiene_fecha_publicacion,int8
flag_tiene_fecha_recepcion,int8
flag_incoherencia_temporal_observada,int8
riesgo_baja_transparencia,int8
target_dimension_count_v2,int8
target_confidence_v2,str
