column,semantic_group,dtype,non_null_count,non_null_pct,null_pct,nunique,is_binary_like,eligible_mean_ci,eligible_proportion_ci,eligible_group_outcome,eligible_group_var,eligible_categorical_association,eligible_numeric_association,eligible_linear_predictor,model_excluded,skip_reason
duracion_dias,numeric,float64,428958,99.8643,0.1357,1173,False,True,False,True,False,False,True,True,False,eligible
precio_base_log,numeric,float64,429539,99.9995,0.0005,116589,False,True,False,True,False,False,True,True,False,eligible
score_competencia,numeric,float64,429541,100.0,0.0,8,False,True,False,True,False,False,True,False,True,excluded_from_modeling
score_temporal,numeric,float64,429541,100.0,0.0,7,False,True,False,True,False,False,True,False,True,excluded_from_modeling
total_interes_oferentes,numeric,int64,429541,100.0,0.0,224,False,True,False,True,False,False,True,True,False,eligible
total_respuestas,numeric,int64,429541,100.0,0.0,149,False,True,False,True,False,False,True,True,False,eligible
transparency_score,numeric,float64,429541,100.0,0.0,222,False,True,False,True,False,False,True,False,True,excluded_from_modeling
departamento_entidad,categorical,string,421806,98.1992,1.8008,33,False,False,False,False,True,True,False,True,False,eligible
fase,categorical,string,429491,99.9884,0.0116,13,False,False,True,False,True,True,False,False,False,eligible
justificaci_n_modalidad_de,categorical,string,429541,100.0,0.0,32,False,False,True,False,True,True,False,False,False,eligible
modalidad_de_contratacion,categorical,string,429541,100.0,0.0,17,False,False,True,False,True,True,False,False,False,eligible
ordenentidad,categorical,string,429541,100.0,0.0,3,False,False,True,False,True,True,False,True,False,eligible
tipo_de_contrato,categorical,string,428958,99.8643,0.1357,23,False,False,True,False,True,True,False,True,False,eligible
conteo_de_respuestas_a_ofertas,numeric,int64,429541,100.0,0.0,28,False,True,False,False,False,False,True,False,False,eligible
duracion,numeric,float64,429541,100.0,0.0,1024,False,True,False,False,False,False,True,False,False,eligible
intensidad_competencia_log,numeric,float64,429541,100.0,0.0,284,False,True,False,False,False,False,True,False,False,eligible
intensidad_competencia_normalizada,numeric,float64,429541,100.0,0.0,7,False,True,False,False,False,False,True,False,False,eligible
margin_to_threshold,numeric,float64,429541,100.0,0.0,214,False,True,False,False,False,False,True,False,True,excluded_from_modeling
missing_required_fields_count,numeric,int8,429541,100.0,0.0,5,False,True,False,False,False,False,True,False,False,eligible
numero_de_lotes,numeric,int64,429541,100.0,0.0,62,False,True,False,False,False,False,True,True,False,eligible
precio_base,numeric,float64,429539,99.9995,0.0005,116589,False,True,False,False,False,False,True,False,False,eligible
proveedores_con_invitacion,numeric,int64,429541,100.0,0.0,193,False,True,False,False,False,False,True,False,False,eligible
proveedores_invitados,numeric,int64,429541,100.0,0.0,2856,False,True,False,False,False,False,True,False,False,eligible
proveedores_unicos_con,numeric,int64,429541,100.0,0.0,148,False,True,False,False,False,False,True,False,False,eligible
respuestas_al_procedimiento,numeric,int64,429541,100.0,0.0,148,False,True,False,False,False,False,True,False,False,eligible
respuestas_externas,numeric,int64,429541,100.0,0.0,18,False,True,False,False,False,False,True,False,False,eligible
score_completitud,numeric,float64,429541,100.0,0.0,9,False,True,False,False,False,False,True,False,True,excluded_from_modeling
visualizaciones_del,numeric,int64,429541,100.0,0.0,431,False,True,False,False,False,False,True,False,False,eligible
anomalia_apertura_antes_recepcion,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
anomalia_temporal,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,True,False,True,False,eligible
ausencia_geografica,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,False,False,False,False,eligible
categorias_adicionales,categorical,string,68969,16.0564,83.9436,33745,False,False,False,False,False,False,False,False,False,low_completeness
ciudad_de_la_unidad_de,categorical,string,429541,100.0,0.0,454,False,False,False,False,False,False,False,False,False,eligible
ciudad_entidad,categorical,string,338866,78.8903,21.1097,409,False,False,False,False,False,False,False,False,False,eligible
codigo_entidad,categorical,string,429541,100.0,0.0,1985,False,False,False,False,False,False,False,False,False,eligible
codigo_pci,categorical,string,429541,100.0,0.0,2,False,False,True,False,False,False,False,False,False,eligible
codigo_principal_de_categoria,categorical,string,429541,100.0,0.0,8594,False,False,False,False,False,False,False,False,False,eligible
competencia_reportada,boolean,bool,429541,100.0,0.0,2,True,False,True,False,False,True,False,False,False,eligible
completitud_critica,numeric,float64,429541,100.0,0.0,3,False,False,False,False,False,False,False,False,False,low_numeric_variability
confianza_label,categorical,string,429541,100.0,0.0,3,False,False,True,False,False,True,False,False,True,excluded_from_modeling
descripci_n_del_procedimiento,text,string,425640,99.0918,0.9082,272765,False,False,False,False,False,False,False,False,False,technical_or_text_column
dias_hasta_recepcion,numeric,float64,94183,21.9264,78.0736,132,False,False,False,False,False,False,False,False,False,low_completeness
