left_column,right_column,test_name,n_used,table_shape,statistic,p_value,degrees_of_freedom,cramers_v,expected_cells_below_5_pct,large_sample_warning,status,skip_reason
competencia_reportada,anomalia_temporal,Chi-square,429541,2x2,44541.7829912694,0.0,1,0.3220189925120536,0.0,True,ok,
competencia_reportada,fue_duplicado_logico,Chi-square,429541,2x2,8584.897797403382,0.0,1,0.1413726024330762,0.0,True,ok,
confianza_label,anomalia_temporal,Chi-square,429541,3x2,8616.960280347945,0.0,2,0.14163635236131783,0.0,True,ok,
confianza_label,competencia_reportada,Chi-square,429541,3x2,185259.86451144985,0.0,2,0.6567322734437259,0.0,True,ok,
confianza_label,fue_duplicado_logico,Chi-square,429541,3x2,4572.715083307082,0.0,2,0.1031774426251799,0.0,True,ok,
confianza_label,riesgo_baja_transparencia,Chi-square,429541,3x2,287478.3836836651,0.0,2,0.8180884953218418,0.0,True,ok,
departamento_entidad,competencia_reportada,Chi-square,421806,9x2,2613.4179090682273,0.0,8,0.07871328815119986,0.0,True,ok,
departamento_entidad,confianza_label,Chi-square,421806,9x3,35081.51228269254,0.0,16,0.20392373591894006,0.0,True,ok,
departamento_entidad,fase,Chi-square,421756,9x9,14233.153172527273,0.0,64,0.064949368562656,7.4074074074074066,True,ok,
departamento_entidad,justificaci_n_modalidad_de,Chi-square,421806,9x9,47286.217148995216,0.0,64,0.11837661472967347,0.0,True,ok,
departamento_entidad,modalidad_de_contratacion,Chi-square,421806,9x9,45493.82380775286,0.0,64,0.11611139707680856,0.0,True,ok,
departamento_entidad,nivel_riesgo_transparencia,Chi-square,421806,9x3,5568.298398668167,0.0,16,0.08124373406291627,0.0,True,ok,
departamento_entidad,riesgo_baja_transparencia,Chi-square,421806,9x2,4563.3064339970515,0.0,8,0.10401199828460095,0.0,True,ok,
departamento_entidad,tipo_de_contrato,Chi-square,421255,9x9,21616.45252659404,0.0,64,0.08008933430980991,0.0,True,ok,
fase,anomalia_temporal,Chi-square,429491,9x2,16446.909803369235,0.0,8,0.1956884176640784,0.0,True,ok,
fase,competencia_reportada,Chi-square,429491,9x2,65837.1066971978,0.0,8,0.39152395102818605,0.0,True,ok,
fase,confianza_label,Chi-square,429491,9x3,107998.12255455818,0.0,16,0.35458149864909977,0.0,True,ok,
fase,justificaci_n_modalidad_de,Chi-square,429491,9x9,424562.3722988421,0.0,64,0.3515189346453775,6.172839506172839,True,ok,
fase,modalidad_de_contratacion,Chi-square,429491,9x9,516164.1108803671,0.0,64,0.38758938550670624,12.345679012345679,True,ok,
fase,nivel_riesgo_transparencia,Chi-square,429491,9x3,141105.5646081604,0.0,16,0.4053032057222693,11.11111111111111,True,ok,
fase,riesgo_baja_transparencia,Chi-square,429491,9x2,139725.07753060776,0.0,8,0.5703745587861211,0.0,True,ok,
fase,tipo_de_contrato,Chi-square,428908,9x9,188352.22536678132,0.0,64,0.23429245925445805,9.876543209876543,True,ok,
justificaci_n_modalidad_de,anomalia_temporal,Chi-square,429541,9x2,281032.38143283327,0.0,8,0.8088646762383065,0.0,True,ok,
justificaci_n_modalidad_de,competencia_reportada,Chi-square,429541,9x2,252865.13483043513,0.0,8,0.7672593056274833,0.0,True,ok,
justificaci_n_modalidad_de,confianza_label,Chi-square,429541,9x3,328055.9115473861,0.0,16,0.6179546780596781,0.0,True,ok,
justificaci_n_modalidad_de,fue_duplicado_logico,Chi-square,429541,9x2,6013.175770757316,0.0,8,0.11831767786705566,0.0,True,ok,
justificaci_n_modalidad_de,nivel_riesgo_transparencia,Chi-square,429541,9x3,359793.88392963505,0.0,16,0.6471568888727273,0.0,True,ok,
justificaci_n_modalidad_de,riesgo_baja_transparencia,Chi-square,429541,9x2,348977.4952870825,0.0,8,0.9013560927265772,0.0,True,ok,
modalidad_de_contratacion,anomalia_temporal,Chi-square,429541,9x2,346048.5446895305,0.0,8,0.8975656044067647,0.0,True,ok,
modalidad_de_contratacion,competencia_reportada,Chi-square,429541,9x2,308974.4148969768,0.0,8,0.8481232078561725,0.0,True,ok,
modalidad_de_contratacion,confianza_label,Chi-square,429541,9x3,388151.8715788818,0.0,16,0.6721768211790669,0.0,True,ok,
modalidad_de_contratacion,fue_duplicado_logico,Chi-square,429541,9x2,7936.831964980014,0.0,8,0.13593186669528584,0.0,True,ok,
modalidad_de_contratacion,justificaci_n_modalidad_de,Chi-square,429541,9x9,2334414.7949557793,0.0,64,0.8242172660648422,0.0,True,ok,
modalidad_de_contratacion,nivel_riesgo_transparencia,Chi-square,429541,9x3,412184.716582252,0.0,16,0.692673595034042,0.0,True,ok,
modalidad_de_contratacion,riesgo_baja_transparencia,Chi-square,429541,9x2,406813.2431907162,0.0,8,0.9731846029465904,0.0,True,ok,
modalidad_de_contratacion,tipo_de_contrato,Chi-square,428958,9x9,978939.8564018902,0.0,64,0.5341037484586216,0.0,True,ok,
nivel_riesgo_transparencia,anomalia_temporal,Chi-square,429541,3x2,31211.850754840845,0.0,2,0.26956124209307514,0.0,True,ok,
nivel_riesgo_transparencia,competencia_reportada,Chi-square,429541,3x2,280425.50344407297,0.0,2,0.8079908490623564,0.0,True,ok,
nivel_riesgo_transparencia,confianza_label,Chi-square,429541,3x3,308336.8375481092,0.0,4,0.5990945890490523,0.0,True,ok,
nivel_riesgo_transparencia,fue_duplicado_logico,Chi-square,429541,3x2,5499.638373465149,0.0,2,0.11315265661766646,0.0,True,ok,
nivel_riesgo_transparencia,riesgo_baja_transparencia,Chi-square,429541,3x2,429541.0,0.0,2,1.0,0.0,True,ok,
ordenentidad,anomalia_temporal,Chi-square,429541,3x2,5156.578413483985,0.0,2,0.10956667974013182,0.0,True,ok,
ordenentidad,competencia_reportada,Chi-square,429541,3x2,5398.931623590814,0.0,2,0.1121118713243801,0.0,True,ok,
ordenentidad,confianza_label,Chi-square,429541,3x3,3587.0952795446838,0.0,4,0.06461809440251588,0.0,True,ok,
ordenentidad,departamento_entidad,Chi-square,421806,3x9,77786.72456786266,0.0,16,0.30365565117229043,0.0,True,ok,
ordenentidad,fase,Chi-square,429491,3x9,4699.57280474573,0.0,16,0.07396685603025943,7.4074074074074066,True,ok,
ordenentidad,justificaci_n_modalidad_de,Chi-square,429541,3x9,23302.424002030897,0.0,16,0.16469607161538344,0.0,True,ok,
ordenentidad,modalidad_de_contratacion,Chi-square,429541,3x9,22371.656300172297,0.0,16,0.16137332947568384,0.0,True,ok,
ordenentidad,nivel_riesgo_transparencia,Chi-square,429541,3x3,5745.24769450505,0.0,4,0.0817781099222227,0.0,True,ok,
ordenentidad,riesgo_baja_transparencia,Chi-square,429541,3x2,5565.669428795199,0.0,2,0.11382990989011248,0.0,True,ok,
ordenentidad,tipo_de_contrato,Chi-square,428958,3x9,19848.611550851583,0.0,16,0.15210471703354292,0.0,True,ok,
riesgo_baja_transparencia,anomalia_temporal,Chi-square,429541,2x2,31199.637117093633,0.0,1,0.2695084953730287,0.0,True,ok,
riesgo_baja_transparencia,competencia_reportada,Chi-square,429541,2x2,280320.8404873562,0.0,1,0.8078400521441261,0.0,True,ok,
riesgo_baja_transparencia,fue_duplicado_logico,Chi-square,429541,2x2,5494.898518652965,0.0,1,0.11310388588625107,0.0,True,ok,
tipo_de_contrato,anomalia_temporal,Chi-square,428958,9x2,286098.71277528204,0.0,8,0.8166774536873006,0.0,True,ok,
tipo_de_contrato,competencia_reportada,Chi-square,428958,9x2,106090.84138932756,0.0,8,0.4973150027295857,0.0,True,ok,
tipo_de_contrato,confianza_label,Chi-square,428958,9x3,147485.3098493043,0.0,16,0.4146216721109025,0.0,True,ok,
tipo_de_contrato,fue_duplicado_logico,Chi-square,428958,9x2,2929.9618838064553,0.0,8,0.08264633502475849,0.0,True,ok,
tipo_de_contrato,justificaci_n_modalidad_de,Chi-square,428958,9x9,1386563.955585406,0.0,64,0.6356493010419755,0.0,True,ok,
tipo_de_contrato,nivel_riesgo_transparencia,Chi-square,428958,9x3,166034.64335666527,0.0,16,0.439923308754205,0.0,True,ok,
tipo_de_contrato,riesgo_baja_transparencia,Chi-square,428958,9x2,155341.434165213,0.0,8,0.6017779483189162,0.0,True,ok,
fase,fue_duplicado_logico,Chi-square,429491,9x2,1442.5255615619842,3.60986749616683e-306,8,0.05795417461771774,27.77777777777778,True,ok,
