outcome_column,group_column,test_name,n_used,n_groups,group_collapsed,statistic,p_value,effect_size_name,effect_size_value,descriptive_stats,large_sample_warning,status,skip_reason
duracion_dias,departamento_entidad,Kruskal-Wallis,421255,9,True,18027.175532272606,0.0,epsilon_squared,0.04277589705842336,"[{""group_label"": ""Antioquia"", ""n"": 50984, ""mean"": 140.22118785632094, ""median"": 108.0, ""std"": 246.3882460437516, ""min"": 0.0, ""max"": 10950.0}, {""group_label"": ""Atlántico"", ""n"": 11856, ""mean"": 136.5959008097166, ""median"": 90.0, ""std"": 266.3264929371796, ""min"": 0.0, ""max"": 9125.0}, {""group_label"": ""Cundinamarca"", ""n"": 15024, ""mean"": 1748.679681953319, ""median"": 112.0, ""std"": 196713.75269394598, ""min"": 0.0, ""max"": 24111802.0}, {""group_label"": ""Distrito Capital de Bogotá"", ""n"": 146285, ""mean"": 1273.5948530835924, ""median"": 148.0, ""std"": 176040.1536981926, ""min"": 0.0, ""max"": 50000000.0}, {""group_label"": ""Norte de Santander"", ""n"": 10544, ""mean"": 111.5323722812342, ""median"": 90.0, ""std"": 154.21885491541227, ""min"": 0.0, ""max"": 7300.0}, {""group_label"": ""Other"", ""n"": 110547, ""mean"": 115.35548906799822, ""median"": 90.0, ""std"": 202.36993052218668, ""min"": 0.0, ""max"": 10950.0}, {""group_label"": ""Santander"", ""n"": 20048, ""mean"": 111.24661021880819, ""median"": 90.0, ""std"": 168.19633009165761, ""min"": 0.0, ""max"": 7300.0}, {""group_label"": ""Tolima"", ""n"": 10695, ""mean"": 122.57143525011688, ""median"": 105.0, ""std"": 178.95267090900523, ""min"": 0.0, ""max"": 9855.0}, {""group_label"": ""Valle del Cauca"", ""n"": 45272, ""mean"": 110.18999970548387, ""median"": 90.0, ""std"": 178.99090410114604, ""min"": 0.0, ""max"": 9690.0}]",True,ok,
duracion_dias,justificaci_n_modalidad_de,Kruskal-Wallis,428958,9,True,26115.227553411776,0.0,epsilon_squared,0.06086324377352966,"[{""group_label"": ""Contratos o convenios Interadministrativos (valor cero)"", ""n"": 10389, ""mean"": 285.7564611608432, ""median"": 150.0, ""std"": 518.3979331082655, ""min"": 0.0, ""max"": 10950.0}, {""group_label"": ""Decreto 092 de 2017"", ""n"": 17152, ""mean"": 137.90622327814054, ""median"": 60.0, ""std"": 281.5550816415158, ""min"": 0.0, ""max"": 10684.0}, {""group_label"": ""No"", ""n"": 12905, ""mean"": 1963.9696112617848, ""median"": 60.0, ""std"": 212250.64791594667, ""min"": 0.0, ""max"": 24111802.0}, {""group_label"": ""Other"", ""n"": 27861, ""mean"": 293.6787370039362, ""median"": 169.0, ""std"": 630.2042927595936, ""min"": 0.0, ""max"": 15000.0}, {""group_label"": ""Presupuesto inferior al 10% de la menor cuantía"", ""n"": 33858, ""mean"": 1550.3437260027172, ""median"": 30.0, ""std"": 271730.72881990595, ""min"": 0.0, ""max"": 50000000.0}, {""group_label"": ""Presupuesto menor al 10% de la Menor Cuantía"", ""n"": 17494, ""mean"": 108.07779810220647, ""median"": 90.0, ""std"": 117.46379072760072, ""min"": 0.0, ""max"": 3900.0}, {""group_label"": ""Regla aplicable"", ""n"": 37748, ""mean"": 2787.5220596676204, ""median"": 105.0, ""std"": 221510.51755206648, ""min"": 0.0, ""max"": 20122021.0}, {""group_label"": ""Servicios profesionales y apoyo a la gestión"", ""n"": 262411, ""mean"": 181.08532893057074, ""median"": 120.0, ""std"": 26569.768149153966, ""min"": 0.0, ""max"": 13610667.0}, {""group_label"": ""Suministro de bienes y servicios de características técnicas uniformes y común utilización"", ""n"": 9140, ""mean"": 95.98862144420131, ""median"": 60.0, ""std"": 122.39327460495055, ""min"": 0.0, ""max"": 2760.0}]",True,ok,
duracion_dias,modalidad_de_contratacion,Kruskal-Wallis,428958,9,True,22708.388859160663,0.0,epsilon_squared,0.05292095064718804,"[{""group_label"": ""Contratación Directa (con ofertas)"", ""n"": 8484, ""mean"": 231.18609539525383, ""median"": 120.0, ""std"": 648.9897168260634, ""min"": 0.0, ""max"": 7300.0}, {""group_label"": ""Contratación directa"", ""n"": 283364, ""mean"": 192.68546257346264, ""median"": 120.0, ""std"": 25569.132715615953, ""min"": 0.0, ""max"": 13610667.0}, {""group_label"": ""Contratación régimen especial"", ""n"": 51367, ""mean"": 2084.7318138753153, ""median"": 90.0, ""std"": 189891.74066062766, ""min"": 0.0, ""max"": 20122021.0}, {""group_label"": ""Contratación régimen especial (con ofertas)"", ""n"": 3559, ""mean"": 142.70979675938935, ""median"": 90.0, ""std"": 254.79773394736762, ""min"": 0.0, ""max"": 7300.0}, {""group_label"": ""Mínima cuantía"", ""n"": 33858, ""mean"": 1550.3437260027172, ""median"": 30.0, ""std"": 271730.72881990595, ""min"": 0.0, ""max"": 50000000.0}, {""group_label"": ""Other"", ""n"": 7569, ""mean"": 249.2535561721055, ""median"": 150.0, ""std"": 567.7319845830882, ""min"": 0.0, ""max"": 9360.0}, {""group_label"": ""Selección Abreviada de Menor Cuantía"", ""n"": 18712, ""mean"": 112.5867357845233, ""median"": 90.0, ""std"": 118.16771900098915, ""min"": 0.0, ""max"": 3900.0}, {""group_label"": ""Selección abreviada subasta inversa"", ""n"": 9140, ""mean"": 95.98862144420131, ""median"": 60.0, ""std"": 122.39327460495055, ""min"": 0.0, ""max"": 2760.0}, {""group_label"": ""Solicitud de información a los Proveedores"", ""n"": 12905, ""mean"": 1963.9696112617848, ""median"": 60.0, ""std"": 212250.64791594667, ""min"": 0.0, ""max"": 24111802.0}]",True,ok,
duracion_dias,ordenentidad,Kruskal-Wallis,428958,3,False,6671.262704110806,0.0,epsilon_squared,0.015547697786739416,"[{""group_label"": ""Corporación Autónoma"", ""n"": 8951, ""mean"": 145.592787584255, ""median"": 120.0, ""std"": 180.74403381911284, ""min"": 0.0, ""max"": 3650.0}, {""group_label"": ""Nacional"", ""n"": 151755, ""mean"": 1393.2088981142851, ""median"": 120.0, ""std"": 183659.1771305108, ""min"": 0.0, ""max"": 50000000.0}, {""group_label"": ""Territorial"", ""n"": 268252, ""mean"": 127.24392362405499, ""median"": 90.0, ""std"": 211.162004704226, ""min"": 0.0, ""max"": 10950.0}]",True,ok,
duracion_dias,tipo_de_contrato,Kruskal-Wallis,428958,9,True,28782.898512946824,0.0,epsilon_squared,0.0670823303305214,"[{""group_label"": ""Arrendamiento de inmuebles"", ""n"": 4167, ""mean"": 286.0431865450764, ""median"": 270.0, ""std"": 296.8199260766574, ""min"": 0.0, ""max"": 9000.0}, {""group_label"": ""Compraventa"", ""n"": 18789, ""mean"": 49.526571398158495, ""median"": 30.0, ""std"": 82.35999662776197, ""min"": 0.0, ""max"": 3600.0}, {""group_label"": ""Decreto 092 de 2017"", ""n"": 17152, ""mean"": 137.90622327814054, ""median"": 60.0, ""std"": 281.5550816415158, ""min"": 0.0, ""max"": 10684.0}, {""group_label"": ""No"", ""n"": 12905, ""mean"": 1963.9696112617848, ""median"": 60.0, ""std"": 212250.64791594667, ""min"": 0.0, ""max"": 24111802.0}, {""group_label"": ""Obra"", ""n"": 10165, ""mean"": 135.0882070831284, ""median"": 90.0, ""std"": 182.0501945818768, ""min"": 0.0, ""max"": 3285.0}, {""group_label"": ""Other"", ""n"": 7581, ""mean"": 506.3517126148705, ""median"": 195.0, ""std"": 899.8625769415214, ""min"": 0.0, ""max"": 15000.0}, {""group_label"": ""Otro"", ""n"": 26147, ""mean"": 282.1801576981426, ""median"": 137.0, ""std"": 588.6812605633253, ""min"": 0.0, ""max"": 10950.0}, {""group_label"": ""Prestación de servicios"", ""n"": 312293, ""mean"": 640.9285918992741, ""median"": 118.0, ""std"": 120485.45708244912, ""min"": 0.0, ""max"": 50000000.0}, {""group_label"": ""Suministros"", ""n"": 19759, ""mean"": 216.74482514297281, ""median"": 90.0, ""std"": 14378.298576339623, ""min"": 0.0, ""max"": 2021112.0}]",True,ok,
precio_base_log,departamento_entidad,Kruskal-Wallis,421804,9,True,12424.492881714796,0.0,epsilon_squared,0.02943726900915088,"[{""group_label"": ""Antioquia"", ""n"": 51121, ""mean"": 16.07306943733357, ""median"": 16.321703619316835, ""std"": 3.236684828526327, ""min"": 0.0, ""max"": 29.01731547704869}, {""group_label"": ""Atlántico"", ""n"": 11890, ""mean"": 16.417381074026093, ""median"": 16.59900182465566, ""std"": 3.2543384935009088, ""min"": 0.0, ""max"": 27.028492607562956}, {""group_label"": ""Cundinamarca"", ""n"": 15045, ""mean"": 15.877318210480091, ""median"": 16.430128887469653, ""std"": 4.261624647804989, ""min"": 0.0, ""max"": 25.530837067575938}, {""group_label"": ""Distrito Capital de Bogotá"", ""n"": 146524, ""mean"": 16.058552468944985, ""median"": 16.928334139057682, ""std"": 4.591425298688392, ""min"": 0.0, ""max"": 30.212168259538576}, {""group_label"": ""Norte de Santander"", ""n"": 10546, ""mean"": 16.030148034193093, ""median"": 16.089901998286877, ""std"": 2.598385916310474, ""min"": 0.0, ""max"": 28.12691420223671}, {""group_label"": ""Other"", ""n"": 110612, ""mean"": 15.968115313994566, ""median"": 16.300417291085605, ""std"": 3.7200123538991985, ""min"": 0.0, ""max"": 28.186934490325267}, {""group_label"": ""Santander"", ""n"": 20076, ""mean"": 15.928564876054054, ""median"": 16.118095750958314, ""std"": 3.0225933332523036, ""min"": 0.0, ""max"": 26.89496470186731}, {""group_label"": ""Tolima"", ""n"": 10705, ""mean"": 16.27318454207251, ""median"": 16.2899459920955, ""std"": 2.843683979170582, ""min"": 0.0, ""max"": 27.576593960335185}, {""group_label"": ""Valle del Cauca"", ""n"": 45285, ""mean"": 16.050605514252602, ""median"": 16.249124001084017, ""std"": 3.071160899798925, ""min"": 0.0, ""max"": 27.6929249192443}]",True,ok,
precio_base_log,fase,Kruskal-Wallis,429489,9,True,53541.09196859869,0.0,epsilon_squared,0.12464629777544632,"[{""group_label"": ""Clarification submission"", ""n"": 942, ""mean"": 19.178615821316274, ""median"": 19.29614948547293, ""std"": 2.4075599278006137, ""min"": 0.0, ""max"": 24.936774216203677}, {""group_label"": ""Fase de Selección (Presentación de ofertas)"", ""n"": 981, ""mean"": 21.728184400130964, ""median"": 21.425612766743605, ""std"": 1.402628318135296, ""min"": 19.37463374446652, ""max"": 30.212168259538576}, {""group_label"": ""Fase de ofertas"", ""n"": 193835, ""mean"": 16.125766953182445, ""median"": 16.226950145556497, ""std"": 1.9434914579273512, ""min"": 0.0, ""max"": 28.27956203517673}, {""group_label"": ""Manifestación de interés (Menor Cuantía)"", ""n"": 5863, ""mean"": 19.05464749960388, ""median"": 19.088222552108412, ""std"": 1.4394338235871635, ""min"": 0.0, ""max"": 27.84622792619023}, {""group_label"": ""Other"", ""n"": 146, ""mean"": 11.361590415517954, ""median"": 18.19646958055052, ""std"": 10.13754355282434, ""min"": 0.0, ""max"": 24.03038670578411}, {""group_label"": ""Presentación de observaciones"", ""n"": 13612, ""mean"": 19.46346907036137, ""median"": 19.353041447242063, ""std"": 2.263068503961166, ""min"": 0.0, ""max"": 28.12691420223671}, {""group_label"": ""Presentación de oferta"", ""n"": 213592, ""mean"": 15.60655272773102, ""median"": 16.646936688178037, ""std"": 4.972605423333596, ""min"": 0.0, ""max"": 29.338450824571236}, {""group_label"": ""Pré-Calificación de competidores"", ""n"": 348, ""mean"": 19.156173941680837, ""median"": 19.11371566240208, ""std"": 0.8830172998254971, ""min"": 17.21102519001423, ""max"": 22.852102408280043}, {""group_label"": ""Selección de ofertas (borrador)"", ""n"": 170, ""mean"": 20.739287500359996, ""median"": 21.07541684901297, ""std"": 3.253369385500159, ""min"": 0.0, ""max"": 25.41236516923681}]",True,ok,
precio_base_log,justificaci_n_modalidad_de,Kruskal-Wallis,429539,9,True,112594.26968650114,0.0,epsilon_squared,0.2621150319803067,"[{""group_label"": ""Contratos o convenios Interadministrativos (valor cero)"", ""n"": 10389, ""mean"": 15.00198593471824, ""median"": 18.397910140368758, ""std"": 7.923965531165698, ""min"": 0.0, ""max"": 28.6484208659099}, {""group_label"": ""Decreto 092 de 2017"", ""n"": 17152, ""mean"": 16.48053965948316, ""median"": 16.562781536322326, ""std"": 2.851361308464886, ""min"": 0.0, ""max"": 27.63102111592955}, {""group_label"": ""No"", ""n"": 13488, ""mean"": 0.0, ""median"": 0.0, ""std"": 0.0, ""min"": 0.0, ""max"": 0.0}, {""group_label"": ""Other"", ""n"": 27861, ""mean"": 17.375874539816213, ""median"": 18.6309790836465, ""std"": 5.607546308202898, ""min"": 0.0, ""max"": 30.212168259538576}, {""group_label"": ""Presupuesto inferior al 10% de la menor cuantía"", ""n"": 33856, ""mean"": 16.575256704532293, ""median"": 16.811242881518265, ""std"": 1.2766248383177135, ""min"": 0.0, ""max"": 19.3628500463541}, {""group_label"": ""Presupuesto menor al 10% de la Menor Cuantía"", ""n"": 17494, ""mean"": 18.97739953519606, ""median"": 19.03632301389673, ""std"": 1.387258417982009, ""min"": 0.0, ""max"": 26.58119899143273}, {""group_label"": ""Regla aplicable"", ""n"": 37748, ""mean"": 16.284480904039672, ""median"": 16.680909804379805, ""std"": 3.8228807601443293, ""min"": 0.0, ""max"": 27.028492607562956}, {""group_label"": ""Servicios profesionales y apoyo a la gestión"", ""n"": 262411, ""mean"": 16.313649724157823, ""median"": 16.300417291085605, ""std"": 1.0511889973191704, ""min"": 0.0, ""max"": 25.424838515048464}, {""group_label"": ""Suministro de bienes y servicios de características técnicas uniformes y común utilización"", ""n"": 9140, ""mean"": 19.31898669028717, ""median"": 19.20913810886209, ""std"": 1.1781657346246894, ""min"": 0.0, ""max"": 27.651246154928693}]",True,ok,
precio_base_log,modalidad_de_contratacion,Kruskal-Wallis,429539,9,True,119376.01133153136,0.0,epsilon_squared,0.2779037816486191,"[{""group_label"": ""Contratación Directa (con ofertas)"", ""n"": 8484, ""mean"": 18.625546560566793, ""median"": 18.70927085013408, ""std"": 2.654728847715045, ""min"": 0.0, ""max"": 27.120147635190765}, {""group_label"": ""Contratación directa"", ""n"": 283364, ""mean"": 16.17746973321341, ""median"": 16.312839810055355, ""std"": 2.310538923120771, ""min"": 0.0, ""max"": 29.338450824571236}, {""group_label"": ""Contratación régimen especial"", ""n"": 51367, ""mean"": 16.200666514433237, ""median"": 16.49378866941413, ""std"": 3.5210156887363504, ""min"": 0.0, ""max"": 27.63102111592955}, {""group_label"": ""Contratación régimen especial (con ofertas)"", ""n"": 3559, ""mean"": 18.45761215215782, ""median"": 18.707506006947735, ""std"": 3.2735216615478753, ""min"": 0.0, ""max"": 26.454760207238674}, {""group_label"": ""Mínima cuantía"", ""n"": 33856, ""mean"": 16.575256704532293, ""median"": 16.811242881518265, ""std"": 1.2766248383177135, ""min"": 0.0, ""max"": 19.3628500463541}, {""group_label"": ""Other"", ""n"": 8152, ""mean"": 18.845712334728304, ""median"": 20.60934086637668, ""std"": 6.323329915419733, ""min"": 0.0, ""max"": 30.212168259538576}, {""group_label"": ""Selección Abreviada de Menor Cuantía"", ""n"": 18712, ""mean"": 19.056500807940843, ""median"": 19.08790355355157, ""std"": 1.4264819419601862, ""min"": 0.0, ""max"": 27.84622792619023}, {""group_label"": ""Selección abreviada subasta inversa"", ""n"": 9140, ""mean"": 19.31898669028717, ""median"": 19.20913810886209, ""std"": 1.1781657346246894, ""min"": 0.0, ""max"": 27.651246154928693}, {""group_label"": ""Solicitud de información a los Proveedores"", ""n"": 12905, ""mean"": 0.0, ""median"": 0.0, ""std"": 0.0, ""min"": 0.0, ""max"": 0.0}]",True,ok,
precio_base_log,ordenentidad,Kruskal-Wallis,429539,3,False,7046.823173344788,0.0,epsilon_squared,0.016401007536841587,"[{""group_label"": ""Corporación Autónoma"", ""n"": 8973, ""mean"": 16.613455745246952, ""median"": 16.743178154125864, ""std"": 2.971387837452434, ""min"": 0.0, ""max"": 25.614178468340352}, {""group_label"": ""Nacional"", ""n"": 152001, ""mean"": 15.787547617710658, ""median"": 16.811242881518265, ""std"": 4.951610661351602, ""min"": 0.0, ""max"": 29.338450824571236}, {""group_label"": ""Territorial"", ""n"": 268565, ""mean"": 16.15686818671674, ""median"": 16.30174973620842, ""std"": 3.11374306870744, ""min"": 0.0, ""max"": 30.212168259538576}]",True,ok,
