term,coefficient,standard_error,test_statistic,p_value,ci_lower,ci_upper
const,0.36556430950621843,0.00384051687628041,95.18622656340783,0.0,0.3580369588065865,0.3730916602058504
precio_base_log,0.01045119832699989,0.00011181461086569933,93.46898626292085,0.0,0.010232043505801926,0.010670353148197856
duracion_dias,6.1049828111320645e-09,1.7620306277147087e-09,3.464742732111309,0.0005309242364230516,2.6514313998056165e-09,9.558534222458513e-09
numero_de_lotes,-0.00039720821015565977,0.00028427952674345085,-1.397245220948049,0.1623424263731701,-0.0009543914652897579,0.00015997504497843826
total_respuestas,0.007519035608306326,0.00011814315083648868,63.64343218434006,0.0,0.007287476951554094,0.007750594265058557
total_interes_oferentes,0.001664183255072106,6.731317266712562e-05,24.722995353402194,1.3183757886726438e-134,0.0015322505299486403,0.0017961159801955719
fue_duplicado_logico,0.06429655655244804,0.004897290365261804,13.129006400871395,2.390848948526314e-39,0.05469794697858329,0.07389516612631279
anomalia_temporal,0.06264068542867983,0.0023870592577224987,26.24178064538101,2.3809132190366714e-151,0.057962088054286084,0.06731928280307357
ordenentidad_Nacional,0.058041664443772206,0.001969867427405919,29.464756681725618,3.9030260220419493e-190,0.05418075628074725,0.061902572606797164
ordenentidad_Territorial,0.0328499701933059,0.001958769408817969,16.770718414031904,4.716953050683638e-63,0.02901081396645872,0.03668912642015308
departamento_entidad_Atlántico,0.008667702382088154,0.0018484186769467123,4.689252759772906,2.7450563354490218e-06,0.0050448317973862305,0.012290572966790078
departamento_entidad_Cundinamarca,0.03490683938139588,0.001678825206053975,20.79242035175496,7.489107723466089e-96,0.03161636924509763,0.038197309517694136
departamento_entidad_Distrito Capital de Bogotá,-0.019181316591049657,0.000958723550178947,-20.00714031429544,6.670418956021021e-89,-0.02106039917776193,-0.017302234004337384
departamento_entidad_Norte de Santander,0.03282359689976402,0.00192029380053531,17.09300779423126,2.0007545532687544e-65,0.02905985224022799,0.036587341559300046
departamento_entidad_Other,0.029276180956629896,0.0009594469276449377,30.51360123534016,1.0416782472339319e-203,0.027395680561833415,0.031156681351426376
departamento_entidad_Santander,0.01161392478827062,0.001497100297858974,7.757613036935382,8.72198154092117e-15,0.008679632520449024,0.014548217056092216
departamento_entidad_Tolima,0.0224602467248664,0.0019062924325578216,11.782162243979393,5.024342416318534e-32,0.01872394451915529,0.026196548930577507
departamento_entidad_Valle del Cauca,0.014218873385810226,0.0011714252325881619,12.13809724278763,6.946113250934854e-34,0.011922898956287835,0.016514847815332617
tipo_de_contrato_Compraventa,0.24099536988249254,0.0031055751711504785,77.60088118981656,0.0,0.2349084929879533,0.24708224677703178
tipo_de_contrato_Decreto 092 de 2017,0.014781706148715462,0.0031247317623689123,4.730552019450527,2.2416444830775636e-06,0.00865728264653047,0.020906129650900454
tipo_de_contrato_No,0.2055353426278059,0.004362792908565359,47.11095551298886,0.0,0.1969843393877303,0.2140863458678815
tipo_de_contrato_Obra,0.159191580029949,0.0033843120688665093,47.03809128431416,0.0,0.15255838334314573,0.16582477671675225
tipo_de_contrato_Other,0.18394970942341865,0.00349480316433575,52.635213136068444,0.0,0.1770999519840979,0.1907994668627394
tipo_de_contrato_Otro,0.05374216263705359,0.003035636219009134,17.703755904782174,4.8181081822655676e-70,0.04779236495275924,0.05969196032134793
tipo_de_contrato_Prestación de servicios,0.021994645843287745,0.002819544805004841,7.800778978310997,6.20182223566954e-15,0.016468383820673678,0.027520907865901813
tipo_de_contrato_Suministros,0.18569983921435212,0.003078920282969234,60.31329886698717,0.0,0.17966520546771803,0.19173447296098622
