departamento_entidad,Adjudicado,Clarification submission,Estimate Phase,Fase de Concurso,Fase de Selección (Presentación de ofertas),Fase de ofertas,Manifestación de interés (Menor Cuantía),No Definido,Presentación de Observaciones,Presentación de observaciones,Presentación de observaciones (precalificación),Presentación de oferta,Proceso de ofertas,Pré-Calificación de competidores,Selección de ofertas (borrador)
Antioquia,7873,152,5,0,4,25803,443,5,1,1221,0,17563,1,72,17
Atlántico,1084,35,2,0,8,5883,137,0,0,217,0,4603,0,21,2
Bolívar,1482,12,1,0,3,5640,227,1,0,355,0,2729,1,5,7
Boyacá,1699,29,0,0,7,1952,173,2,0,394,0,3826,0,4,5
Caldas,1846,10,0,0,3,3702,192,1,0,330,1,2483,0,7,3
Cundinamarca,3003,28,0,0,8,4696,391,1,0,948,0,6594,0,15,17
Distrito Capital de Bogotá,24685,359,33,3,57,52795,1751,18,7,4656,0,74359,17,110,55
Meta,1928,24,0,0,2,5287,208,2,1,416,0,2486,0,8,4
No Definido,1531,11,0,0,3,2414,107,0,2,215,0,3743,0,6,4
Norte de Santander,1335,4,1,0,20,5130,118,0,0,306,0,3744,1,2,5
Quindío,706,10,0,0,0,5881,98,0,0,172,0,1904,1,8,2
Risaralda,1294,5,1,1,2,4935,93,6,2,271,0,2223,0,2,4
Santander,2653,44,0,1,9,11822,165,0,0,518,0,5495,1,3,8
Tolima,1536,15,0,0,6,3729,178,2,0,394,0,5076,0,4,0
Valle del Cauca,4492,78,7,1,13,26667,591,6,1,951,0,13542,0,21,8
