modalidad_de_contratacion,count,mean,median,min,max
Contratación directa,283364,170026266.9432779,12150000.0,0,5514768683344
Contratación régimen especial,51367,483410668.0901941,14560000.0,0,1000000000000
Mínima cuantía,37478,27781579.519905012,20759973.0,-193196838,256554081
Selección Abreviada de Menor Cuantía,20575,854330154.9705954,200000000.0,0,1240118339645
Selección abreviada subasta inversa,15257,1117293109.7143607,301782668.0,0,1020430950950
Solicitud de información a los Proveedores,12905,0.0,0.0,0,0
Contratación Directa (con ofertas),8963,1295329526.6857078,131472000.0,0,599971286503
Contratación régimen especial (con ofertas),8326,1554861187.939827,461361888.0,0,308429832543
Licitación pública,4158,8514499808.130832,1098671824.0,0,1641964000000
Concurso de méritos abierto,3357,8955644132.705093,525281232.0,0,120453774435
Licitación pública Obra Publica,2913,24023911894.386887,3208049375.0,12,13212285859000
Subasta de prueba,583,0.0,0.0,0,0
Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,380,4376253914.821053,1560107964.0,0,144600000000
Licitación Pública Acuerdo Marco de Precios,257,0.13618677042801555,0.0,0,4
Enajenación de bienes con sobre cerrado,65,10249129659.676924,17120000.0,0,67593267118
Enajenación de bienes con subasta,51,282161567.6862745,30697547.0,636500,4012850134
Concurso de méritos con precalificación,1,934580301.0,934580301.0,934580301,934580301
