entidad,nit_entidad,codigo_entidad,departamento_entidad,ciudad_entidad,procesos,completitud_promedio,pct_con_url,pct_con_descripcion,pct_con_precio_base,pct_ids_clave,pct_consistencia_estados,pct_competencia_reportada,pct_trazabilidad_temporal,pct_anomalia_temporal
ARMADA NACIONAL JEFATURA DE OPERACIONES LOGISTICAS,800141644,703146134,Distrito Capital de Bogotá,No Definido,7,88.71,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0
ALCALDIA MUNICIPAL DE SABANALARGA,800094844,702239872,Atlántico,Sabanalarga,2,87.1,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
ALCALDÍA DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS - FONDO ESPECIAL DE BOMBEROS,890480184,708242029,No Definido,No Definido,1,87.1,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0
MUNICIPIO DE PUEBLORRICO,890981105,702475013,Antioquia,Pueblorrico,1,87.1,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0
MUNICIPIO DE SUBACHOQUE,899999314,700583156,Cundinamarca,Subachoque,1,87.1,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0
SERVICIO AEREO A TERRITORIOS NACIONALES S.A.,8999991434,712019876,Distrito Capital de Bogotá,Bogotá,1,87.1,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0
MUNICIPIO DE LA MESA,890680026,705064632,Cundinamarca,La Mesa,3,86.56,100.0,100.0,0.0,100.0,100.0,100.0,0.0,66.6667
RASES - HUILA No.2,900419719,702459025,Huila,Neiva,449,88.638,100.0,100.0,81.069,100.0,100.0,85.7461,2.8953,64.1425
COMANDO AÉREO DE COMBATE No. 5,800141633,702000068,Caquetá,Solano,91,88.8698,100.0,100.0,54.9451,100.0,100.0,60.4396,7.6923,52.7473
DIRECCION DE BIENESTAR DE LA POLICIA NACIONAL,830042321,701698169,Distrito Capital de Bogotá,No Definido,126,88.1221,100.0,100.0,46.8254,100.0,100.0,61.1111,2.381,51.5873
CENAC YOPAL,844000067,702962762,Casanare,Yopal,105,88.2653,100.0,100.0,48.5714,100.0,100.0,58.0952,1.9048,51.4286
BATALLON DE APOYO Y SERVICIO PARA EL COMBATE N°15,818000606,703124354,Chocó,Quibdó,80,88.2875,100.0,100.0,47.5,100.0,100.0,57.5,3.75,51.25
BATALLON DE ASPC N° 28,842000005,703221028,Vichada,Puerto Carreño,77,88.501,100.0,100.0,53.2468,100.0,100.0,54.5455,3.8961,50.6494
REGION ADMINISTRATIVA Y DE PLANEACION ESPECIAL - RAPE REGION CENTRAL,900788066,703995761,Distrito Capital de Bogotá,No Definido,48,88.6098,100.0,100.0,50.0,100.0,100.0,54.1667,4.1667,50.0
MINTRABAJO DT META,800216935,703698258,Meta,Villavicencio,4,87.9025,100.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0
SENA REGIONAL ARAUCA Grupo de Apoyo Administrativo Mixto,899999034,704153360,Arauca,Arauca,194,86.9313,100.0,100.0,53.6082,100.0,100.0,45.3608,0.5155,46.9072
CONTRALORÍA GENERAL DE LA REPÚBLICA- CGR-GERENCIA DEPARTAMENTAL TOLIMA,899999067,708719463,Tolima,Ibagué,28,88.6529,100.0,100.0,60.7143,100.0,100.0,60.7143,0.0,46.4286
DIRECCION DE ANTINARCOTICOS,800141379,701707648,Distrito Capital de Bogotá,Bogotá,365,88.1135,100.0,100.0,55.0685,100.0,100.0,69.863,1.9178,45.4795
