category,count,relative_pct
No definido,365154,81.1453
V180111600,1675,0.3722
V180111620,1422,0.316
V181102200,871,0.1936
"V180111500, V180111600",787,0.1749
"V180111600, V180111700",660,0.1467
V181101500,588,0.1307
V180111500,540,0.12
"V180111500, V180111700",515,0.1144
V180111604,497,0.1104
"V142121500, V142121700, V142121800, V142131500, V142131600, V142131700, V142132100, V142132200, V142141500, V142141600, V142141700, V142141800, V142141900, V142142000, V142142100, V142142200, V142142300, V142142400, V142142500, V142142600, V142142700, V142142800, V142142900, V142143100, V142143200, V142143300, V142143400, V142143500, V142143600, V142143700, V142143800, V142143900, V142144000, V142144100, V142144200, V142144300, V142151500, V142151600, V142151601, V142151700, V142151800, V1421519",484,0.1076
"V112161500, V112191500, V112352100, V112352200, V112352300, V141105500, V141115700, V141116100, V141121800",473,0.1051
"V142141500, V142141600, V142141700, V142141800, V142141900, V142142000, V142142100, V142142200, V142142300, V142142400, V142142500, V142142600, V142142700, V142142800, V142142900, V142143100, V142143200, V142143300, V142143400, V142143500, V142143600, V142143700, V142143800, V142143900, V142144000, V142144100, V142144200, V142144300, V142151500, V142151600, V142151700, V142151800, V142151900, V142152000, V142152100, V142152200, V142152300, V142152400, V142152500, V142152600, V142152700, V1421528",442,0.0982
V180101600,416,0.0924
V184131500,415,0.0922
"V112161500, V112171500, V112191500, V112352100, V112352300, V112352500, V141106200, V141115800, V141116100, V142131500, V142131600, V142131700, V142132100, V142132200, V142141500, V142142100, V142142300, V142142400, V142142500, V142142600, V142142700, V142142800, V142142900, V142143100, V142143500, V142143800, V142143900, V142144000, V142144100, V142144200, V142161600, V142181500, V142221603, V142221604, V142221612, V142221616, V142231600, V142291500, V142291600, V142291700, V142291800, V1422919",401,0.0891
V141116100,400,0.0889
"V142121500, V142121600, V142121700, V142121800, V142131600, V142131700, V142132100, V142132200, V142141500, V142141600, V142141700, V142141800, V142141900, V142142000, V142142100, V142142200, V142142300, V142142400, V142142500, V142142600, V142142700, V142142800, V142142900, V142143100, V142143200, V142143300, V142143400, V142143500, V142143600, V142143700, V142143800, V142143900, V142144000, V142144100, V142144200, V142144300, V142151500, V142151600, V142151700, V142151800, V142151900, V1421520",361,0.0802
V184131600,349,0.0776
"V142131500, V142131600, V142131700, V142132100, V142132200, V142151601, V142161500, V142161600, V142161700, V142161800, V142161900, V142171500, V142171600, V142171700, V142171800, V142172000, V142172100, V142172200, V142181500, V142181600, V142181700, V142181800, V142181900, V142182000, V142182100, V142182200, V142182300, V142182400, V142182500, V142182600, V142182700, V142182800, V142182900, V142183000, V142183100, V142183200, V142183300, V142191500, V142191600, V142191700, V142191800, V1421919",324,0.072
V185121700,309,0.0687
V180161500,291,0.0647
V180111501,272,0.0604
V193141500,224,0.0498
V180111701,216,0.048
V185101601,204,0.0453
V172102900,202,0.0449
"V142142100, V142151700, V142192200, V142251600, V142251700, V149201500",201,0.0447
"V112161500, V112171500, V112191500, V112352300, V112352500, V141115800, V141116100, V141122600, V142131500, V142131600, V142131700, V142132100, V142132200, V142141500, V142142100, V142142200, V142142300, V142142400, V142142500, V142142600, V142142700, V142142800, V142142900, V142143100, V142143500, V142143800, V142143900, V142144000, V142144100, V142144200, V142161600, V142181500, V142201603, V142201604, V142221600, V142221700, V142231500, V142231600, V142231700, V142231800, V142232000, V1422916",196,0.0436
V180111601,189,0.042
"V114111700, V141104100, V141104200, V141116100, V141121800, V142131500, V142132100, V142132200, V142141500, V142142600, V142142700, V142143100, V142181700, V142182000, V142183000, V142221500, V142221900, V142231500, V142281600, V142281700, V142294500, V142311500, V142311700, V142312300, V151102700",189,0.042
V193141506,178,0.0396
"V141105300, V141115800, V141116000, V141122600",175,0.0389
V193141702,172,0.0382
"V112161500, V112171500, V112191500, V112352300, V112352500, V141106200, V141115800, V141116100, V141122600, V142131500, V142131600, V142131700, V142132100, V142132200, V142141500, V142142100, V142142300, V142142400, V142142500, V142142600, V142142700, V142142800, V142142900, V142143100, V142143500, V142143800, V142143900, V142144000, V142144100, V142144200, V142161600, V142181500, V142221603, V142221604, V142221612, V142221616, V142231600, V142292900, V142293100, V142293500, V142294800, V1422949",169,0.0376
"V114101500, V114111504, V142131502, V142131504, V142131603, V142131607, V142131609, V142131610, V142131611, V142132200, V142132203, V142132205, V142181500, V142181602, V142181609, V142221500, V142221700, V142222200, V142272000, V142272500, V142281600, V142281700, V142281800, V142281900, V142311500, V142311600, V142311900, V142312000, V142312200, V142312300, V142312400, V142312500, V142312600, V142312700, V144102412, V147121803, V147131500, V147131700, V147131800, V151101500, V151101509, V1511016",169,0.0376
"V110152200, V111101700, V111101900, V111121700, V111121800, V111151700, V112141903, V112142101, V112142105, V112171600, V112181600, V112352200, V113111000, V121101604, V123271419, V123271420, V123271800, V126111503, V126111700, V127111500, V127111531, V127111552, V127111700, V127112100, V131162800, V131211700, V132101600, V139121311, V139121400, V139121500, V139121700, V140141600, V141111900, V141113700, V141115717, V141115808, V143212201, V144103100, V146161701, V146182306, V150111500, V1501318",168,0.0373
V193141501,165,0.0367
V172103300,161,0.0358
"V141104100, V142131600, V142141500, V142142500, V142142600, V142142700, V142143100, V142181700, V142182000, V142221500, V142221700, V142221800, V142222000, V142222300, V142231500, V142231600, V142271700, V142271800, V142271900, V142272200, V142272500, V142281700, V142281900, V142291600, V142295100, V142295400, V142295500, V142311500, V142311600, V142311700, V142312100, V142312300, V142312400",161,0.0358
V172141100,161,0.0358
V172101500,159,0.0353
V185101600,159,0.0353
V180101500,152,0.0338
V178181800,151,0.0336
"V142131700, V142281500, V142281600, V142281700, V142281800, V142281900, V142294900, V142294920, V142295400, V142311600, V142312200",151,0.0336
V172141000,150,0.0333
V186121700,150,0.0333
V180101604,144,0.032
"V142131500, V142131600, V142131700, V142132100, V142132200, V142161600, V142161700, V142161800, V142161900, V142181500, V142181600, V142181700, V142181800, V142181900, V142182000, V142182100, V142182200, V142182300, V142182400, V142182500, V142182600, V142182700, V142182800, V142182900, V142183000, V142183100, V142183200, V142183300, V142191500, V142191600, V142191700, V142191800, V142191900, V142192000, V142192100, V142192200, V142192300, V142192400, V142192500, V142192600, V142201500, V1422016",144,0.032
"V123151822, V142132200, V142132203, V142132205, V142142600, V142142602, V142142603, V142142605, V142142606, V142142607, V142142608, V142142609, V142142610, V142142611, V142142612, V142142613, V142142614, V142142615, V142142616, V142201610, V142221518, V142222002, V142261505, V142271710, V142271905, V142291600, V142291613, V142291709, V142295303, V142311500, V142311505",144,0.032
"V180111700, V180161500",139,0.0309
V193151500,127,0.0282
"V172151506, V181101706, V185161503",126,0.028
"V140151600, V141103800, V141103900, V141111500, V141111700, V141121500, V142142100, V142151500, V142151700, V142151800, V142151900, V142152300, V142181600, V142181700, V142181800, V142181900, V142183000, V142191800, V142192000, V142192200, V142201700, V142201800, V142251600, V142272500, V142295100",121,0.0269
"V123151806, V124112600, V140161500, V141104800, V141104900, V141115400, V141115700, V141116000, V141116100, V141121700, V141121800, V141122000, V141122400, V141122800, V142281800, V142281900",114,0.0253
"V126111700, V142141802, V142144203, V142181802, V142181804, V142182007, V142272217",113,0.0251
V186101700,112,0.0249
V181112200,110,0.0244
V146191601,108,0.024
"V180101500, V180101600",105,0.0233
"V172102900, V172103300",102,0.0227
"V115101500, V115101801, V115111500, V183101600",101,0.0224
"V172101500, V172102900",100,0.0222
"V193131611, V193141506",98,0.0218
V140101701,97,0.0216
V180141607,94,0.0209
V176111500,94,0.0209
V172121400,92,0.0204
V193141700,90,0.02
V142143101,90,0.02
V180121600,87,0.0193
"V151101500, V151101600, V151101700, V151101800, V151101900, V151102000, V151102100, V151102200, V151102300, V151102400, V151102500, V151102600, V151102700, V151111500, V151111600, V151111700, V151111800, V151111900, V151121500, V151121600, V151121700, V151121800, V151121900, V151122100, V151122200, V151122300, V151131500, V151131600, V151131700, V151131800, V151131900, V151132000, V151141500, V151141600, V151141700, V151141800, V151141900, V151142000, V151142100, V151142200, V151142300, V1511424",84,0.0187
"V123151610, V123281903, V141103504, V141103702, V141103903, V141104501, V141104804, V141111502, V141111517, V141111710, V141115603, V172151515, V172152802",84,0.0187
V178181500,83,0.0184
V115101505,81,0.018
"V172101500, V172103300",81,0.018
"V142131500, V142131606, V142132200, V142141500, V142142600, V142281500, V142281600, V142281700, V142281800, V142281900, V142311500, V142311600, V142311700, V142311900, V142312000, V142312200, V142312400, V142312500, V142312700, V151101504",81,0.018
"V180111600, V180161500",78,0.0173
V185101706,77,0.0171
"V143191511, V143191606, V143211500, V143211503, V143211506, V143211507, V143211508, V143211509, V143211512, V143211513, V143211515, V143211518, V143211603, V143211607, V143211612, V143211619, V143211701, V143211706, V143211708, V143211711, V143211714, V143211715, V143211719, V143211724, V143211901, V143211902, V143211903, V143211904, V143211905, V143211908, V143211909, V143211910, V143211913, V143211914, V143212101, V143212102, V143212104, V143212105, V143212106, V143212107, V143212108, V1432121",76,0.0169
V182101500,75,0.0167
"V141101500, V141111503, V141114509, V142181800, V142295015, V142295123",75,0.0167
V172141003,74,0.0164
V194131500,74,0.0164
V185121600,73,0.0162
"V123242100, V123261500, V132101600, V141116000, V141121800, V143202200, V143211700",73,0.0162
"V112131700, V112161500, V124102200, V139121500, V141101500, V141103300, V141106200, V141112200, V141115700, V141116100, V141121700, V141121800, V141122600, V142281600, V142311500, V146181500, V146182000, V147121700, V147131500, V148102100, V152121600",73,0.0162
V173152103,72,0.016
"V110101500, V110151800, V111161801, V111162300, V112162200, V123271800, V126121500, V126121620, V130102400, V141113630, V146182306, V149161500, V149221500, V150161500",71,0.0158
"V110151500, V110151501, V110151502, V110151503, V110151505, V110151506, V110151507, V110151512, V110151513, V110151514, V110151515, V110151609, V110151805, V110171500, V110171504, V110171505, V110171506, V110171600, V110171601, V110171605, V111101623, V111161701, V111162110, V112141711, V112141740, V112164502, V120142904, V123121604, V123271810, V124111500, V124111514, V124121509, V126121635, V127111559, V127111918, V131151507, V131152100, V131191506, V139111521, V139111610, V139121462, V1391216",71,0.0158
V115101506,70,0.0156
V177101700,70,0.0156
V172101507,70,0.0156
V185121502,69,0.0153
V193141703,69,0.0153
V190101600,68,0.0151
V193141701,68,0.0151
"V141104900, V141121500, V141121600, V141121800",67,0.0149
V180121601,66,0.0147
V180121704,64,0.0142
V185101705,64,0.0142
"V142294202, V142294205, V142294207, V142294208, V142294209, V142294211, V142294212, V142294213, V142294218",64,0.0142
V178101800,63,0.014
V180131502,62,0.0138
V181111800,61,0.0136
"V112191601, V112352300, V112352301, V112352314, V112352501, V113111000, V141116105",61,0.0136
V185121504,59,0.0131
V177101600,59,0.0131
"V180111501, V180111600",59,0.0131
"V180111500, V180111600, V180111700",58,0.0129
"V141101500, V141101800, V141101900, V141103000, V141103300, V141103800, V141104200, V141104500, V141104600, V141104800, V141104900, V141105100, V141106200, V141112200, V141112300, V141112500, V141113000, V141114300, V141122400, V147101500",58,0.0129
V180111607,57,0.0127
"V141104100, V142142500, V142142535, V142142600, V142142700, V142142704, V142221500, V142221700, V142222000, V142222300, V142222308, V142231609, V142281700, V142291600, V142295516, V142311500, V142311524, V142311700, V142312300",57,0.0127
V193141509,56,0.0124
V143233200,56,0.0124
V172101511,56,0.0124
V177101604,56,0.0124
