category,count,relative_pct
Distrito Capital de Bogotá,158905,35.3122
Antioquia,53160,11.8133
Valle del Cauca,46378,10.3062
Santander,20719,4.6042
Cundinamarca,15701,3.4891
Atlántico,11992,2.6649
Tolima,10940,2.4311
Norte de Santander,10666,2.3702
Bolívar,10463,2.3251
Meta,10366,2.3036
Risaralda,8839,1.9642
Quindío,8782,1.9516
Caldas,8578,1.9062
Boyacá,8091,1.798
No Definido,8036,1.7858
Nariño,7274,1.6164
Cauca,6626,1.4724
Huila,6538,1.4529
Casanare,5457,1.2127
Magdalena,5233,1.1629
Sucre,4591,1.0202
"San Andrés, Providencia y Santa Catalina",4141,0.9202
Cesar,3955,0.8789
Arauca,2904,0.6453
Putumayo,2481,0.5513
Caquetá,2115,0.47
Córdoba,1954,0.4342
La Guajira,1953,0.434
Chocó,1802,0.4004
Amazonas,354,0.0787
Vichada,334,0.0742
Guaviare,306,0.068
Guainía,249,0.0553
Vaupés,117,0.026
