category,count,relative_pct
(Secretaría Distrital de Integración Social),7897,1.7549
INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA,5219,1.1598
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),4542,1.0093
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,4387,0.9749
INSTITUCIÓN UNIVERSITARIA ITM,4012,0.8916
ESE HOSPITAL MANUEL URIBE ANGEL,3804,0.8453
INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN,3639,0.8087
BANCO DE LA REPUBLICA,3576,0.7947
GOBERNACIÓN DEL DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,3449,0.7664
Institución Universitaria Pascual Bravo COMPRADOR,3435,0.7633
DEPARTAMENTO DE SANTANDER,3328,0.7396
MUNICIPIO DE PEREIRA- OFICIAL,3199,0.7109
ALCALDIA DISTRITAL BARRANCABERMEJA,3161,0.7024
EMPRESA COLOMBIANA DE PETROLEOS,2980,0.6622
MUNICIPIO DE ARMENIA QUINDIO,2888,0.6418
SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,2751,0.6113
ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,2709,0.602
ALCALDIA MUNICIPIO DE IBAGUE*,2687,0.5971
"Ministerio de las Culturas, las Artes y los Saberes",2665,0.5922
INVIAS,2655,0.59
"INSTITUTO DEL DEPORTE, LA EDUCACIÓN FÍSICA Y LA RECREACIÒN DEL VALLE DEL CAUCA (INDERVALLE)",2631,0.5847
MUNICIPIO DE SAN JOSE DE CUCUTA,2573,0.5718
MUNICIPIO DE SOACHA..,2570,0.5711
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,2526,0.5613
GOBERNACIÓN DE BOLÍVAR//,2426,0.5391
HOSPITAL CENTRAL DE LA POLICIA,2422,0.5382
ALCALDIA DE PASTO,2364,0.5253
CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA - CAR.,2312,0.5138
GOBERNACION DEL QUINDIO ARMENIA,2309,0.5131
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA,2300,0.5111
FONDO FINANCIERO DISTRITAL DE SALUD..,2199,0.4887
GOBERNACIÓN DEL CAUCA,2171,0.4824
RADIO TELEVISION NACIONAL DE COLOMBIA.,2126,0.4724
MUNICIPIO DE YOPAL...,2089,0.4642
INCIVA,2078,0.4618
MUNICIPIO DE SINCELEJO,2059,0.4576
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,2016,0.448
INSTITUTO COLOMBIANO AGROPECUARIO - ICA,2012,0.4471
Gobernación Norte de Santander*,2006,0.4458
DEPARTAMENTO DEL META,1997,0.4438
DEPARTAMENTO DEL ATLANTICO**,1942,0.4316
GOBIERNO DEPARTAMENTAL,1938,0.4307
ALCALDIA DE FLORIDABLANCA,1888,0.4196
DANE - DIRECCION TERRITORIAL CENTRO,1864,0.4142
GOBERNACIÓN DE BOYACÁ,1836,0.408
INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,1817,0.4038
DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPÚBLICA,1814,0.4031
FONDANE - DIRECCION TERRITORIAL CENTRO,1810,0.4022
MUNICIPIO DE NEIVA,1801,0.4002
ALCALDÍA DISTRITAL DE SANTA MARTA,1800,0.4
UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS**,1788,0.3973
ALCALDÍA DE POPAYÁN,1764,0.392
GOBERNACION DEL CASANARE,1753,0.3896
DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,1720,0.3822
MUNICIPIO DE BUCARAMANGA,1688,0.3751
DEPARTAMENTO DE ANTIOQUIA//,1662,0.3693
DEFENSORÍA DEL PUEBLO,1649,0.3664
ALCALDIA MUNICIPIO DE VILLAVICENCIO,1639,0.3642
