category,count,relative_pct
Fase de ofertas,192075,42.6833
Presentación de oferta,170240,37.8311
Adjudicado,66409,14.7576
Presentación de observaciones,13612,3.0249
Manifestación de interés (Menor Cuantía),5863,1.3029
Clarification submission,942,0.2093
Pré-Calificación de competidores,348,0.0773
Fase de Selección (Presentación de ofertas),183,0.0407
Selección de ofertas (borrador),170,0.0378
Estimate Phase,55,0.0122
No Definido,50,0.0111
Proceso de ofertas,28,0.0062
Presentación de Observaciones,18,0.004
Fase de Concurso,6,0.0013
Presentación de observaciones (precalificación),1,0.0002
