category,count,relative_pct
Presentación de oferta,231584,51.4631
Fase de ofertas,195574,43.4609
Presentación de observaciones,13612,3.0249
Manifestación de interés (Menor Cuantía),5863,1.3029
Fase de Selección (Presentación de ofertas),1692,0.376
Clarification submission,942,0.2093
Pré-Calificación de competidores,348,0.0773
Selección de ofertas (borrador),170,0.0378
Proceso de ofertas,85,0.0189
Estimate Phase,55,0.0122
,50,0.0111
Presentación de Observaciones,18,0.004
Fase de Concurso,6,0.0013
Presentación de observaciones (precalificación),1,0.0002
