category,count,relative_pct
,435258,96.724
2021-10-29T00:00:00.000,160,0.0356
2021-11-17T00:00:00.000,149,0.0331
2021-11-18T00:00:00.000,136,0.0302
2021-10-08T00:00:00.000,131,0.0291
2021-09-30T00:00:00.000,127,0.0282
2021-08-27T00:00:00.000,124,0.0276
2021-11-04T00:00:00.000,120,0.0267
2021-11-09T00:00:00.000,119,0.0264
2021-11-05T00:00:00.000,118,0.0262
2021-11-03T00:00:00.000,117,0.026
2021-09-14T00:00:00.000,115,0.0256
2021-11-19T00:00:00.000,115,0.0256
2021-10-14T00:00:00.000,114,0.0253
2021-10-28T00:00:00.000,114,0.0253
2021-10-13T00:00:00.000,113,0.0251
2021-10-12T00:00:00.000,111,0.0247
2021-11-29T00:00:00.000,110,0.0244
2021-05-31T00:00:00.000,109,0.0242
2021-08-31T00:00:00.000,109,0.0242
2021-10-05T00:00:00.000,107,0.0238
2021-10-19T00:00:00.000,106,0.0236
2021-10-22T00:00:00.000,106,0.0236
2021-11-23T00:00:00.000,106,0.0236
2021-10-11T00:00:00.000,105,0.0233
2021-10-26T00:00:00.000,105,0.0233
2021-09-29T00:00:00.000,104,0.0231
2021-10-15T00:00:00.000,103,0.0229
2021-05-28T00:00:00.000,102,0.0227
2021-07-30T00:00:00.000,102,0.0227
2021-10-27T00:00:00.000,102,0.0227
2021-04-30T00:00:00.000,101,0.0224
2021-08-18T00:00:00.000,100,0.0222
2021-11-22T00:00:00.000,100,0.0222
2021-09-23T00:00:00.000,99,0.022
2021-11-26T00:00:00.000,99,0.022
2021-09-16T00:00:00.000,98,0.0218
2021-11-16T00:00:00.000,98,0.0218
2021-11-24T00:00:00.000,98,0.0218
2021-11-08T00:00:00.000,97,0.0216
2021-11-30T00:00:00.000,97,0.0216
2021-10-25T00:00:00.000,96,0.0213
2021-11-10T00:00:00.000,96,0.0213
2021-06-25T00:00:00.000,94,0.0209
2021-06-30T00:00:00.000,94,0.0209
2021-08-20T00:00:00.000,94,0.0209
