category,count,relative_pct
Servicios profesionales y apoyo a la gestión,262411,58.3136
Regla aplicable,41725,9.2722
Presupuesto inferior al 10% de la menor cuantía,37478,8.3284
Presupuesto menor al 10% de la Menor Cuantía,18773,4.1718
Decreto 092 de 2017,17942,3.9871
Suministro de bienes y servicios de características técnicas uniformes y común utilización,15257,3.3904
No,13488,2.9973
Contratos o convenios Interadministrativos (valor cero),10389,2.3087
Ley 1150 de 2007,7426,1.6502
Contratos o convenios Interadministrativos (con valor),6615,1.47
Arrendamiento de inmuebles,4163,0.9251
No existe pluralidad de oferentes en el mercado,3946,0.8769
No Defenido,2913,0.6473
Prestamo de uso,1671,0.3713
Contratos para el desarrollo de actividades científicas y tecnológicas,955,0.2122
Prestación de servicios de salud,927,0.206
Urgencia manifiesta,861,0.1913
Defensa y seguridad nacional,734,0.1631
Ejecución de trabajos artísticos,720,0.16
Proceso de licitación pública declarado desierto,427,0.0949
Operaciones de Crédito Público,257,0.0571
"Artículo 49, Decreto 1510 de 2013",257,0.0571
Adquisición de inmuebles,186,0.0413
Contratos de bienes y servicios sujetos a reserva,152,0.0338
Ley 1150 de 2008,90,0.02
"Programas de protección de personas amenazadas, desmovilización y reincorporación",88,0.0196
Artículo 98 del Decreto 1510 de 2013,65,0.0144
Artículo 99 del Decreto 1510 de 2013,51,0.0113
Artículo 53 del Decreto 150 de 2013,25,0.0056
Contratación de empresas industriales y comerciales del Estado,6,0.0013
Artículo 92 del Decreto 150 de 2013,1,0.0002
Contratos de encargo fiduciario que celebren entidades territoriales,1,0.0002
