category,count,relative_pct
899999034,17206,3.8236
890399011,15277,3.3949
899999061,11554,2.5676
8999990619,11189,2.4864
899999027,7202,1.6004
899999239,6928,1.5396
890980134,5219,1.1598
900971006,4542,1.0093
900958564,4387,0.9749
800214750,4012,0.8916
899999114,3818,0.8484
890906347,3804,0.8453
800194096,3639,0.8087
860005216,3576,0.7947
892400038,3449,0.7664
8909801583,3435,0.7633
890399029,3420,0.76
890201235,3328,0.7396
800072977,3284,0.7298
891480030,3199,0.7109
890201900,3161,0.7024
8903990295,3014,0.6698
899999068,2980,0.6622
890000464,2888,0.6418
900959051,2751,0.6113
890480184,2711,0.6024
800113389,2687,0.5971
830034348,2665,0.5922
800215807,2655,0.59
805012896,2631,0.5847
890501434,2573,0.5718
800094755,2570,0.5711
899999230,2526,0.5613
890480059,2426,0.5391
830067597,2422,0.5382
899999069,2383,0.5296
891280000,2364,0.5253
899999062,2312,0.5138
890001639,2309,0.5131
890905211,2249,0.4998
8002469532,2199,0.4887
891580016,2171,0.4824
900002583,2126,0.4724
891855017,2089,0.4642
800086201,2078,0.4618
800104062,2059,0.4576
890102018,2016,0.448
800103927,2006,0.4458
8920001488,1997,0.4438
890102006,1942,0.4316
8001136727,1938,0.4307
890205176,1888,0.4196
891800498,1836,0.408
800150861,1817,0.4038
899999083,1814,0.4031
891180009,1801,0.4002
891780009,1800,0.4
900498879,1788,0.3973
891580006,1764,0.392
892099216,1753,0.3896
890900286,1739,0.3864
890201222,1688,0.3751
800186061,1649,0.3664
892099324,1639,0.3642
800103923,1631,0.3624
860061099,1628,0.3618
830114475,1621,0.3602
890980331,1607,0.3571
899999278,1566,0.348
805018833,1517,0.3371
900959048,1495,0.3322
890106291,1483,0.3296
900413030,1480,0.3289
899999098,1397,0.3104
892280021,1383,0.3073
800098911,1347,0.2993
899999007,1346,0.2991
830040256,1332,0.296
891480085,1277,0.2838
899999103,1234,0.2742
899999316,1227,0.2727
899999081,1225,0.2722
899999333,1221,0.2713
899999059,1213,0.2696
890205383,1158,0.2573
800094164,1146,0.2547
899999296,1138,0.2529
899999294,1135,0.2522
891380007,1124,0.2498
800103920,1116,0.248
900474727,1113,0.2473
900475780,1078,0.2396
890399046,1074,0.2387
900500018,1050,0.2333
890801052,1034,0.2298
890503373,1033,0.2296
890980112,1031,0.2291
890801053,1022,0.2271
8999990341,1011,0.2247
890505253,1008,0.224
800099310,996,0.2213
