category,count,relative_pct
Prestación de servicios,315570,70.1267
Suministros,28370,6.3044
Otro,27325,6.0722
Compraventa,22992,5.1093
Decreto 092 de 2017,17942,3.9871
No,12905,2.8678
Obra,11088,2.464
Arrendamiento de inmuebles,4167,0.926
Interventoría,2684,0.5964
Consultoría,1703,0.3784
Comodato,1671,0.3713
Seguros,1554,0.3453
No Especificado,583,0.1296
Arrendamiento de muebles,476,0.1058
Operaciones de Crédito Público,257,0.0571
Acuerdo Marco de Precios,257,0.0571
Servicios financieros,173,0.0384
Venta muebles,86,0.0191
Negocio fiduciario,65,0.0144
Asociación Público Privada,39,0.0087
Concesión,36,0.008
Venta inmuebles,30,0.0067
Comisión,26,0.0058
Acuerdo de cooperación,1,0.0002
