column,role,dtype,non_null,missing_rate,unique_values,unique_ratio
entidad,feature,string,429541,0.0,1985,0.004621211944843449
nit_entidad,feature,string,429541,0.0,1627,0.0037877641482419607
departamento_entidad,feature,string,421806,0.018007594152828252,33,7.6826193541478e-05
ciudad_entidad,feature,string,338866,0.21109742725374295,409,0.0009521791866201364
ordenentidad,feature,string,429541,0.0,3,6.984199412861636e-06
nombre_del_procedimiento,feature,string,429540,2.328066470953879e-06,251183,0.5847707203736081
descripci_n_del_procedimiento,feature,string,425640,0.00908178730319108,272765,0.6350150509497348
fase,feature,string,429491,0.00011640332354769393,13,3.0264864122400422e-05
precio_base,feature,float64,429539,4.656132941907758e-06,116589,0.27142694178204174
modalidad_de_contratacion,feature,string,429541,0.0,17,3.957713000621594e-05
justificaci_n_modalidad_de,feature,string,429541,0.0,32,7.449812707052412e-05
codigo_principal_de_categoria,feature,string,429541,0.0,8594,0.020007403251377634
tipo_de_contrato,feature,string,428958,0.0013572627525661113,23,5.354552883193921e-05
categorias_adicionales,feature,string,68969,0.839435583564782,33745,0.07856060306233864
precio_base_log,feature,float64,429539,4.656132941907758e-06,116589,0.27142694178204174
riesgo_baja_transparencia,target,int8,429541,0.0,2,4.656132941907758e-06
