Feature,Importance
cat__target_confidence_v2,24.99115791188091
num__missingindicator_dias_publicacion_a_recepcion,17.236504333536445
num__missing_temporal_count,13.242405149380325
num__missingindicator_dias_publicacion_a_apertura,8.566546127204514
cat__ciudad_entidad,4.732413328943683
cat__modalidad_de_contratacion,4.602159090815031
cat__ausencia_geografica,3.677776836043689
num__missingindicator_dias_hasta_recepcion,3.4979269849410826
num__precio_base_log,3.3262264681066096
num__longitud_descripcion,2.694857006823063
num__dias_hasta_recepcion,1.3240512649829257
cat__justificaci_n_modalidad_de,1.113726323388017
cat__nit_entidad,1.0715596246295562
cat__anomalia_apertura_antes_recepcion,0.9652512608033563
num__flag_incoherencia_temporal_observada,0.9229104029968442
cat__codigo_principal_de_categoria,0.767583725046982
cat__precio_base_es_cero,0.6520716264325561
cat__codigo_entidad,0.6319669594806941
num__duracion,0.5904055784647647
cat__categorias_adicionales,0.5522698803704051
cat__nombre_de_la_unidad_de,0.5372726884664766
num__duracion_dias,0.5004353667140528
num__completitud_critica,0.4641504395333465
cat__anomalia_temporal,0.41635784627506534
cat__tipo_de_contrato,0.38010532729892493
num__precio_base,0.30490779372877125
cat__entidad,0.28167147928761493
cat__tiene_fecha_recepcion,0.22935031038555231
cat__fase,0.2184816180871471
cat__ordenentidad,0.21346084593775388
num__dias_publicacion_a_recepcion,0.19421991111258546
cat__ciudad_de_la_unidad_de,0.14877446270108358
cat__tiene_fecha_apertura_efectiva,0.14032206263171082
num__dias_publicacion_a_apertura,0.13680813186265858
num__missingindicator_dias_recepcion_a_apertura,0.11801766772710348
cat__tiene_descripcion,0.1112664067271
num__missingindicator_duracion_dias,0.09648449077818962
cat__fue_duplicado_logico,0.08327914687041285
cat__departamento_entidad,0.0745245307918984
cat__codigo_pci,0.07448813395482139
num__flag_tiene_fecha_recepcion,0.05076888867417879
cat__unidad_de_duracion_desconocida,0.04461236975944604
cat__unidad_de_duracion,0.01830810312613736
cat__fue_duplicado_exacto,0.0021620905938971664
cat__duracion_improbable,1.2575009065468454e-09
cat__flag_precio_base_extremo,7.884701761616305e-10
num__numero_de_lotes,6.566710951572697e-10
num__missingindicator_precio_base,0.0
num__missingindicator_precio_base_log,0.0
num__flag_tiene_fecha_publicacion,0.0
num__dias_recepcion_a_apertura,0.0
num__target_dimension_count_v2,0.0
cat__tiene_categorias_adicionales,0.0
cat__tiene_urlproceso,0.0
