Feature,Importance
num__target_dimension_count_v2,74.53414377473887
cat__target_confidence_v2,10.948358960747585
cat__modalidad_de_contratacion,3.528575232167332
num__precio_base,1.364666840492347
cat__fase,1.2539350090864243
cat__ciudad_entidad,1.0350460900803904
num__longitud_descripcion,1.0017403313542512
cat__justificaci_n_modalidad_de,0.904119990971518
cat__ausencia_geografica,0.7892765971087046
cat__categorias_adicionales,0.6995356216741119
cat__anomalia_apertura_antes_recepcion,0.6498407926386548
cat__codigo_principal_de_categoria,0.5203034982601276
cat__entidad,0.44783707705419556
cat__nit_entidad,0.41003969230295073
cat__nombre_de_la_unidad_de,0.40919363748176324
num__precio_base_log,0.36469618662907755
cat__codigo_entidad,0.3211034092039443
cat__ciudad_de_la_unidad_de,0.22315924850590638
cat__fue_duplicado_logico,0.16393624324139208
cat__ordenentidad,0.13308252316328129
cat__departamento_entidad,0.08154776728381061
cat__tiene_descripcion,0.08101462352170657
num__completitud_critica,0.0642252880072859
cat__codigo_pci,0.035430558652926734
cat__tipo_de_contrato,0.018930156000285886
cat__precio_base_es_cero,0.008950725016849683
cat__fue_duplicado_exacto,0.0067283599422745715
num__numero_de_lotes,0.000579756459396962
num__missingindicator_precio_base_log,2.0075196188514804e-06
cat__tiene_categorias_adicionales,6.922533461870021e-10
num__missingindicator_precio_base,7.431619919543724e-13
cat__tiene_urlproceso,0.0
