Feature,Importance
num__missingindicator_dias_publicacion_a_recepcion,0.9731244232997673
cat__target_confidence_v2,0.010653924511381039
cat__ciudad_entidad,0.006566110098976528
cat__modalidad_de_contratacion,0.005501551319708643
num__longitud_descripcion,0.0013011355598990344
num__missingindicator_dias_publicacion_a_apertura,0.0007040743896221958
num__precio_base_log,0.00040872931674199476
cat__codigo_entidad,0.00039938227130339305
cat__categorias_adicionales,0.0002554057811671045
cat__entidad,0.00022458979901361428
num__dias_hasta_recepcion,0.00019205770308025453
cat__nombre_de_la_unidad_de,0.00014661559967557542
cat__nit_entidad,0.00011028230123287687
cat__codigo_principal_de_categoria,0.00010878221107221345
cat__fue_duplicado_logico,6.981013160179508e-05
cat__ciudad_de_la_unidad_de,5.298417033442631e-05
num__duracion_dias,5.256623487222679e-05
num__duracion,4.688741919956565e-05
num__dias_publicacion_a_recepcion,4.3891117675359844e-05
num__precio_base,2.8950939705561878e-05
cat__justificaci_n_modalidad_de,7.793534211137776e-06
cat__departamento_entidad,5.2289758101530063e-08
cat__tiene_descripcion,6.544979420416453e-21
num__missingindicator_dias_hasta_recepcion,0.0
num__missingindicator_dias_recepcion_a_apertura,0.0
num__missingindicator_precio_base_log,0.0
num__target_dimension_count_v2,0.0
num__missingindicator_precio_base,0.0
num__missingindicator_duracion_dias,0.0
num__flag_tiene_fecha_recepcion,0.0
num__missing_temporal_count,0.0
num__flag_tiene_fecha_publicacion,0.0
num__dias_publicacion_a_apertura,0.0
num__dias_recepcion_a_apertura,0.0
num__completitud_critica,0.0
num__numero_de_lotes,0.0
num__flag_incoherencia_temporal_observada,0.0
cat__ordenentidad,0.0
cat__tipo_de_contrato,0.0
cat__unidad_de_duracion,0.0
cat__codigo_pci,0.0
cat__fase,0.0
cat__duracion_improbable,0.0
cat__unidad_de_duracion_desconocida,0.0
cat__flag_precio_base_extremo,0.0
cat__precio_base_es_cero,0.0
cat__tiene_categorias_adicionales,0.0
cat__tiene_urlproceso,0.0
cat__ausencia_geografica,0.0
cat__tiene_fecha_recepcion,0.0
cat__anomalia_apertura_antes_recepcion,0.0
cat__tiene_fecha_apertura_efectiva,0.0
cat__fue_duplicado_exacto,0.0
cat__anomalia_temporal,0.0
