Feature,Importance
num__target_dimension_count_v2,0.9731329764215662
cat__target_confidence_v2,0.010654018149393036
cat__ausencia_geografica,0.006554637561192554
cat__modalidad_de_contratacion,0.005551069339869097
num__longitud_descripcion,0.001518785948803546
cat__precio_base_es_cero,0.0007040805810422341
num__precio_base,0.00041471236224189476
cat__codigo_entidad,0.000320945364078721
cat__categorias_adicionales,0.00025540802601548777
cat__entidad,0.0002065881630726999
cat__nombre_de_la_unidad_de,0.00018944914613426957
cat__codigo_principal_de_categoria,0.00017304348125305553
cat__nit_entidad,0.00013554434061995417
cat__ciudad_de_la_unidad_de,5.298463603034336e-05
cat__fue_duplicado_logico,4.985844695703947e-05
num__completitud_critica,3.188821417379466e-05
cat__justificaci_n_modalidad_de,2.433720938557483e-05
cat__ciudad_entidad,1.59176879741272e-05
cat__ordenentidad,9.33849617427273e-06
cat__fue_duplicado_exacto,1.8186804010966642e-06
cat__tiene_descripcion,1.755206888355625e-06
num__precio_base_log,7.335686180806024e-07
cat__anomalia_apertura_antes_recepcion,5.667789693569674e-08
cat__departamento_entidad,5.229021778197706e-08
cat__fase,0.0
cat__codigo_pci,0.0
num__missingindicator_precio_base,0.0
num__missingindicator_precio_base_log,0.0
num__numero_de_lotes,0.0
cat__tipo_de_contrato,0.0
cat__tiene_categorias_adicionales,0.0
cat__tiene_urlproceso,0.0
