Feature,Importance
num__missingindicator_dias_hasta_recepcion,0.9286182083345604
cat__target_confidence_v2,0.04690375635339076
cat__modalidad_de_contratacion,0.015601564747276876
num__missing_temporal_count,0.004391751199969699
num__longitud_descripcion,0.001262229576853012
cat__ciudad_entidad,0.0008862961149422146
num__missingindicator_dias_recepcion_a_apertura,0.0006097180589571707
cat__ausencia_geografica,0.0004464606159487746
num__precio_base_log,0.00030853761461588694
num__precio_base,0.0002515252921402079
cat__nombre_de_la_unidad_de,9.90649281622228e-05
num__dias_hasta_recepcion,9.359815041461291e-05
cat__categorias_adicionales,7.907973974423e-05
cat__entidad,6.859489549277095e-05
cat__codigo_entidad,5.0743560998535554e-05
num__missingindicator_dias_publicacion_a_apertura,5.001850198342018e-05
num__dias_publicacion_a_recepcion,4.1684347686668894e-05
cat__precio_base_es_cero,3.901988667777027e-05
num__duracion,3.801891593606098e-05
cat__nit_entidad,2.7029393640758263e-05
cat__anomalia_temporal,2.613467362934522e-05
num__flag_tiene_fecha_recepcion,2.538738621457913e-05
num__missingindicator_dias_publicacion_a_recepcion,2.1703547653948614e-05
cat__tiene_fecha_recepcion,1.9825386066369355e-05
num__flag_incoherencia_temporal_observada,1.685538339933397e-05
cat__fue_duplicado_logico,8.434682991522705e-06
cat__codigo_principal_de_categoria,7.522891959518237e-06
num__target_dimension_count_v2,3.334674246370362e-06
num__completitud_critica,2.5651393709362836e-06
cat__tipo_de_contrato,5.339276460544575e-07
cat__anomalia_apertura_antes_recepcion,5.113427985154095e-07
num__dias_publicacion_a_apertura,1.9717691586136808e-07
num__duracion_dias,9.355771552391113e-08
cat__ciudad_de_la_unidad_de,2.7390406930476665e-17
num__dias_recepcion_a_apertura,0.0
num__numero_de_lotes,0.0
num__missingindicator_precio_base,0.0
num__flag_tiene_fecha_publicacion,0.0
num__missingindicator_duracion_dias,0.0
num__missingindicator_precio_base_log,0.0
cat__justificaci_n_modalidad_de,0.0
cat__unidad_de_duracion,0.0
cat__departamento_entidad,0.0
cat__ordenentidad,0.0
cat__codigo_pci,0.0
cat__fase,0.0
cat__tiene_categorias_adicionales,0.0
cat__tiene_urlproceso,0.0
cat__tiene_descripcion,0.0
cat__unidad_de_duracion_desconocida,0.0
cat__duracion_improbable,0.0
cat__flag_precio_base_extremo,0.0
cat__tiene_fecha_apertura_efectiva,0.0
cat__fue_duplicado_exacto,0.0
