Feature,Importance
num__target_dimension_count_v2,0.9108032336066059
cat__target_confidence_v2,0.06681010398647444
cat__modalidad_de_contratacion,0.016410135811058282
cat__ciudad_entidad,0.0027823256517051885
num__longitud_descripcion,0.0017223287477926836
cat__ausencia_geografica,0.0005029050517828205
cat__anomalia_apertura_antes_recepcion,0.0003014954954951401
cat__codigo_entidad,0.0001838723682565299
cat__nombre_de_la_unidad_de,9.38705090571883e-05
cat__entidad,8.977023907561264e-05
cat__categorias_adicionales,8.885310218365028e-05
num__precio_base,6.240799777504992e-05
cat__tipo_de_contrato,5.47593086722085e-05
num__completitud_critica,4.6093567261261985e-05
cat__nit_entidad,3.139068910998783e-05
cat__ciudad_de_la_unidad_de,7.660197432649061e-06
cat__codigo_principal_de_categoria,4.901006773153395e-06
cat__justificaci_n_modalidad_de,1.4008248126302105e-06
num__precio_base_log,1.1787896584373778e-06
cat__precio_base_es_cero,6.412519102535257e-07
cat__fue_duplicado_logico,5.166850687932598e-07
cat__codigo_pci,1.5511203798656074e-07
num__missingindicator_precio_base,0.0
num__numero_de_lotes,0.0
cat__fase,0.0
cat__ordenentidad,0.0
cat__departamento_entidad,0.0
num__missingindicator_precio_base_log,0.0
cat__tiene_categorias_adicionales,0.0
cat__tiene_urlproceso,0.0
cat__tiene_descripcion,0.0
cat__fue_duplicado_exacto,0.0
