Feature,Importance
cat__descripci_n_del_procedimiento,394
cat__entidad,393
cat__codigo_principal_de_categoria,382
cat__modalidad_de_contratacion,325
cat__nit_entidad,284
cat__categorias_adicionales,272
cat__nombre_del_procedimiento,272
cat__departamento_entidad,234
cat__ciudad_entidad,218
num__precio_base,100
cat__justificaci_n_modalidad_de,78
cat__tipo_de_contrato,23
cat__ordenentidad,23
cat__fase,2
num__missingindicator_precio_base,0
num__missingindicator_precio_base_log,0
num__precio_base_log,0
