Feature,Importance
num__longitud_descripcion,453
cat__codigo_principal_de_categoria,269
cat__nombre_de_la_unidad_de,208
cat__categorias_adicionales,186
num__dias_hasta_recepcion,178
cat__target_confidence_v2,174
num__precio_base,171
cat__codigo_entidad,169
cat__nit_entidad,160
num__duracion_dias,149
cat__entidad,139
num__duracion,133
cat__ciudad_entidad,110
cat__ciudad_de_la_unidad_de,81
num__flag_tiene_fecha_recepcion,66
cat__departamento_entidad,60
num__missingindicator_dias_hasta_recepcion,44
cat__modalidad_de_contratacion,38
num__missing_temporal_count,32
cat__fue_duplicado_logico,27
num__dias_publicacion_a_recepcion,26
num__missingindicator_dias_recepcion_a_apertura,23
cat__ordenentidad,20
cat__justificaci_n_modalidad_de,18
cat__unidad_de_duracion,17
cat__codigo_pci,16
num__completitud_critica,9
num__dias_publicacion_a_apertura,8
cat__fue_duplicado_exacto,6
cat__tiene_fecha_apertura_efectiva,6
cat__fase,2
num__flag_incoherencia_temporal_observada,1
cat__tipo_de_contrato,1
num__precio_base_log,0
num__target_dimension_count_v2,0
num__flag_tiene_fecha_publicacion,0
num__dias_recepcion_a_apertura,0
num__numero_de_lotes,0
num__missingindicator_dias_publicacion_a_recepcion,0
num__missingindicator_duracion_dias,0
num__missingindicator_precio_base,0
num__missingindicator_precio_base_log,0
num__missingindicator_dias_publicacion_a_apertura,0
cat__precio_base_es_cero,0
cat__flag_precio_base_extremo,0
cat__duracion_improbable,0
cat__tiene_categorias_adicionales,0
cat__tiene_urlproceso,0
cat__tiene_descripcion,0
cat__unidad_de_duracion_desconocida,0
cat__anomalia_apertura_antes_recepcion,0
cat__tiene_fecha_recepcion,0
cat__ausencia_geografica,0
cat__anomalia_temporal,0
