Feature,Importance
num__longitud_descripcion,531
cat__codigo_principal_de_categoria,349
cat__nombre_de_la_unidad_de,267
cat__categorias_adicionales,231
cat__codigo_entidad,199
num__precio_base,198
cat__entidad,194
cat__target_confidence_v2,177
cat__nit_entidad,168
cat__ciudad_entidad,143
cat__ciudad_de_la_unidad_de,127
num__target_dimension_count_v2,100
cat__departamento_entidad,72
cat__justificaci_n_modalidad_de,55
cat__modalidad_de_contratacion,52
cat__fue_duplicado_logico,30
cat__ordenentidad,26
cat__anomalia_apertura_antes_recepcion,21
cat__fase,17
num__completitud_critica,14
cat__codigo_pci,13
cat__tipo_de_contrato,8
cat__fue_duplicado_exacto,5
cat__tiene_categorias_adicionales,2
cat__precio_base_es_cero,1
num__numero_de_lotes,0
num__missingindicator_precio_base,0
num__missingindicator_precio_base_log,0
num__precio_base_log,0
cat__ausencia_geografica,0
cat__tiene_descripcion,0
cat__tiene_urlproceso,0
