Feature,Coefficient
cat__target_confidence_v2_baja,5.0055697646163155
num__missingindicator_dias_publicacion_a_recepcion,3.0376524902610145
num__flag_tiene_fecha_recepcion,-2.6576479990973376
cat__target_confidence_v2_alta,-2.5093252101613133
cat__target_confidence_v2_media,-2.3390110987386885
num__missingindicator_dias_hasta_recepcion,2.040893603211137
cat__nombre_de_la_unidad_de_Direccion de Operaciones,-1.7112428111968137
cat__codigo_entidad_701347270,-1.704928426176008
"cat__entidad_SECRETARIA DISTRITAL DE SEGURIDAD, CONVIVENCIA Y JUSTICIA",-1.704928426176008
num__target_dimension_count_v2,-1.517634525609186
cat__nombre_de_la_unidad_de_CENTRO DE MANUFACTURA EN TEXTIL Y CUERO D.C,-1.4131042198704553
cat__tiene_descripcion_False,1.3961913169844502
num__missing_temporal_count,1.3946677329615371
cat__modalidad_de_contratacion_Contratación Directa (con ofertas),-1.2662047086361494
cat__tiene_fecha_recepcion_False,1.2568814564656219
cat__tiene_descripcion_True,-1.2389578612664203
cat__entidad_CORPOCALDAS.,1.2207378049296358
cat__nit_entidad_890803005,1.2207378049296358
cat__codigo_entidad_704670843,1.2207378049296358
cat__codigo_entidad_701428641,-1.1698368245667512
cat__entidad_CONGRESO DE LA REPÚBLICA - HONORABLE SENADO DE LA REPÚBLICA,-1.1698368245667512
cat__nit_entidad_899999103,-1.1698368245667512
cat__nombre_de_la_unidad_de_DIRECCIÓN GENERAL ADMINISTRATIVA,-1.1698368245667512
cat__tiene_fecha_recepcion_True,-1.099648000749391
cat__nombre_de_la_unidad_de_DESPACHO DIRECCIÓN,-1.0977321177154893
cat__fue_duplicado_logico_True,1.0885123725339325
cat__nombre_de_la_unidad_de_CENTRO DE GESTIÓN ADMINISTRATIVA,-1.0481026797945359
cat__codigo_principal_de_categoria_V1.42172001,-1.0378902633419103
cat__codigo_entidad_702870601,1.0245528226384588
cat__entidad_SERVICIO NACIONAL DE APRENDIZAJE SENA REGIONAL CORDOBA,1.0245528226384588
cat__codigo_entidad_700221021,-1.0213348788401115
cat__entidad_DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,-1.0213348788401115
cat__nit_entidad_890905211,-1.0204942604492344
cat__codigo_principal_de_categoria_V1.72102103,0.9999294816423905
cat__ciudad_de_la_unidad_de_Manizales,0.9998862254209985
cat__codigo_principal_de_categoria_V1.78111502,-0.9429136359359851
cat__codigo_principal_de_categoria_V1.72101516,0.9398870377830398
cat__codigo_principal_de_categoria_V1.94132000,-0.9357174351451572
cat__fue_duplicado_logico_False,-0.9312789168158903
cat__nombre_de_la_unidad_de_CENTRAL ADMINISTRATIVA Y CONTABLE CALI 2026,0.8904034542022546
cat__nit_entidad_800130690,0.890138668994621
cat__entidad_CENACCALI,0.890138668994621
cat__codigo_entidad_702871120,0.890138668994621
cat__codigo_principal_de_categoria_V1.73152108,0.8745404115387712
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACION CAE***,0.8738375758913587
cat__justificaci_n_modalidad_de_Contratos o convenios Interadministrativos (con valor),-0.8641903143292047
cat__codigo_principal_de_categoria_V1.41116100,-0.8610434132699895
"cat__categorias_adicionales_V150161500, V150202600, V152121600, V152151500",-0.8584486118663609
cat__ausencia_geografica_False,0.857704661880211
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN DESPACHO REGIONAL DISTRITO CAPITAL,-0.8558728272186573
cat__codigo_entidad_701993388,0.8487662322742728
cat__entidad_FONDO FINANCIERO DISTRITAL DE SALUD..,0.8487662322742728
cat__nombre_de_la_unidad_de_SUBDIRECCION DE CONTRATACIÓN,0.8487662322742728
cat__nit_entidad_8002469532,0.8487662322742728
cat__codigo_principal_de_categoria_V1.84121804,-0.8394221139060982
cat__codigo_entidad_703995761,0.8393612650439424
cat__nit_entidad_900788066,0.8393612650439424
cat__nombre_de_la_unidad_de_CONTRATOS01,0.8393612650439424
cat__entidad_REGION ADMINISTRATIVA Y DE PLANEACION ESPECIAL - RAPE REGION CENTRAL,0.8393612650439424
cat__entidad_ICBF REGIONAL PUTUMAYO,0.8391397656521858
cat__nombre_de_la_unidad_de_ICBF REGIONAL PUTUMAYO,0.8391397656521858
cat__codigo_entidad_704141639,0.8391397656521858
cat__departamento_entidad_Córdoba,0.8274189630787525
cat__entidad_DEPARTAMENTO DE CUNDINAMARCA - SECRETARÍA DE LO SOCIAL Y LA FAMILIA,0.8204424906895733
cat__codigo_entidad_702184359,0.8204424906895733
cat__modalidad_de_contratacion_Contratación directa,0.8188766263111632
cat__departamento_entidad_Distrito Capital de Bogotá,-0.8117237119627322
cat__codigo_principal_de_categoria_V1.46171600,-0.8098874136756293
num__precio_base_log,-0.804668111043427
cat__nit_entidad_890399011,-0.803266705215809
cat__ciudad_entidad_Manizales,-0.801038033284309
cat__codigo_principal_de_categoria_V1.31162800,0.7969398777339476
cat__codigo_principal_de_categoria_V1.42191800,-0.7930833363382093
cat__categorias_adicionales_V141105300,-0.7894194737185699
cat__codigo_principal_de_categoria_V1.81111500,0.7889552700017953
cat__codigo_principal_de_categoria_V1.42131700,-0.7860876592419209
cat__nombre_de_la_unidad_de_CENTRO DE TECNOLOGÍAS DEL TRANSPORTE D.C,0.7847015128685031
"cat__categorias_adicionales_V143211507, V143211606, V181111506",-0.7815720095338148
cat__codigo_principal_de_categoria_V1.80111614,-0.7797257834719339
cat__entidad_SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE PAZ Y CULTURA CIUDADANA,-0.7791868518387001
cat__codigo_entidad_702364142,-0.7791868518387001
cat__nombre_de_la_unidad_de_Secretaría de Paz y Cultura Ciudadana,-0.7791868518387001
cat__codigo_principal_de_categoria_V1.72151704,-0.7753329253328135
"cat__categorias_adicionales_V114111800, V114111815, V144103100, V144103103, V144103107, V144103112, V144103125, V181112306",-0.7748020919667662
"cat__categorias_adicionales_V142131600, V142131604, V142131609, V142131613, V142131702, V142132200, V142132203, V142132205, V147121700, V147121709, V147131500, V147131502, V147131800, V151102700",-0.7697362793651643
cat__ciudad_de_la_unidad_de_Puerto Salgar,0.7670722701129998
"cat__categorias_adicionales_V143211500, V143222800, V143231500, V143232300, V143232400",-0.7645220740518655
"cat__categorias_adicionales_V114111704, V150131704, V150151513, V150161511, V150161814, V150171551, V150192901, V150201706, V150221002, V150221101, V150404500, V150421844, V152121505, V152121508, V152121509, V152121701, V152151704, V152151807, V152152004, V152152101, V153102305, V153131503, V153131604, V153131606, V153131608, V153131615, V156101508",-0.7600077896589578
cat__codigo_principal_de_categoria_V1.81161800,-0.7598622399313913
cat__codigo_principal_de_categoria_V1.41111703,-0.7560811879904789
"cat__categorias_adicionales_V141102404, V141104405",-0.7560707843407513
cat__codigo_principal_de_categoria_V1.46181500,-0.7555834210881948
cat__codigo_principal_de_categoria_V1.51101500,-0.7552418154513126
cat__codigo_principal_de_categoria_V1.46181503,-0.7511254728480422
cat__codigo_principal_de_categoria_V1.53141500,-0.7500332421662359
cat__ciudad_de_la_unidad_de_Soacha,0.7494106630675215
