Feature,Coefficient
num__target_dimension_count_v2,-7.199921966165253
cat__target_confidence_v2_baja,4.627140155969472
cat__tiene_descripcion_False,3.9783119691927853
cat__tiene_descripcion_True,-3.4614397126434637
cat__modalidad_de_contratacion_Contratación régimen especial,2.2808620945933957
cat__modalidad_de_contratacion_Contratación directa,2.167556454451063
cat__target_confidence_v2_media,-2.0662275796106906
cat__target_confidence_v2_alta,-2.044040319815308
cat__justificaci_n_modalidad_de_Servicios profesionales y apoyo a la gestión,1.58358495535002
cat__modalidad_de_contratacion_Selección Abreviada de Menor Cuantía,-1.4607624589738475
cat__fase_Fase de ofertas,1.378866324232361
cat__fase_Presentación de observaciones,-1.3678776453453412
cat__justificaci_n_modalidad_de_Presupuesto menor al 10% de la Menor Cuantía,-1.332488094304014
cat__nombre_de_la_unidad_de_Direccion de Operaciones,-1.3249701910857148
cat__codigo_entidad_701347270,-1.3169472677931962
"cat__entidad_SECRETARIA DISTRITAL DE SEGURIDAD, CONVIVENCIA Y JUSTICIA",-1.3169472677931962
cat__justificaci_n_modalidad_de_Regla aplicable,1.3091037022575458
cat__fase_Presentación de oferta,1.2876984720585525
cat__justificaci_n_modalidad_de_No,1.1187432886170892
cat__ausencia_geografica_False,1.071784390969343
cat__justificaci_n_modalidad_de_Presupuesto inferior al 10% de la menor cuantía,-1.0336980112242502
cat__modalidad_de_contratacion_Mínima cuantía,-1.0336980112242502
cat__nombre_de_la_unidad_de_DIRECCIÓN GENERAL ADMINISTRATIVA,-0.9448241480139019
cat__codigo_entidad_701428641,-0.9448241480139019
cat__entidad_CONGRESO DE LA REPÚBLICA - HONORABLE SENADO DE LA REPÚBLICA,-0.9448241480139019
cat__nit_entidad_899999103,-0.9448241480139019
cat__entidad_DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,-0.9055286864635921
cat__codigo_entidad_700221021,-0.9055286864635921
cat__nit_entidad_890905211,-0.9013407847389712
cat__nombre_de_la_unidad_de_CENTRAL ADMINISTRATIVA Y CONTABLE CALI 2026,0.8653036655271478
cat__nit_entidad_800130690,0.8641177758135175
cat__entidad_CENACCALI,0.8641177758135175
cat__codigo_entidad_702871120,0.8641177758135175
cat__nombre_de_la_unidad_de_CENTRO DE MANUFACTURA EN TEXTIL Y CUERO D.C,-0.8625340452269287
cat__fue_duplicado_logico_True,0.8234098473016574
cat__ciudad_de_la_unidad_de_Manizales,0.8192336830804623
cat__anomalia_apertura_antes_recepcion_False,0.813357623546166
cat__nit_entidad_890803005,0.8080746030390201
cat__entidad_CORPOCALDAS.,0.8080746030390201
cat__codigo_entidad_704670843,0.8080746030390201
cat__nit_entidad_890399011,-0.7954251846001736
cat__codigo_entidad_702870601,0.7519741529784894
cat__entidad_SERVICIO NACIONAL DE APRENDIZAJE SENA REGIONAL CORDOBA,0.7519741529784894
cat__nombre_de_la_unidad_de_DESPACHO DIRECCIÓN,-0.7362441619547396
num__completitud_critica,0.7350927500830348
cat__modalidad_de_contratacion_Contratación régimen especial (con ofertas),-0.7193056644319282
cat__departamento_entidad_Córdoba,0.6847599974837905
cat__nombre_de_la_unidad_de_CENTRO DE GESTIÓN ADMINISTRATIVA,-0.6823490909171864
cat__codigo_principal_de_categoria_V1.72102103,0.655254884965334
cat__entidad_DEPARTAMENTO DE CUNDINAMARCA - SECRETARÍA DE LO SOCIAL Y LA FAMILIA,0.6455387437732899
cat__codigo_entidad_702184359,0.6455387437732899
cat__fase_Manifestación de interés (Menor Cuantía),-0.6455154287363521
num__precio_base_log,-0.6450347894757498
cat__nombre_de_la_unidad_de_SUBDIRECCIÓN DE GESTIÓN CONTRACTUAL,-0.6281498265048802
cat__nit_entidad_800152783,-0.6158245650313464
cat__codigo_entidad_702019308,-0.6158245650313464
cat__entidad_FISCALÍA GENERAL DE LA NACIÓN NIVEL CENTRAL.,-0.6158245650313464
cat__nombre_de_la_unidad_de_UNIDAD DE CONTRATACIÓN DESPACHO REGIONAL DISTRITO CAPITAL,-0.6036810231762597
cat__codigo_principal_de_categoria_V1.78111502,-0.6032513292686785
