Feature,Importance
cat__modalidad_de_contratacion,0.46343531002312227
cat__justificaci_n_modalidad_de,0.24123543734369154
cat__fase,0.05652958366714691
cat__codigo_principal_de_categoria,0.05619024218589959
cat__categorias_adicionales,0.0548667471624103
num__precio_base,0.03461238064088959
cat__tipo_de_contrato,0.03042145855271371
num__precio_base_log,0.02795267220740656
cat__descripci_n_del_procedimiento,0.010620695149419775
cat__nombre_del_procedimiento,0.007240514626655125
cat__nit_entidad,0.005674835728695339
cat__entidad,0.0045603361358327495
cat__ciudad_entidad,0.003151122495497226
cat__departamento_entidad,0.002389926855956749
cat__ordenentidad,0.0011187372246619937
num__missingindicator_precio_base_log,2.937767811720639e-16
num__missingindicator_precio_base,2.816093285031761e-16
