Feature,Importance
num__missingindicator_dias_publicacion_a_recepcion,0.19781508323373997
num__flag_tiene_fecha_recepcion,0.12735088524991267
num__missing_temporal_count,0.10839484436482001
num__target_dimension_count_v2,0.10635892703789766
cat__tiene_fecha_recepcion,0.09996081194675241
num__missingindicator_dias_hasta_recepcion,0.09425830902028248
cat__target_confidence_v2,0.06846847792605154
cat__tiene_fecha_apertura_efectiva,0.04981882243317566
num__missingindicator_dias_recepcion_a_apertura,0.03924617473015112
cat__justificaci_n_modalidad_de,0.023300745005539393
cat__modalidad_de_contratacion,0.022069416997336496
num__missingindicator_dias_publicacion_a_apertura,0.018379181637166005
num__dias_publicacion_a_recepcion,0.009415770234911887
num__dias_hasta_recepcion,0.007846330439611575
cat__fase,0.0030569738051075285
cat__tiene_categorias_adicionales,0.0025927419423298005
cat__codigo_principal_de_categoria,0.002253565792481299
cat__tipo_de_contrato,0.0021998342456703013
num__precio_base,0.0017413204496473944
num__longitud_descripcion,0.001562834374287113
cat__ciudad_entidad,0.0014763495503276882
num__flag_incoherencia_temporal_observada,0.0011145987112912154
cat__codigo_entidad,0.0010905426989005888
cat__categorias_adicionales,0.0010062448865442097
cat__entidad,0.0009414491468761208
cat__nombre_de_la_unidad_de,0.0008709705570503073
cat__precio_base_es_cero,0.0008640592599822419
num__duracion,0.0008362243877569437
num__duracion_dias,0.0007447672241644093
cat__nit_entidad,0.0007373534745423256
cat__ausencia_geografica,0.0006206314186519271
cat__departamento_entidad,0.0006095105442360724
num__precio_base_log,0.0006081035577351863
cat__ciudad_de_la_unidad_de,0.0004746401265994392
num__completitud_critica,0.000299747212747258
cat__tiene_descripcion,0.0002674744765742222
cat__anomalia_apertura_antes_recepcion,0.00025541006402022556
cat__anomalia_temporal,0.0001990517756711459
cat__ordenentidad,0.0001884421089400731
cat__unidad_de_duracion,0.00017205215042694178
num__dias_publicacion_a_apertura,0.00016209307693000412
cat__codigo_pci,0.0001422690477377483
num__missingindicator_duracion_dias,0.00013472828540048856
cat__unidad_de_duracion_desconocida,4.626963183451554e-05
cat__fue_duplicado_logico,3.340168809201531e-05
cat__fue_duplicado_exacto,5.317318975448719e-06
num__numero_de_lotes,5.306220457027169e-06
cat__duracion_improbable,1.7573009814918745e-06
num__dias_recepcion_a_apertura,1.7876867093457557e-07
cat__flag_precio_base_extremo,4.461009446797406e-09
num__missingindicator_precio_base,6.852115103543004e-18
num__flag_tiene_fecha_publicacion,0.0
num__missingindicator_precio_base_log,0.0
cat__tiene_urlproceso,0.0
