Feature,Importance
num__target_dimension_count_v2,0.3399763373516056
cat__target_confidence_v2,0.2513690475819603
cat__modalidad_de_contratacion,0.13967124972233316
cat__justificaci_n_modalidad_de,0.09213327242364522
cat__fase,0.03209571376980499
cat__categorias_adicionales,0.02823688355601425
cat__codigo_principal_de_categoria,0.02705718938488415
cat__tiene_categorias_adicionales,0.02545858554236227
num__precio_base_log,0.013105807284497593
num__precio_base,0.012209444358987298
cat__tipo_de_contrato,0.01177408147082843
cat__anomalia_apertura_antes_recepcion,0.008409559258916866
num__longitud_descripcion,0.0038997944803600736
cat__precio_base_es_cero,0.0018979100917048506
cat__nombre_de_la_unidad_de,0.0018692931332075164
cat__ciudad_entidad,0.0016468425950229512
cat__codigo_entidad,0.0014691550342921056
cat__ausencia_geografica,0.001319812127399976
cat__nit_entidad,0.0012933318489554058
cat__ciudad_de_la_unidad_de,0.0012368303580061503
cat__entidad,0.0011649662292062702
cat__departamento_entidad,0.0006375066903569584
cat__ordenentidad,0.0005908931164951373
num__completitud_critica,0.0005182451597513545
cat__tiene_descripcion,0.0003642324998053204
cat__fue_duplicado_exacto,0.0001730171147763139
cat__codigo_pci,0.00016021990327107428
cat__fue_duplicado_logico,0.00014128863825646596
num__numero_de_lotes,0.00011948927329204189
num__missingindicator_precio_base,3.8243996234605724e-18
num__missingindicator_precio_base_log,0.0
cat__tiene_urlproceso,0.0
