Feature,Importance
cat__modalidad_de_contratacion,0.9868661
cat__justificaci_n_modalidad_de,0.00329393
num__precio_base,0.0023636548
num__precio_base_log,0.0011640176
cat__departamento_entidad,0.0010526672
cat__entidad,0.00085404224
cat__nit_entidad,0.00068937236
cat__ciudad_entidad,0.0006259363
cat__categorias_adicionales,0.0005735047
cat__descripci_n_del_procedimiento,0.0005633299
cat__codigo_principal_de_categoria,0.0005243417
cat__nombre_del_procedimiento,0.00047649926
cat__ordenentidad,0.0004433306
cat__fase,0.00027470916
cat__tipo_de_contrato,0.00023452741
num__missingindicator_precio_base,0.0
num__missingindicator_precio_base_log,0.0
