Feature,Importance
num__flag_tiene_fecha_recepcion,0.82561564
num__missingindicator_dias_hasta_recepcion,0.16086315
cat__target_confidence_v2,0.004457633
cat__modalidad_de_contratacion,0.004121311
cat__ciudad_entidad,0.0015440315
num__missingindicator_dias_recepcion_a_apertura,0.0007445869
num__completitud_critica,0.00055487396
num__precio_base,0.0005139692
num__missing_temporal_count,0.00012849942
num__longitud_descripcion,0.000121270416
cat__fue_duplicado_logico,0.000107032356
cat__codigo_entidad,9.816747e-05
cat__nit_entidad,9.374439e-05
cat__tiene_fecha_apertura_efectiva,8.017782e-05
cat__precio_base_es_cero,7.925225e-05
cat__ciudad_de_la_unidad_de,7.117097e-05
cat__departamento_entidad,6.461893e-05
cat__entidad,6.397515e-05
cat__nombre_de_la_unidad_de,6.229608e-05
num__dias_hasta_recepcion,6.183981e-05
cat__ordenentidad,6.1685016e-05
cat__justificaci_n_modalidad_de,5.4751268e-05
cat__categorias_adicionales,5.3804266e-05
num__duracion_dias,5.223066e-05
num__duracion,5.0990122e-05
num__dias_publicacion_a_recepcion,5.047169e-05
cat__unidad_de_duracion,4.9945127e-05
cat__codigo_principal_de_categoria,4.653919e-05
num__flag_incoherencia_temporal_observada,4.3042528e-05
cat__codigo_pci,3.670484e-05
cat__anomalia_apertura_antes_recepcion,2.8833074e-05
num__precio_base_log,1.71818e-05
cat__tiene_descripcion,6.651098e-06
num__numero_de_lotes,0.0
num__target_dimension_count_v2,0.0
num__dias_recepcion_a_apertura,0.0
num__dias_publicacion_a_apertura,0.0
num__flag_tiene_fecha_publicacion,0.0
num__missingindicator_dias_publicacion_a_recepcion,0.0
num__missingindicator_duracion_dias,0.0
num__missingindicator_precio_base,0.0
num__missingindicator_precio_base_log,0.0
cat__tipo_de_contrato,0.0
cat__fase,0.0
num__missingindicator_dias_publicacion_a_apertura,0.0
cat__flag_precio_base_extremo,0.0
cat__tiene_categorias_adicionales,0.0
cat__tiene_urlproceso,0.0
cat__unidad_de_duracion_desconocida,0.0
cat__duracion_improbable,0.0
cat__ausencia_geografica,0.0
cat__tiene_fecha_recepcion,0.0
cat__fue_duplicado_exacto,0.0
cat__anomalia_temporal,0.0
