Feature,Importance
num__target_dimension_count_v2,0.9798211
cat__target_confidence_v2,0.008299266
cat__modalidad_de_contratacion,0.004659252
cat__ciudad_entidad,0.003009599
num__precio_base,0.0008729775
num__completitud_critica,0.0005870433
cat__fase,0.0004990933
cat__fue_duplicado_logico,0.00021982202
cat__justificaci_n_modalidad_de,0.0002130823
cat__precio_base_es_cero,0.00020832814
num__longitud_descripcion,0.00019565968
cat__nit_entidad,0.00018208692
cat__codigo_entidad,0.00017089747
cat__codigo_pci,0.00012897332
cat__ciudad_de_la_unidad_de,0.00012217886
cat__nombre_de_la_unidad_de,0.00011010683
cat__entidad,0.000103631945
cat__departamento_entidad,9.855058e-05
cat__categorias_adicionales,9.435524e-05
cat__codigo_principal_de_categoria,8.8494286e-05
cat__ordenentidad,7.959246e-05
cat__tiene_descripcion,6.605495e-05
cat__anomalia_apertura_antes_recepcion,5.8631955e-05
cat__tipo_de_contrato,4.044156e-05
num__precio_base_log,4.005887e-05
cat__fue_duplicado_exacto,3.078652e-05
num__missingindicator_precio_base_log,0.0
num__numero_de_lotes,0.0
num__missingindicator_precio_base,0.0
cat__ausencia_geografica,0.0
cat__tiene_urlproceso,0.0
cat__tiene_categorias_adicionales,0.0
