iter	Passed	Remaining
0	29	29622
1	50	25248
2	72	24177
3	93	23258
4	114	22724
5	136	22539
6	156	22214
7	177	22060
8	199	21944
9	220	21789
10	240	21659
11	261	21506
12	281	21395
13	302	21287
14	323	21235
15	346	21315
16	367	21225
17	386	21108
18	406	21010
19	427	20956
20	448	20892
21	467	20786
22	488	20768
23	508	20697
24	528	20629
25	548	20543
26	568	20481
27	589	20455
28	611	20468
29	632	20435
30	653	20412
31	673	20374
32	693	20329
33	714	20313
34	737	20334
35	758	20301
36	778	20271
37	796	20173
38	813	20044
39	831	19961
40	851	19910
41	869	19832
42	887	19757
43	907	19714
44	925	19639
45	943	19577
46	963	19528
47	982	19492
48	1000	19425
49	1019	19372
50	1039	19342
51	1059	19320
52	1079	19283
53	1099	19263
54	1118	19223
55	1137	19182
56	1159	19175
57	1178	19142
58	1198	19116
59	1217	19071
60	1236	19035
61	1255	18998
62	1274	18958
63	1293	18920
64	1311	18870
65	1332	18861
66	1353	18843
67	1373	18819
68	1391	18770
69	1409	18729
70	1428	18690
71	1447	18658
72	1468	18650
73	1487	18616
74	1506	18576
75	1526	18563
76	1546	18540
77	1566	18516
78	1586	18498
79	1607	18480
80	1626	18454
81	1646	18433
82	1665	18400
83	1685	18382
84	1705	18356
85	1723	18320
86	1746	18324
87	1766	18307
88	1786	18287
89	1806	18266
90	1826	18242
91	1846	18222
92	1863	18173
93	1880	18127
94	1900	18102
95	1918	18062
96	1938	18046
97	1954	17990
98	1974	17971
99	1994	17953
100	2014	17933
101	2033	17901
102	2049	17850
103	2069	17832
104	2089	17807
105	2107	17774
106	2126	17746
107	2145	17718
108	2163	17682
109	2182	17658
110	2201	17632
111	2221	17612
112	2241	17595
113	2260	17571
114	2280	17546
115	2299	17522
116	2318	17499
117	2338	17479
118	2357	17453
119	2375	17422
120	2395	17401
121	2414	17375
122	2432	17346
123	2452	17329
124	2473	17311
125	2493	17294
126	2513	17276
127	2532	17252
128	2551	17229
129	2571	17211
130	2591	17194
131	2612	17176
132	2631	17153
133	2650	17126
134	2669	17107
135	2688	17083
136	2709	17067
137	2728	17045
138	2750	17038
139	2772	17032
140	2792	17012
141	2814	17007
142	2835	16990
143	2858	16990
144	2879	16979
145	2900	16967
146	2919	16940
147	2939	16923
148	2959	16903
149	2980	16887
150	3000	16868
151	3019	16843
152	3038	16820
153	3058	16799
154	3074	16759
155	3092	16732
156	3110	16702
157	3131	16690
158	3151	16667
159	3171	16648
160	3189	16621
161	3209	16600
162	3227	16574
163	3246	16551
164	3265	16527
165	3285	16507
166	3306	16490
167	3325	16468
168	3345	16450
169	3361	16414
170	3378	16379
171	3395	16347
172	3412	16313
173	3429	16281
174	3446	16247
175	3463	16216
176	3480	16183
177	3497	16152
178	3514	16121
179	3532	16094
180	3549	16063
181	3567	16032
182	3584	16000
183	3601	15970
184	3618	15941
185	3637	15917
186	3653	15883
187	3674	15869
188	3693	15848
189	3712	15827
190	3730	15801
191	3751	15788
192	3771	15768
193	3790	15749
194	3809	15727
195	3828	15704
196	3844	15672
197	3861	15642
198	3879	15614
199	3899	15598
200	3919	15580
201	3939	15561
202	3959	15543
203	3978	15523
204	3994	15489
205	4015	15478
206	4031	15443
207	4051	15428
208	4075	15423
209	4104	15440
210	4129	15440
211	4150	15425
212	4170	15408
213	4188	15382
214	4205	15354
215	4222	15327
216	4243	15310
217	4260	15284
218	4278	15258
219	4296	15231
220	4313	15204
221	4331	15178
222	4348	15150
223	4366	15128
224	4388	15115
225	4408	15098
226	4427	15078
227	4449	15065
228	4470	15051
229	4492	15040
230	4513	15024
231	4534	15010
232	4555	14996
233	4574	14974
234	4591	14947
235	4609	14923
236	4627	14898
237	4645	14874
238	4663	14848
239	4679	14819
240	4697	14794
241	4715	14768
242	4731	14740
243	4748	14713
244	4765	14686
245	4782	14659
246	4799	14632
247	4816	14605
248	4834	14579
249	4852	14558
250	4872	14541
251	4891	14518
252	4910	14499
253	4931	14484
254	4949	14459
255	4966	14433
256	4985	14411
257	5002	14386
258	5019	14362
259	5037	14337
260	5054	14312
261	5071	14285
262	5087	14256
263	5103	14226
264	5119	14199
265	5135	14171
266	5151	14143
267	5168	14116
268	5184	14089
269	5200	14061
270	5218	14037
271	5235	14012
272	5251	13984
273	5267	13956
274	5283	13930
275	5299	13902
276	5316	13876
277	5332	13849
278	5349	13825
279	5367	13802
280	5385	13779
281	5402	13754
282	5418	13727
283	5434	13701
284	5451	13676
285	5468	13653
286	5486	13629
287	5502	13603
288	5519	13578
289	5535	13551
290	5551	13525
291	5566	13497
292	5582	13470
293	5597	13442
294	5614	13417
295	5632	13396
296	5650	13373
297	5668	13352
298	5684	13327
299	5700	13302
300	5717	13277
301	5734	13253
302	5750	13229
303	5768	13206
304	5785	13183
305	5802	13159
306	5819	13137
307	5836	13113
308	5853	13089
309	5869	13065
310	5886	13042
311	5903	13017
312	5920	12994
313	5936	12970
314	5953	12947
315	5970	12924
316	5987	12901
317	6004	12876
318	6020	12852
319	6036	12826
320	6052	12803
321	6070	12781
322	6085	12755
323	6101	12731
324	6117	12705
325	6132	12679
326	6148	12654
327	6164	12629
328	6180	12604
329	6196	12581
330	6212	12556
331	6229	12533
332	6244	12508
333	6261	12484
334	6277	12460
335	6293	12436
336	6309	12412
337	6325	12389
338	6342	12366
339	6358	12342
340	6374	12319
341	6390	12294
342	6406	12270
343	6422	12247
344	6438	12224
345	6454	12200
346	6472	12179
347	6487	12155
348	6503	12131
349	6519	12108
350	6536	12085
351	6551	12061
352	6567	12037
353	6583	12014
354	6599	11990
355	6616	11968
356	6632	11946
357	6649	11924
358	6665	11901
359	6682	11879
360	6697	11855
361	6713	11832
362	6729	11809
363	6745	11786
364	6762	11764
365	6780	11745
366	6797	11723
367	6813	11701
368	6831	11682
369	6850	11664
370	6870	11648
371	6895	11641
372	6917	11628
373	6938	11613
374	6960	11600
375	6979	11582
376	6996	11561
377	7013	11541
378	7033	11524
379	7054	11509
380	7072	11489
381	7089	11468
382	7105	11446
383	7122	11425
384	7138	11403
385	7155	11381
386	7173	11363
387	7190	11342
388	7207	11321
389	7223	11298
390	7239	11276
391	7255	11253
392	7271	11231
393	7287	11209
394	7304	11187
395	7320	11164
396	7336	11142
397	7351	11120
398	7367	11097
399	7384	11076
400	7399	11053
401	7415	11031
402	7431	11008
403	7447	10987
404	7464	10966
405	7481	10945
406	7498	10925
407	7514	10903
408	7530	10880
409	7545	10858
410	7561	10835
411	7577	10814
412	7593	10793
413	7609	10771
414	7626	10750
415	7642	10729
416	7659	10708
417	7675	10686
418	7690	10664
419	7707	10643
420	7724	10623
421	7740	10601
422	7756	10580
423	7773	10560
424	7790	10539
425	7806	10518
426	7822	10497
427	7839	10477
428	7856	10456
429	7872	10436
430	7889	10415
431	7905	10394
432	7922	10373
433	7938	10352
434	7954	10332
435	7971	10311
436	7988	10291
437	8005	10272
438	8022	10251
439	8040	10233
440	8058	10214
441	8075	10194
442	8091	10173
443	8107	10153
444	8124	10132
445	8142	10113
446	8158	10092
447	8173	10071
448	8189	10050
449	8205	10028
450	8220	10006
451	8236	9985
452	8251	9964
453	8268	9944
454	8284	9923
455	8300	9902
456	8315	9880
457	8331	9859
458	8346	9838
459	8362	9817
460	8378	9796
461	8394	9775
462	8410	9755
463	8426	9734
464	8442	9713
465	8458	9692
466	8473	9671
467	8490	9651
468	8507	9631
469	8523	9611
470	8539	9590
471	8555	9570
472	8571	9549
473	8587	9529
474	8603	9508
475	8618	9487
476	8634	9466
477	8650	9446
478	8666	9426
479	8682	9405
